Gene = fmt
index = 1703
Annotated 5SS: [ 121  504  770 1149 1524 1725 1899 2533 2653 3764]
Annotated 3SS: [ 343  569  823 1209 1585 1779 1958 2587 2710 3937]
SMsplice 5SS: [ 121  504  770 1149 1524 1725 1899 2533 2653 3004 3764]
SMsplice 3SS: [ 343  569  823 1209 1585 1779 1958 2587 2710 3075 3952]
top_k =  500
Partition function (log Z): 21.561686689807157

Sorted 5' Splice Sites (High to Low Probability):
Position 2533: 0.999262325280318
Position 1899: 0.9988600207338514
Position 1524: 0.9985855710705501
Position 1149: 0.9854076788024628
Position 2653: 0.9831528222100695
Position 504: 0.9208967330563818
Position 3764: 0.9119114594599371
Position 1725: 0.9102454678715884
Position 770: 0.6355050192618275
Position 121: 0.6054425426210742
Position 3004: 0.4894092415405396
Position 754: 0.30917687062024424
Position 2052: 0.2587419701028025
Position 4137: 0.17116851354086018
Position 4982: 0.15212993042517653
Position 3264: 0.08221590475731186
Position 3000: 0.08191559396529709
Position 3788: 0.04411593226691841
Position 281: 0.018503763612266078
Position 2152: 0.018210486967341486
Position 253: 0.017745869029049455
Position 94: 0.01773876932937906
Position 4164: 0.015459719218990585
Position 3753: 0.014151146055972213
Position 3014: 0.012716659178090832
Position 908: 0.009308832590100883
Position 3784: 0.008860996091352678
Position 3031: 0.00849120805031869
Position 881: 0.007062120260315772
Position 2059: 0.006499202237838807
Position 203: 0.005353524237409622
Position 294: 0.004799121187955594
Position 2104: 0.003953146561984742
Position 3024: 0.003948417145218136
Position 276: 0.0033122940776882143
Position 3432: 0.00294398149935476
Position 198: 0.002576628563727855
Position 266: 0.002427348006611357
Position 431: 0.002203439396682035
Position 2844: 0.0019289156358923076
Position 287: 0.0016577256412684043
Position 3034: 0.001634878511903287
Position 1019: 0.0011785225835267241
Position 730: 0.0011758799771087005
Position 3792: 0.0010565697331410841
Position 3358: 0.000981569509561237
Position 508: 0.000905505727622293
Position 127: 0.0008823755003837845
Position 3382: 0.0008671398161472332
Position 125: 0.0007840792516427468
Position 2951: 0.0007355261996300157
Position 4: 0.0005995249754949624
Position 292: 0.0005749332931907714
Position 2056: 0.0005642231423312404
Position 983: 0.0005569092621014152
Position 1671: 0.0005442595566923351
Position 52: 0.0005312472859430006
Position 2216: 0.0003899911271316344
Position 2898: 0.0003747113876096535
Position 4683: 0.00037277642507811654
Position 55: 0.00036525723387974767
Position 2657: 0.00029101325907854596
Position 285: 0.00028882363542932316
Position 108: 0.00027368192203946644
Position 1662: 0.00026654465848902466
Position 82: 0.00025891785953413034
Position 64: 0.00025818314592953754
Position 4814: 0.00025062607360743205
Position 1120: 0.00022458529252109748
Position 2537: 0.000223421392450349
Position 3871: 0.0002113897014027786
Position 1256: 0.00019630465990117942
Position 201: 0.00019532550785766013
Position 359: 0.0001833575614095052
Position 989: 0.00016846666742777972
Position 666: 0.00016273163458335429
Position 2347: 0.0001532358353562161
Position 209: 0.00014851482295909826
Position 681: 0.00014573851609609587
Position 35: 0.00013858690633389273
Position 1438: 0.00013216912397229756
Position 2806: 0.0001315083663422133
Position 1528: 0.00010233186242837487
Position 722: 9.010965397977172e-05
Position 3691: 8.750052755328004e-05
Position 1903: 8.072356798582973e-05
Position 1492: 7.886914882363439e-05
Position 1489: 6.687772705680726e-05
Position 348: 6.449346071599546e-05
Position 1057: 5.661506202827407e-05
Position 335: 5.564530854560925e-05
Position 264: 5.182893018419794e-05
Position 2782: 4.94005160438318e-05
Position 2830: 4.913198479535132e-05
Position 926: 3.9129002446400115e-05
Position 2173: 2.6143065303925543e-05
Position 2432: 2.5016374791024746e-05
Position 3768: 2.4932506229293474e-05
Position 2425: 2.2301908737872785e-05
Position 714: 2.115473290870936e-05
Position 642: 1.7446184669339383e-05
Position 1431: 1.715221363229882e-05
Position 1540: 1.7028281782165557e-05
Position 2166: 1.5124667631243925e-05
Position 1698: 1.2837605640337217e-05
Position 2420: 1.2708632179876863e-05
Position 658: 1.1725587833263301e-05
Position 1231: 1.0957727675992268e-05
Position 2725: 1.0884813866604326e-05
Position 1359: 1.0235209390126914e-05
Position 2076: 9.897802905431292e-06
Position 1843: 6.79655477010816e-06
Position 2993: 6.150537225253406e-06
Position 1153: 6.128141917196609e-06
Position 1001: 6.017675121180718e-06
Position 435: 5.844152125744164e-06
Position 3157: 4.249169312461029e-06
Position 1165: 3.982849126270333e-06
Position 1325: 3.940670561181861e-06
Position 1650: 3.565256924449365e-06
Position 749: 3.4036685707162657e-06
Position 2861: 2.4606516707818836e-06
Position 460: 2.3476231656322405e-06
Position 1776: 2.191651983595165e-06
Position 2698: 2.0524494570941653e-06
Position 676: 2.042611001792857e-06
Position 532: 1.7593170280696869e-06
Position 2594: 1.5367651409664163e-06
Position 1613: 1.442538118624928e-06
Position 2410: 1.2789295084163773e-06
Position 17: 1.2541677686843986e-06
Position 2731: 1.117155352910762e-06
Position 446: 6.520653136116378e-07
Position 2680: 6.068069343315224e-07
Position 2543: 4.988578040632565e-07
Position 2497: 3.919730986840197e-07
Position 415: 1.4214101713039038e-07
Position 1974: 1.317662366224109e-07
Position 1760: 9.118556620484783e-08
Position 1304: 5.006273406959018e-08
Position 4053: 4.03603744836944e-08
Position 2272: 2.4312103288971917e-08
Position 546: 2.2686787131911946e-08
Position 617: 1.2014113647257003e-08
Position 1986: 8.162609079230308e-09
