Gene = spz3
index = 1889
Annotated 5SS: [1346 3522 4340 5521]
Annotated 3SS: [3387 4214 5040 5590]
SMsplice 5SS: [1346 3522 4340 5521]
SMsplice 3SS: [3387 4214 5040 5590]
top_k =  500
Partition function (log Z): 4.900686183421794

Sorted 5' Splice Sites (High to Low Probability):
Position 5521: 0.9874606131775816
Position 1346: 0.9754468095881702
Position 3522: 0.9513380996432839
Position 4340: 0.9133683287667408
Position 2884: 0.03452704473711658
Position 1377: 0.018770834772141132
Position 2803: 0.017516753855308848
Position 166: 0.01701632858651459
Position 3954: 0.011089809288957857
Position 3720: 0.00851386494783129
Position 4165: 0.008493919549608573
Position 4394: 0.008483282102880423
Position 2105: 0.008476727871252535
Position 170: 0.006991604595385739
Position 2148: 0.006599294439408876
Position 5513: 0.0063778497558645685
Position 3186: 0.006097794924910542
Position 614: 0.005388070756289371
Position 3540: 0.005042550326168079
Position 1826: 0.004979629214817947
Position 3615: 0.004910121232521349
Position 4871: 0.004885421151057708
Position 5791: 0.0048851459313022805
Position 3555: 0.004698511847096902
Position 5457: 0.004517429151829328
Position 2900: 0.004437400254977097
Position 70: 0.00433905800562336
Position 721: 0.004282899869758038
Position 656: 0.0038146449947788737
Position 5737: 0.00361845611682778
Position 174: 0.003330789671491503
Position 5156: 0.0032551100546910775
Position 172: 0.0031510152155568207
Position 2133: 0.002892694367633527
Position 4468: 0.002839751578144633
Position 3526: 0.002738976912984493
Position 4344: 0.0026852302931294363
Position 5810: 0.002581025278939729
Position 893: 0.002447307966629949
Position 5727: 0.0020489313648029764
Position 348: 0.0018655082025617919
Position 2072: 0.001579330482708223
Position 3177: 0.0015081932791016434
Position 4402: 0.0014876168435168358
Position 225: 0.001416815649362111
Position 2112: 0.0014118129070179537
Position 4578: 0.0012940066722820847
Position 201: 0.0012293627922298023
Position 4670: 0.0011951781194381615
Position 1654: 0.001124170002430724
Position 5814: 0.0011218879990993627
Position 1628: 0.0010162424497775133
Position 4655: 0.0008616308791224206
Position 5804: 0.000718055422540898
Position 199: 0.0007049784970734566
Position 576: 0.0006601382704577795
Position 1750: 0.0006532572734203507
Position 4761: 0.0006335163980255805
Position 4849: 0.0005368813952675681
Position 1415: 0.0005162539055135812
Position 5861: 0.00043372239910626626
Position 3885: 0.0004107176917040639
Position 5731: 0.00038939496995357795
Position 4626: 0.000361818838307622
Position 1887: 0.0003447142329350009
Position 30: 0.00033589224303983654
Position 361: 0.0003089429680119708
Position 82: 0.0002972541697146235
Position 617: 0.00025130586523435113
Position 1760: 0.00022549946245763254
Position 2160: 0.00017961696735364305
Position 437: 0.0001770106683751949
Position 4330: 0.00017350158769238226
Position 1249: 0.0001618039682298073
Position 2771: 0.00014699804630684396
Position 1602: 0.00014393424187249411
Position 1830: 0.00012981305814675328
Position 4551: 0.00012890648384999867
Position 5705: 0.00012085149585962429
Position 5525: 0.00012074975192257144
Position 5831: 0.00011567863800233774
Position 1350: 0.0001107717605475562
Position 1283: 0.00011059051074516988
Position 2256: 0.00010517284312122865
Position 1735: 0.00010068017982692049
Position 1964: 9.200456320285237e-05
Position 460: 9.17184153550352e-05
Position 2479: 7.407998497715466e-05
Position 1959: 7.399842579097777e-05
Position 818: 7.086828557468398e-05
Position 4878: 7.0867790180016e-05
Position 5474: 6.855389828002696e-05
Position 302: 6.198920154263647e-05
Position 4628: 6.07405638924333e-05
Position 4827: 5.490249398754818e-05
Position 23: 5.267173167836702e-05
Position 104: 4.841956506733018e-05
Position 368: 4.506805507236354e-05
Position 178: 4.459763553561727e-05
Position 5544: 4.0733488611912945e-05
Position 842: 4.032644056557596e-05
Position 3646: 3.8342154721283765e-05
Position 5875: 3.740345933685994e-05
Position 5532: 3.33673912568875e-05
Position 3771: 2.4958939573841748e-05
Position 5997: 2.4281954427408973e-05
Position 3868: 2.3170740029617365e-05
Position 5930: 2.0486503954262988e-05
Position 5906: 1.7477399234343466e-05
Position 12: 1.4801727925472177e-05
Position 337: 1.1954441405594082e-05
Position 5376: 1.1600393595954547e-05
Position 189: 1.0760199397915238e-05
Position 1648: 9.484912946511867e-06
Position 3459: 8.82435168072457e-06
Position 191: 7.853790235851202e-06
Position 980: 7.05493286469833e-06
Position 255: 6.466029731586905e-06
Position 205: 6.4189322689137396e-06
Position 1636: 6.373033293738302e-06
Position 1617: 5.662029954376523e-06
Position 176: 5.546461106565133e-06
Position 5850: 5.444904317555881e-06
Position 5845: 4.408836739310314e-06
Position 3: 4.326431898255038e-06
Position 5839: 4.042763618445187e-06
Position 1435: 3.100542283133997e-06
Position 203: 2.4816300574038655e-06
Position 4307: 9.128054844553911e-07
Position 2001: 7.247793123410321e-07
Position 4422: 5.102250141994716e-07
Position 1665: 4.845756772106382e-07
Position 4472: 2.658127451654178e-07
Position 5136: 7.25595388076627e-08
Position 1323: 1.794053878298327e-08
Position 1229: 1.7732811560412082e-08
Position 314: 1.2428439484099641e-08
Position 1125: 7.508234656077989e-09
Position 492: 6.628686005302148e-09
Position 215: 5.216379113348001e-09
