Gene = l(3)76BDm
index = 1754
Annotated 5SS: [ 242  698 1682 1988 2505 3512 3998]
Annotated 3SS: [ 535  756 1738 2041 2598 3571 4127]
SMsplice 5SS: [ 242  698 1682 1988 2505 3512 3998]
SMsplice 3SS: [ 535  756 1738 2041 2598 3571 4127]
top_k =  500
Partition function (log Z): 22.772407756587103

Sorted 5' Splice Sites (High to Low Probability):
Position 698: 0.9983547781627656
Position 2505: 0.9938474910597945
Position 1988: 0.9828303273378824
Position 1682: 0.9773630202576877
Position 3998: 0.9759779484777377
Position 242: 0.9446555159405502
Position 3512: 0.9369622807646841
Position 3699: 0.06869426451447153
Position 3337: 0.06307287400231473
Position 2228: 0.04961167590065886
Position 2894: 0.02635430782797562
Position 3516: 0.02208450157696753
Position 294: 0.018494387799173728
Position 3014: 0.016324889647885896
Position 1146: 0.01567681685183325
Position 441: 0.01468634324801958
Position 1965: 0.013771003723023912
Position 1921: 0.009327712880874566
Position 2332: 0.008995301804942697
Position 265: 0.007957327769655197
Position 808: 0.007927959646387053
Position 4763: 0.007869457632515996
Position 3823: 0.007845473422913939
Position 1631: 0.007515797126724902
Position 977: 0.005965573812109444
Position 3221: 0.0057357484961286665
Position 3055: 0.0051451412866075985
Position 3769: 0.004987970072450114
Position 3018: 0.0041601286797551835
Position 3509: 0.004055342506592508
Position 273: 0.003816361747371212
Position 289: 0.003413268261013101
Position 1135: 0.0031051790244906673
Position 3703: 0.0027265825518817443
Position 2513: 0.002207433586707257
Position 2653: 0.0020534787428588943
Position 1189: 0.0020084163903687424
Position 6: 0.0019405518989462041
Position 2509: 0.0018358655903149938
Position 996: 0.0015923725289877435
Position 3990: 0.0014503270906973385
Position 2260: 0.0014412324922308687
Position 2794: 0.0013974317413570768
Position 2668: 0.0013936410082391586
Position 4995: 0.0013251134342008328
Position 1011: 0.001165756120916907
Position 1296: 0.001050542771752211
Position 3374: 0.0009883775300391898
Position 1006: 0.0009534917766147008
Position 794: 0.0008556235228603367
Position 1980: 0.0008518024969098258
Position 4382: 0.0008362018110440679
Position 437: 0.00081879995273346
Position 386: 0.0007552675936962642
Position 362: 0.0007119619049507985
Position 3682: 0.0006788684965095996
Position 934: 0.0006373594599413539
Position 2202: 0.000613552024979154
Position 258: 0.0005842553111705087
Position 462: 0.0005721375208573254
Position 980: 0.0005440298943254714
Position 3936: 0.000541853552955836
Position 327: 0.0005084757046964175
Position 704: 0.0004994435277064129
Position 1399: 0.00047455804013552704
Position 3194: 0.0004619885138521114
Position 1097: 0.0004546168714798227
Position 2319: 0.00044433691262550586
Position 269: 0.00042632120008795175
Position 1775: 0.0004033538763477677
Position 34: 0.0003914019988318144
Position 409: 0.0003635377633323394
Position 246: 0.00033907859878709704
Position 2486: 0.000338588532759842
Position 1166: 0.0003343923261305607
Position 1258: 0.00030527737031198644
Position 2998: 0.000275555071897634
Position 4064: 0.00026820429378603686
Position 2244: 0.0002666158264871684
Position 3175: 0.0002545426431542611
Position 4002: 0.00024854166570568493
