Gene = pigeon
index = 1836
Annotated 5SS: [ 150  613  978 2200 2489 2763 3058]
Annotated 3SS: [ 207  675 1035 2255 2547 2832 3402]
SMsplice 5SS: [ 150  613  978 2200 2489 2763 3058 3286]
SMsplice 3SS: [ 207  675 1035 2255 2547 2832 3138 3402]
top_k =  500
Partition function (log Z): 22.26914104401552

Sorted 5' Splice Sites (High to Low Probability):
Position 613: 0.9903720900287747
Position 2489: 0.9888476272460561
Position 978: 0.9783025394327043
Position 2200: 0.969939750105906
Position 2763: 0.9540527251083277
Position 3286: 0.9309958524727456
Position 150: 0.9227881118259335
Position 3058: 0.8607665883766917
Position 1840: 0.11414324986361837
Position 468: 0.06495794744544503
Position 2767: 0.02803772413015843
Position 3073: 0.02180056034818101
Position 982: 0.01999463810996292
Position 2704: 0.009501761702293363
Position 1825: 0.009071848630644896
Position 1844: 0.002628254754125593
Position 1996: 0.0025266133907172355
Position 373: 0.0019479809266534837
Position 2735: 0.001595856010379284
Position 975: 0.0014001265032931838
Position 2741: 0.001276572498436891
Position 1393: 0.001262467261324293
Position 2493: 0.0011132377710504852
Position 3557: 0.0009521369700796928
Position 617: 0.0009258347733817622
Position 2430: 0.0007015624003931643
Position 3260: 0.0005674400444116598
Position 3027: 0.0005435737527170742
Position 2223: 0.0005300651037642024
Position 1482: 0.0005061881294138433
Position 3550: 0.0005000989740526967
Position 3641: 0.0004985742202553401
Position 624: 0.0004924640093400466
Position 1426: 0.0004770029695888468
Position 2643: 0.0003647248741088144
Position 1530: 0.0003613229250659746
Position 3805: 0.0003483417279412269
Position 2497: 0.0003036302050460385
Position 1246: 0.00025652271584180485
Position 154: 0.00020799130160637747
Position 2384: 0.0001873385088255627
Position 3569: 0.0001843343981943688
Position 3589: 0.0001836802762395136
Position 812: 0.00017928908477025897
Position 3647: 0.0001643900272953186
Position 3305: 0.0001569179691524485
Position 2197: 0.00015306335478265643
Position 2512: 0.000147358695848419
Position 3337: 0.00013825791190732968
Position 2483: 0.00012936787514520034
Position 2756: 0.00011514231893400211
Position 2909: 0.00010837530042618163
Position 1292: 0.00010597695338972229
Position 594: 0.0001034627781288327
Position 278: 0.00010323813896925957
Position 2476: 0.00010206830365659371
Position 2997: 9.80972115103435e-05
Position 1690: 8.748009377470127e-05
Position 2096: 8.644546000608912e-05
Position 1574: 8.101426173555182e-05
Position 2983: 8.090198051572532e-05
