Gene = TrissinR
index = 1566
Annotated 5SS: [ 1246 21949 24483 26256 27028 27823 28895 29255 32315]
Annotated 3SS: [21300 24337 26095 26826 27471 28879 28988 32094 32399]
SMsplice 5SS: [ 1246 10397 21949 24483 26256 27028 28895 29255 32315]
SMsplice 3SS: [10219 21300 24337 26095 26826 27471 28988 32094 32399]
top_k =  500
Partition function (log Z): 6.18461557550563

Sorted 5' Splice Sites (High to Low Probability):
Position 27028: 0.9903266743817867
Position 32315: 0.9884008164924731
Position 26256: 0.9824986961863864
Position 29255: 0.9714675080004724
Position 24483: 0.9577977465952803
Position 21949: 0.793566571308454
Position 28895: 0.7349692925042994
Position 27823: 0.6563744899901539
Position 10397: 0.6476114847146929
Position 1246: 0.5648322229110699
Position 149: 0.5134517950330879
Position 30028: 0.47903471347133747
Position 21372: 0.3922999925818842
Position 8793: 0.15443203379261503
Position 27590: 0.1372866504712057
Position 8028: 0.13070624046018126
Position 9531: 0.09336978050131031
Position 26660: 0.07526185849988028
Position 28650: 0.06399139369349803
Position 29804: 0.041881395123911105
Position 27986: 0.031888349352099866
Position 32635: 0.03181178618827119
Position 83: 0.031502692829738575
Position 30799: 0.030528333748105513
Position 28610: 0.02499240763134878
Position 31543: 0.021698666764678673
Position 1075: 0.017360581741083972
Position 7797: 0.015202714238373041
Position 406: 0.012439112938870093
Position 209: 0.0077725537416996286
Position 27691: 0.006407858768790001
Position 31464: 0.006372415864994461
Position 4150: 0.005383501109782117
Position 219: 0.004683986347724742
Position 413: 0.004674770248523046
Position 27200: 0.0044959193499564155
Position 390: 0.004487448458842058
Position 2354: 0.004103644356383331
Position 29388: 0.003994468586867575
Position 9098: 0.0038650154295957963
Position 27175: 0.0037378070528638527
Position 28258: 0.00316491423754037
Position 1440: 0.002996429326910157
Position 27260: 0.002836796109819794
Position 30740: 0.002658049134432968
Position 274: 0.0022717919329573585
Position 28529: 0.0020233952664549426
Position 27685: 0.0018315436173031423
Position 4014: 0.0017973851327422743
Position 862: 0.0017144216888048723
Position 4027: 0.0014151536945531367
Position 27309: 0.001342132529460145
Position 29371: 0.0012944901422787336
Position 8199: 0.001058795707038971
Position 27710: 0.0009517661606837976
Position 28271: 0.0007905725609619331
Position 7945: 0.0006020090665884513
Position 570: 0.0005744995833496018
Position 32621: 0.0005520789509392394
Position 27782: 0.00043767553167845403
Position 1047: 0.00037877893761289257
Position 331: 0.0003634474802845895
Position 26951: 0.0003560208425258814
Position 27725: 0.0003437632897893676
Position 27034: 0.0003207896946162599
Position 1020: 0.00031874828678171935
Position 28500: 0.0003046843303888325
Position 29577: 0.0002704126145777783
Position 27862: 0.0002684946603687072
Position 27695: 0.00026514725229200416
Position 29225: 0.00022471646122290838
Position 28283: 0.00022301017859274315
Position 29501: 0.00020328341641968688
Position 230: 0.00019046096918624175
Position 32566: 0.00012513030593933074
Position 29259: 0.00011512786687946576
Position 32624: 0.00011416596112118213
Position 910: 0.00010975871749993555
Position 936: 0.00010465660960598251
Position 299: 9.470392346399802e-05
Position 32539: 8.961760198384837e-05
Position 29584: 8.924285936987077e-05
Position 27019: 7.764123897044015e-05
Position 27121: 7.598852498404401e-05
Position 985: 7.150342376351443e-05
Position 164: 6.723874503493045e-05
Position 28229: 6.533867056770326e-05
Position 28321: 6.372374677754358e-05
Position 26970: 5.697762537285976e-05
Position 1127: 5.60201334257685e-05
Position 2000: 5.527745398449588e-05
