Gene = mTerf3
index = 1783
Annotated 5SS: [819]
Annotated 3SS: [877]
SMsplice 5SS: [819]
SMsplice 3SS: [877]
top_k =  500
Partition function (log Z): -2.470350253776295

Sorted 5' Splice Sites (High to Low Probability):
Position 819: 0.9885537980424333
Position 146: 0.02851685296941893
Position 791: 0.00964564995243714
Position 168: 0.006414506655928051
Position 521: 0.0026263964339756293
Position 404: 0.002014720059592102
Position 345: 0.0008088367181084702
Position 377: 0.0005164022010308965
Position 630: 0.00047819214026429926
Position 788: 0.00027058690290231163
Position 132: 0.0002666817580639354
Position 213: 0.00021995849897682708
Position 303: 0.00019886739619002993
Position 676: 0.00017657738783856083
Position 823: 0.00016870932259676572
Position 51: 0.00016301893934151737
Position 263: 0.00016260552039498594
Position 290: 0.0001452553302453055
Position 152: 0.00012317874822324168
Position 332: 6.249910025967487e-05
Position 428: 4.439622452455044e-05
Position 621: 3.433298164800352e-05
Position 780: 3.4163384445565305e-05
Position 134: 3.31394871318625e-05
Position 440: 3.2258403638943214e-05
Position 39: 3.079576111708177e-05
Position 730: 2.775483461981598e-05
Position 154: 2.748065912196869e-05
Position 230: 2.6696759145331334e-05
Position 34: 2.1431622242686676e-05
Position 657: 1.7569450169588442e-05
Position 660: 9.149992878184678e-06
Position 1115: 7.83242118438613e-06
Position 466: 6.537031514609397e-06
Position 646: 4.5941849634165765e-06
Position 614: 4.5530191696370076e-06
Position 421: 2.618870796814921e-06
Position 487: 1.749912696583128e-06
Position 995: 1.6438734439217357e-06
Position 1002: 1.5178857289334991e-06
Position 853: 1.162260175396672e-06
Position 1050: 6.406885205527285e-07
Position 1105: 1.9785944988579435e-07
Position 736: 1.0112433260508845e-07
Position 734: 8.929611900832967e-08
Position 905: 5.535863891734647e-08
Position 1072: 5.511609334087454e-08
Position 598: 3.7737050683254764e-08
Position 1096: 3.159393200216682e-08
Position 892: 2.5508133478127045e-08
Position 951: 1.780979608675609e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 877: 0.9997163024876544
Position 609: 0.015145702808806071
Position 462: 0.009891571143421787
Position 230: 0.0032489354149642796
Position 313: 0.0022823092932225055
Position 436: 0.002161213605172475
Position 730: 0.0019403004317587152
Position 196: 0.0017146439213676012
Position 580: 0.0015146816821517625
Position 643: 0.0013145253335207765
Position 687: 0.0006101776593977885
Position 184: 0.0003946770053250849
Position 748: 0.00034004633510221734
Position 218: 0.0002799963927449816
Position 227: 0.0002431157024465563
Position 918: 0.0001337281202964262
Position 324: 0.00011826053513561011
Position 345: 8.840553531764892e-05
Position 942: 8.820721236691288e-05
Position 514: 8.225756554194114e-05
Position 493: 7.433125769712032e-05
Position 541: 6.393513650956414e-05
Position 409: 5.7085038005618035e-05
Position 385: 5.380149547984528e-05
Position 543: 5.364259412828597e-05
Position 537: 4.2080426854095876e-05
Position 561: 3.7616081203723366e-05
Position 496: 3.3905010909983374e-05
Position 193: 3.308027768102921e-05
Position 646: 2.282518265415848e-05
Position 905: 1.6710064859171024e-05
Position 751: 1.6029979122758245e-05
Position 303: 1.5165485461305773e-05
Position 845: 1.4023997892002196e-05
Position 557: 1.1831498997964716e-05
Position 772: 9.751944359197514e-06
Position 1169: 8.17739953523728e-06
Position 361: 4.5806477863585695e-06
Position 475: 4.0533438008159675e-06
Position 983: 4.0060153943560046e-06
Position 951: 3.9022555487017244e-06
Position 145: 3.442520252782934e-06
Position 614: 3.2939895010340872e-06
Position 1072: 3.225451677975644e-06
Position 689: 1.6505843778795113e-06
Position 397: 1.1490027778309365e-06
Position 567: 9.579634460489792e-07
Position 519: 7.374666471990334e-07
Position 1115: 4.577999708010514e-07
Position 799: 4.5763732366984736e-07
Position 1045: 4.5294455364869275e-07
Position 780: 3.0817996679963773e-07
Position 1156: 1.2944193882711803e-07
Position 1151: 2.371730394078004e-08
Position 1022: 2.2573053255161148e-08
Position 256: 1.599919040508492e-09
Position 149: 1.2877636408518686e-09
Position 122: 7.291471751468884e-10
Position 132: 6.411588990587836e-10
Position 332: 4.551193862764744e-10
Position 371: 5.4845404800411096e-11
Position 152: 1.1882737604363604e-11
Position 202: 8.643140427551962e-12
