Gene = SuUR
index = 1532
Annotated 5SS: [ 732 1039 1284]
Annotated 3SS: [ 838 1104 1369]
SMsplice 5SS: [ 732 1039 1284]
SMsplice 3SS: [ 838 1104 1369]
top_k =  500
Partition function (log Z): 1.5141769392594564

Sorted 5' Splice Sites (High to Low Probability):
Position 732: 0.9776736402389083
Position 1284: 0.8753412297275169
Position 1006: 0.5041386752789849
Position 1039: 0.49108131640604236
Position 2140: 0.13547490323190087
Position 1288: 0.05409807809468512
Position 3283: 0.03258794405097778
Position 1223: 0.017301927577675014
Position 305: 0.015005381432337308
Position 1689: 0.011168110915248258
Position 776: 0.010974058887812941
Position 2061: 0.009834912549790836
Position 581: 0.009439667634437427
Position 21: 0.009409399611084494
Position 68: 0.008461234904992437
Position 292: 0.006956338668305002
Position 707: 0.004399017597319778
Position 2076: 0.003772702002706557
Position 1216: 0.0035672416236485205
Position 1714: 0.0031849363660529178
Position 1460: 0.0015523439885830343
Position 725: 0.0015220233801966595
Position 60: 0.0013778532899992532
Position 179: 0.0013391449571191305
Position 1503: 0.0010884428288046725
Position 1275: 0.0010436232917484594
Position 2889: 0.0010224728091459791
Position 3804: 0.0008760264956596038
Position 709: 0.0008609298768329486
Position 934: 0.0008391591701410858
Position 1580: 0.0007751660212480458
Position 1333: 0.0007548470421624667
Position 1306: 0.0007518627522867733
Position 1012: 0.0007152908010665331
Position 2919: 0.0006815872571915094
Position 345: 0.0006721345676853351
Position 320: 0.0006242275951304978
Position 590: 0.0005851152592662778
Position 14: 0.0005346091251881407
Position 437: 0.0004901581152250764
Position 222: 0.00046157521545254294
Position 1662: 0.00041519342752915217
Position 918: 0.0004136433308277732
Position 669: 0.0004026570274908201
Position 266: 0.00035674512191435367
Position 12: 0.0003401779595981376
Position 309: 0.000284692875949329
Position 770: 0.00027545739003065437
Position 1314: 0.0002491087466436958
Position 1722: 0.00024810961420281816
Position 1894: 0.0001419263432602214
Position 1137: 9.908148410442737e-05
Position 509: 7.066672439209206e-05
Position 1735: 6.682847914568192e-05
Position 1505: 6.090196739402114e-05
Position 1938: 6.005410887767947e-05
Position 7: 5.3683623876565623e-05
Position 225: 5.0620778742230084e-05
Position 1033: 2.5636449834755816e-05
Position 481: 2.549930106008667e-05
Position 635: 2.492155773756409e-05
Position 1027: 2.4473402291378237e-05
Position 473: 2.2609189932856362e-05
Position 758: 2.1258068803435858e-05
Position 2209: 2.044984506292342e-05
Position 167: 1.963961093222484e-05
Position 606: 1.5479992406569275e-05
Position 1025: 1.5211369372096215e-05
Position 406: 1.4978528443525988e-05
Position 2589: 1.4550591442453084e-05
Position 638: 1.143056825913698e-05
Position 416: 1.1162012012745109e-05
Position 518: 9.730389341674615e-06
Position 1631: 7.188320553740539e-06
Position 567: 4.830666186603138e-06
Position 1905: 4.5763539982934886e-06
Position 1596: 3.745234342332637e-06
Position 1640: 3.3650658807809416e-06
Position 908: 3.005630332576346e-06
Position 1161: 2.5180514039930073e-06
Position 1063: 1.9641013295519402e-06
Position 1116: 1.7963999276566129e-06
Position 139: 1.7431260303286391e-06
Position 461: 1.4968034557812443e-06
Position 2431: 4.405356769855799e-07
Position 528: 3.6879364368718506e-07
Position 198: 2.4978911354314736e-07
Position 1129: 1.7778204152996545e-07
Position 862: 8.694238713908288e-08
Position 1366: 4.8707406195087395e-08
Position 1111: 2.5823640049711247e-08
Position 1409: 1.1789000148806985e-08
Position 1104: 1.1484306964465819e-08
