Gene = klar
index = 1740
Annotated 5SS: [   716  32640  34510  34728  78434  86506  87777  89488  90618  94883
  96014  96125  96380  96703  97222  97395 103941 104393]
Annotated 3SS: [ 31814  34257  34565  78055  86208  87125  88842  90443  94702  95046
  96094  96237  96469  96766  97288 103764 104000 104454]
SMsplice 5SS: [   716  32640  34510  34728  40253  40533  68005  78434  86506  87777
  89488  90618  94883  96014  96380  96703  97222  97395 103941 104393]
SMsplice 3SS: [ 31814  34257  34565  40109  40315  67927  78055  86208  87125  88842
  90443  94702  95046  96237  96469  96766  97288 103764 104000 104454]
top_k =  500
Partition function (log Z): -116.36635061278986

Sorted 5' Splice Sites (High to Low Probability):
Position 716: 0.9999914305633897
Position 6985: 0.0060977742413508155
Position 6596: 0.00591608621261726
Position 3503: 6.169194894059333e-05
Position 11175: 1.2104178137439534e-05
Position 67: 1.165653938364401e-05
Position 4615: 1.1411088129266124e-05
Position 972: 1.0332549914018863e-05
Position 4917: 1.0026650631912796e-05
Position 2123: 9.096791942710236e-06
Position 145: 8.949226453468285e-06
Position 4630: 8.403236631187849e-06
Position 1187: 5.322635901823372e-06
Position 5512: 5.314887135725308e-06
Position 3473: 5.075504471562344e-06
Position 3245: 4.417092975878964e-06
Position 2211: 4.1140701047125395e-06
Position 4381: 3.793913005480969e-06
Position 107: 3.633765956739391e-06
Position 2145: 3.3673160125128573e-06
Position 4065: 3.0388663680439574e-06
Position 2337: 2.7326262180973723e-06
Position 1059: 2.4944679645692784e-06
Position 2751: 2.4295663017679138e-06
Position 2755: 2.3890252678764675e-06
Position 365: 1.8841638721139758e-06
Position 12141: 1.7583212765863019e-06
Position 379: 1.6011568902268629e-06
Position 566: 1.3009561939800304e-06
Position 820: 1.287942284705754e-06
Position 11532: 1.165156173145842e-06
Position 446: 1.006544369861382e-06
Position 7067: 1.005040128862761e-06
Position 361: 7.594401811795467e-07
Position 30: 6.476265914416647e-07
Position 586: 6.197153696843766e-07
Position 550: 4.181471638637363e-07
Position 207: 3.281057440858113e-07
Position 324: 2.7785861485262154e-07
Position 11478: 2.6923735787985594e-07
Position 381: 2.3609753501649275e-07
Position 178: 1.823081755321414e-07
Position 494: 1.6345467329402598e-07
Position 123: 1.4204573098572226e-07
Position 11547: 1.3703219687742346e-07
Position 482: 1.3128070668462543e-07
Position 832: 9.935253312008302e-08
Position 163: 9.060477286106061e-08
Position 10202: 8.479997667169228e-08
Position 7515: 7.207752147970479e-08
Position 11450: 6.82003616409573e-08
Position 11344: 6.414086599012342e-08
Position 169: 6.053189776879221e-08
Position 7542: 4.999586252654181e-08
Position 403: 4.932661629598786e-08
Position 155: 4.8117094269508947e-08
Position 58: 4.4263496844100536e-08
Position 11412: 4.379267419134716e-08
Position 463: 3.7622309063867555e-08
Position 409: 3.753267630252063e-08
Position 80: 3.367751257794581e-08
Position 838: 3.367093141482704e-08
Position 562: 3.279440942750173e-08
Position 840: 3.177703000520028e-08
Position 12145: 3.111039940201149e-08
Position 836: 2.9869592410156896e-08
Position 11239: 2.568402313842158e-08
Position 834: 2.281661862918715e-08
Position 11439: 2.037384572959021e-08
Position 11432: 1.7497047529963792e-08
Position 9435: 1.611226590968834e-08
Position 519: 1.5471598946302187e-08
Position 363: 8.397766335219655e-09
Position 824: 8.302636663142857e-09
Position 728: 8.135688276635085e-09
Position 369: 6.888257199681632e-09
Position 217: 5.5344666600597355e-09
Position 500: 5.1338227354109514e-09
Position 226: 4.343052175941414e-09
Position 391: 4.255173555412218e-09
Position 1809: 3.888920728498383e-09
Position 32: 3.885313222633915e-09
Position 1945: 3.3544634701486406e-09
Position 189: 2.930082587264957e-09
Position 776: 2.576282301609926e-09
Position 732: 1.8780371638409867e-09
