Gene = Hakai
index = 1206
Annotated 5SS: [ 468 1119]
Annotated 3SS: [ 570 1188]
SMsplice 5SS: [ 468 1119]
SMsplice 3SS: [ 597 1188]
top_k =  500
Partition function (log Z): -3.5518841737113176

Sorted 5' Splice Sites (High to Low Probability):
Position 468: 0.9982968117255135
Position 1126: 0.48977406087358955
Position 699: 0.17170734287585723
Position 1123: 0.015069939144382519
Position 720: 0.002400208625246472
Position 1087: 0.0021000994942540954
Position 1083: 0.001651232908906104
Position 815: 0.0003515646144388326
Position 801: 0.00034332908075165554
Position 1286: 0.0002570349614325655
Position 1277: 0.00024544320597658353
Position 752: 0.00023011852661307725
Position 864: 0.00018178345585485316
Position 1295: 0.00017699041688416987
Position 492: 0.00015435013640679096
Position 505: 0.00012653304965071303
Position 946: 0.00012271572177278446
Position 1777: 0.00010920985870286514
Position 472: 0.00010205537051474013
Position 1729: 8.726415197275945e-05
Position 369: 7.255902345182377e-05
Position 1100: 5.319846277129477e-05
Position 1556: 5.0081190608195315e-05
Position 543: 4.519975464172816e-05
Position 1464: 4.116519712728352e-05
Position 905: 3.1925782845936984e-05
Position 897: 2.301148343953821e-05
Position 686: 2.050337723109872e-05
Position 771: 2.0364086340295638e-05
Position 1040: 1.9426541618345873e-05
Position 1720: 1.9396690835799562e-05
Position 1470: 1.862708105394093e-05
Position 440: 1.538548747893251e-05
Position 1767: 1.3851128355810262e-05
Position 1019: 1.2658558683543089e-05
Position 841: 1.0703857535621403e-05
Position 428: 1.008673219107352e-05
Position 452: 8.011450924756536e-06
Position 899: 2.7467162554700043e-06
Position 922: 2.5578544401468446e-06
Position 873: 1.245798455418249e-06
Position 1775: 1.014876984238455e-06
Position 883: 1.0138245134088893e-06
Position 267: 5.842201638262254e-07
Position 495: 5.51703364632038e-07
Position 91: 2.6330027967721114e-07
Position 249: 2.5085446093915236e-07
Position 119: 2.1044808139798778e-07
Position 299: 1.6454603323806352e-07
Position 97: 1.0047916578819429e-07
Position 189: 3.9877502002750926e-08
Position 186: 2.7705792619847716e-08
Position 144: 2.4830871352432848e-08
Position 383: 1.1296273132517403e-08
Position 171: 9.855993577586923e-09
Position 1298: 1.220335880258559e-09
Position 1474: 7.028691955518317e-10
Position 999: 4.3454710261670824e-10
Position 1273: 3.0099679538787356e-10
Position 866: 6.610876612055525e-17

Sorted 3' Splice Sites (High to Low Probability):
Position 597: 0.9066927845965485
Position 1188: 0.6505834908691399
Position 977: 0.040196994701093676
Position 558: 0.03598749806643727
Position 570: 0.013702475710901406
Position 1025: 0.006745428056835152
Position 815: 0.006166300085032933
Position 752: 0.004712559704495805
Position 1010: 0.003673182085274194
Position 1031: 0.0029496480560404384
Position 1404: 0.00215990688168904
Position 1520: 0.002128275454901139
Position 994: 0.001555508269316856
Position 1312: 0.0012104194862473392
Position 629: 0.0008146500642636857
Position 881: 0.0006390054772114214
Position 1289: 0.0004218917399227643
Position 797: 0.0003643389015819496
Position 608: 0.00033129506184770096
Position 1824: 0.00032369910436106785
Position 1618: 0.0002784190794602883
Position 922: 0.00025723900587585816
Position 839: 0.0002530406288854235
Position 1382: 0.00023005197402213538
Position 863: 0.0002273196569454429
Position 1298: 0.00022539686776423167
Position 1499: 0.00021083438949500861
Position 949: 0.00020394716066910338
Position 1037: 0.00017984545917652505
Position 1807: 9.790726407511542e-05
Position 761: 7.846622760413868e-05
Position 1058: 6.628426575367057e-05
Position 698: 5.966246145923085e-05
Position 719: 4.5921655733620516e-05
Position 1464: 3.4574873632079654e-05
Position 1416: 3.164156904471502e-05
Position 934: 2.3312501179729008e-05
Position 1496: 2.3256991306269712e-05
Position 1449: 1.9220561562765177e-05
Position 1786: 1.899117985193847e-05
Position 686: 1.1813837573673806e-05
Position 878: 1.0532482164114053e-05
Position 1446: 9.544214929988915e-06
Position 1567: 5.3534594984237036e-06
Position 1112: 5.111672487771651e-06
Position 1422: 4.595417592646489e-06
Position 1148: 3.711314531920739e-06
Position 841: 3.387171869971406e-06
Position 421: 3.245334640753236e-06
Position 427: 2.0944035475342064e-06
Position 307: 3.0866547418067193e-07
Position 436: 2.6179774318272734e-07
Position 213: 1.4863855824873736e-07
Position 293: 1.2907121388971137e-07
Position 377: 3.130072429574465e-08
Position 501: 2.216518108714186e-08
Position 668: 2.0751224739177678e-08
Position 246: 2.06576983054372e-08
Position 230: 9.530470528289398e-09
Position 210: 8.490723376212914e-09
Position 153: 8.123142415605886e-09
Position 267: 3.942473145274329e-09
Position 319: 3.6935539223744253e-09
Position 310: 3.4526083247790166e-09
Position 352: 3.0027167537489645e-09
Position 393: 2.6753949924939023e-09
Position 410: 7.617920057095646e-10
Position 505: 7.222350974463535e-10
Position 243: 7.137504266921776e-10
Position 440: 4.4162883525824743e-10
Position 196: 3.265368281069118e-10
Position 380: 2.873756964182838e-10
Position 276: 1.1887034073597422e-10
Position 254: 1.1839944356338103e-10
Position 262: 2.1129197171727643e-11
Position 355: 3.1254161317566023e-12
Position 179: 2.319788149884184e-12
Position 140: 1.1640881638677689e-12
Position 468: 4.791162370950933e-13
Position 716: 5.318969071770429e-14
