Gene = eIF3i
index = 1685
Annotated 5SS: [ 85 752]
Annotated 3SS: [261 806]
SMsplice 5SS: [ 85 752]
SMsplice 3SS: [261 806]
top_k =  500
Partition function (log Z): -2.510087718860863

Sorted 5' Splice Sites (High to Low Probability):
Position 752: 0.9962003148099955
Position 85: 0.5238815766046171
Position 452: 0.06647128972397985
Position 171: 0.0549360291868724
Position 179: 0.01201635922895304
Position 131: 0.010130812968594317
Position 473: 0.008862378528267824
Position 173: 0.0064426662821804315
Position 184: 0.0028882108379908577
Position 504: 0.002559524920762317
Position 1082: 0.002506147753382644
Position 1111: 0.001981816865423701
Position 96: 0.0018697832410378974
Position 15: 0.0018649297192706383
Position 182: 0.0014333439870735738
Position 544: 0.0009710661722576947
Position 843: 0.0009403746342774137
Position 111: 0.0008530530615271141
Position 416: 0.0008496009374043317
Position 1244: 0.0007946060905933514
Position 925: 0.00038628101909606423
Position 857: 0.0003725102848813064
Position 756: 0.00026384696036624555
Position 961: 0.00026289806167887134
Position 1013: 0.00023718081158619116
Position 31: 0.0002358437015499823
Position 369: 0.00014261810627125724
Position 227: 0.0001331005190028501
Position 514: 0.00012815406751322708
Position 904: 0.00011216091860093887
Position 426: 0.00010791185800293142
Position 421: 7.766098766655966e-05
Position 1266: 7.538476863577215e-05
Position 725: 6.716869857802575e-05
Position 1316: 5.0403798389948424e-05
Position 13: 4.9636243196643464e-05
Position 849: 3.788363959301064e-05
Position 617: 3.556353132540407e-05
Position 720: 3.249828911933641e-05
Position 25: 3.0072387595655074e-05
Position 241: 2.7316088274900895e-05
Position 717: 2.7140339232873628e-05
Position 364: 2.6834331460544962e-05
Position 49: 2.6227043836540502e-05
Position 263: 2.1064615354639663e-05
Position 89: 2.0564163431117965e-05
Position 1305: 1.753474753341509e-05
Position 499: 1.4828257826937879e-05
Position 1291: 8.574486478048467e-06
Position 1294: 8.115793742036768e-06
Position 1308: 7.950658527946005e-06
Position 290: 6.64560086806165e-06
Position 1298: 5.146435295237247e-06
Position 1093: 5.105901515819933e-06
Position 18: 4.757327300433809e-06
Position 1215: 4.597801689929119e-06
Position 982: 4.577104834026823e-06
Position 711: 4.004695034325285e-06
Position 624: 3.7199624175882084e-06
Position 537: 3.5635906256225627e-06
Position 1239: 3.154983031213374e-06
Position 309: 2.7521089640936346e-06
Position 1008: 2.4158378104469674e-06
Position 1065: 2.3682135282573858e-06
Position 929: 2.192098992409059e-06
Position 34: 1.6940259774254514e-06
Position 366: 1.6272593355654996e-06
Position 251: 1.0999239393552191e-06
Position 267: 2.7669031264348747e-08
Position 758: 1.0665017318745156e-08
Position 699: 7.677882466811208e-09
Position 860: 6.2534568685814675e-09
Position 973: 6.172942572635504e-09
Position 807: 5.971079448746072e-09
Position 1052: 2.463683764548669e-09
Position 637: 1.1872093460549274e-09
Position 436: 9.094494362439181e-10
Position 797: 8.748496235147378e-10
Position 657: 2.527728905035242e-10
Position 660: 1.5355823155155225e-10
Position 389: 1.2292414421009802e-10
Position 407: 2.2895889482049452e-11
Position 786: 2.2342690050894817e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 806: 0.9968022358227249
Position 261: 0.5762687710625377
Position 537: 0.04201795927191513
Position 140: 0.021532488652846363
Position 669: 0.016518625448158325
Position 579: 0.01295200277587821
Position 279: 0.009132430173048198
Position 1188: 0.0057353664150110875
Position 583: 0.00511308236878834
Position 348: 0.002454323298984323
Position 309: 0.0020439090968261014
Position 171: 0.0015592977946904403
Position 554: 0.0012727369190342595
Position 904: 0.0010190942890586606
Position 563: 0.0009849384946057018
Position 215: 0.0009810486197583503
Position 612: 0.0007185186280922593
Position 856: 0.0006816307486267418
Position 504: 0.0006530540513932274
Position 847: 0.0005435787642099572
Position 1377: 0.0005053276582227783
Position 1308: 0.00035935847054737347
Position 882: 0.00035429358451734456
Position 601: 0.00024036822145756848
Position 414: 0.00013264608037957226
Position 991: 0.00011876880981906986
Position 489: 0.00011859712208054205
Position 1032: 0.00011413350696502843
Position 973: 9.372159565402742e-05
Position 1325: 8.563197714965151e-05
Position 666: 8.396507568195785e-05
Position 1294: 5.662164489957061e-05
Position 614: 5.2255000105465204e-05
Position 1305: 4.724019178943677e-05
Position 354: 3.224691962696355e-05
Position 943: 3.0316390231556015e-05
Position 1165: 2.4348330844596986e-05
Position 1319: 2.293459264666441e-05
Position 1013: 1.741061451167058e-05
Position 357: 1.4418330227130437e-05
Position 1070: 1.3064176980346403e-05
Position 1144: 8.966149380488256e-06
Position 321: 8.441755935202414e-06
Position 1147: 8.305854300901792e-06
Position 1316: 8.091441468572415e-06
Position 1255: 5.089318547386145e-06
Position 913: 4.709968396800502e-06
Position 672: 4.456504939051928e-06
Position 179: 3.1780558912514594e-06
Position 1102: 2.955687083839618e-06
Position 1399: 1.235160837836608e-06
Position 111: 9.465394738002104e-08
Position 385: 1.7985442557584095e-08
Position 288: 2.9209215252650154e-09
Position 447: 1.5553395512149482e-09
