Gene = Tehao
index = 1550
Annotated 5SS: [1173]
Annotated 3SS: [2300]
SMsplice 5SS: [1408]
SMsplice 3SS: [1469]
top_k =  500
Partition function (log Z): -13.546684778518127

Sorted 5' Splice Sites (High to Low Probability):
Position 1173: 0.5770251608576992
Position 265: 0.24006487862316056
Position 2701: 0.12527828625505
Position 779: 0.05668345379941581
Position 2104: 0.04318375381441913
Position 1626: 0.03369462920339507
Position 307: 0.02892831166544136
Position 1484: 0.02527619623399232
Position 739: 0.016340973087661456
Position 1412: 0.014335019246085318
Position 514: 0.013894649207600774
Position 2641: 0.010317762561452047
Position 288: 0.008818065392085258
Position 3657: 0.007149265497696808
Position 145: 0.005596128848081825
Position 2551: 0.0048414320027628105
Position 1048: 0.002954309369163286
Position 172: 0.0025167265895679803
Position 110: 0.0017284405369274915
Position 1587: 0.001691381831926012
Position 115: 0.0010240695270424033
Position 1577: 0.000997403868172443
Position 1286: 0.0006373755796150359
Position 327: 0.0004981682467034554
Position 330: 0.0004445278930332259
Position 1255: 0.00044369764465348517
Position 129: 0.00040262340665194314
Position 262: 0.00037819718686237007
Position 919: 0.0003487860619194418
Position 941: 0.00018201368805681638
Position 494: 0.00017157660969039772
Position 414: 0.00014686550396014346
Position 269: 0.00014078455174536386
Position 435: 8.358493694058754e-05
Position 1369: 7.880198943862181e-05
Position 1462: 7.437199055416031e-05
Position 1028: 4.478292980967241e-05
Position 668: 3.5626071022462035e-05
Position 1417: 3.5141672491847603e-05
Position 978: 2.858212194765932e-05
Position 394: 2.7218803268882673e-05
Position 37: 2.7143867970530055e-05
Position 946: 2.1881295775190252e-05
Position 475: 2.0587755800184775e-05
Position 405: 1.9112104974749616e-05
Position 224: 1.844083232297901e-05
Position 759: 1.8090820504855466e-05
Position 706: 1.633599645498303e-05
Position 1527: 1.5830129133504687e-05
Position 53: 1.2190211526912145e-05
Position 464: 1.053025363956385e-05
Position 466: 1.0367048087925307e-05
Position 836: 9.454106685538902e-06
Position 773: 6.866821041547024e-06
Position 896: 5.641183749353207e-06
Position 930: 5.188670894435088e-06
Position 700: 5.054330840014266e-06
Position 386: 3.5672804286496547e-06
Position 218: 2.943650349965353e-06
Position 150: 2.4161524303956515e-06
Position 148: 2.406422520681926e-06
Position 1177: 2.2189950252226806e-06
Position 278: 1.6584558461099703e-06
Position 618: 1.5936901386641243e-06
Position 245: 1.2706737145019269e-06
Position 230: 1.1620248989937104e-06
Position 237: 9.244610919615805e-07
Position 21: 9.222282627269385e-07
Position 363: 1.8139647808736115e-08
Position 179: 1.273141730951955e-08
Position 23: 1.0558894460968523e-08
Position 624: 4.056272003634911e-09
Position 637: 1.87626815510664e-09
Position 596: 1.192016980192158e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 3694: 0.21759461803280394
Position 1234: 0.13313280744588313
Position 363: 0.11554502191855202
Position 2300: 0.07585789044885931
Position 2194: 0.07337086624239848
Position 3840: 0.05735833984133907
Position 4120: 0.04764286809022953
Position 2221: 0.037715622255055675
Position 3102: 0.0338504380050356
Position 1407: 0.029084810696468844
Position 2163: 0.028259429390937042
Position 1863: 0.028125608314426138
Position 3438: 0.027420087548493295
Position 2838: 0.026733800923736256
Position 1469: 0.026417237596271244
Position 2200: 0.02623573632471433
Position 3105: 0.025113423815181956
