Gene = mTTF
index = 1782
Annotated 5SS: [ 493 1138]
Annotated 3SS: [ 556 1192]
SMsplice 5SS: [ 493 1138]
SMsplice 3SS: [ 556 1192]
top_k =  500
Partition function (log Z): 1.6598269389486096

Sorted 5' Splice Sites (High to Low Probability):
Position 493: 0.997015301493546
Position 1138: 0.9957585165139808
Position 661: 0.20301553887031565
Position 751: 0.04465911069711845
Position 1018: 0.020229050621339267
Position 958: 0.010540396065278733
Position 185: 0.002029492359868415
Position 1323: 0.0017125178183839398
Position 1114: 0.0006987304729222334
Position 397: 0.0005987269749747583
Position 1202: 0.0005977569755756737
Position 1343: 0.0005849554096297704
Position 235: 0.0005622972481753758
Position 804: 0.0004982123835743218
Position 202: 0.0004069456023211557
Position 736: 0.0004068574028513165
Position 841: 0.00024393103206702608
Position 1481: 0.00022997163398356151
Position 665: 0.00020872382995140455
Position 1492: 0.00020552718526986678
Position 1487: 0.00020189692554293192
Position 894: 0.00013902031995062582
Position 1369: 0.00013779185006892834
Position 64: 0.0001181959750018464
Position 856: 9.026704747100702e-05
Position 464: 8.933354316532739e-05
Position 1247: 7.662341011849434e-05
Position 1123: 5.78858862511664e-05
Position 795: 5.064810064799497e-05
Position 1466: 2.637984261667152e-05
Position 1042: 2.563727040600281e-05
Position 441: 2.4270531474109645e-05
Position 709: 2.1825007328029092e-05
Position 640: 1.6160169265128417e-05
Position 707: 1.5905503005011027e-05
Position 1039: 1.5771139656858962e-05
Position 951: 1.4085794363952138e-05
Position 328: 1.3174682181482276e-05
Position 1419: 1.3086331387880666e-05
Position 588: 9.437348142942498e-06
Position 24: 6.647660426645713e-06
Position 1421: 5.608870433250279e-06
Position 1067: 5.553729357249735e-06
Position 777: 5.3565328041211675e-06
Position 33: 5.349571376174107e-06
Position 1484: 5.317883161250781e-06
Position 903: 5.2661444265631264e-06
Position 223: 5.237121391159558e-06
Position 1142: 4.926507193143497e-06
Position 303: 4.468803446677165e-06
Position 459: 4.417140817690938e-06
Position 1129: 4.023156898860117e-06
Position 1029: 3.5088618732251833e-06
Position 647: 2.8299390185579686e-06
Position 378: 2.6609970455884962e-06
Position 843: 2.4561902428229275e-06
Position 1326: 2.419732568521953e-06
Position 521: 1.9810316250233582e-06
Position 53: 1.3779372825478123e-06
Position 13: 1.3701649420848944e-06
Position 479: 1.0442011325707295e-06
Position 619: 1.0301366190156081e-06
Position 414: 7.067749576324835e-07
Position 536: 6.981862256188474e-07
Position 1061: 6.20070408603853e-07
Position 1378: 2.6793004395948053e-07
Position 261: 1.8274463685616493e-07
Position 1152: 1.7777766032016594e-09
Position 543: 1.756124809094067e-09
Position 1231: 1.4979753386205876e-09
Position 1079: 4.874906496320159e-10
Position 898: 8.651454354297649e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 556: 0.9943152566626237
Position 1192: 0.9889417426450493
Position 894: 0.13244438860916846
Position 722: 0.08747530909497261
Position 1073: 0.031018370408653045
Position 1017: 0.01590286771350356
Position 822: 0.005652301032503942
Position 1278: 0.00540399408701424
Position 903: 0.004097283506773296
Position 1387: 0.002373509844545199
Position 275: 0.0018849828314535712
Position 813: 0.0018502482924246289
Position 1359: 0.0017496104853771137
Position 1113: 0.001745455995611992
Position 1079: 0.0011569033945100485
Position 1543: 0.0006917334261592353
Position 729: 0.0006022829263945807
Position 771: 0.0005718658792441896
Position 234: 0.0004891906199119478
Position 1199: 0.00037746600980086094
Position 603: 0.0002950789572354074
Position 1513: 0.0002705574634977211
Position 1231: 0.00022467681485008345
Position 864: 0.0002097633494022257
Position 400: 0.00020435574988310763
Position 1419: 0.00017855026699878439
Position 1294: 0.00017678511386630015
Position 296: 0.00014800072223410197
Position 1054: 0.00010320889952036936
Position 924: 9.735903791304692e-05
Position 996: 8.76294173470057e-05
Position 984: 6.693224456856729e-05
Position 801: 5.457517716574824e-05
Position 1239: 4.969836307261229e-05
Position 1246: 4.353621421724388e-05
Position 1172: 3.653550951396916e-05
Position 238: 3.6300149950030394e-05
Position 936: 3.506933717822845e-05
Position 1297: 3.226416487934962e-05
Position 1225: 2.885439957588159e-05
Position 106: 2.6293172373169944e-05
Position 315: 2.614882194519161e-05
Position 740: 2.443750521380923e-05
Position 588: 2.256653759244334e-05
Position 1430: 2.1693386146768112e-05
Position 573: 2.078695191776296e-05
Position 163: 1.94468590433064e-05
Position 431: 1.8130550923762774e-05
Position 113: 1.6414228384388162e-05
Position 579: 1.3860432616344608e-05
Position 185: 1.126539063031744e-05
Position 1407: 1.0853527142921957e-05
Position 1201: 1.0485956090058217e-05
Position 1427: 9.579619716430497e-06
Position 1492: 9.118808548008059e-06
Position 942: 7.79389925928689e-06
Position 350: 5.448269840334641e-06
Position 1398: 4.712074304536194e-06
Position 454: 4.1685151346448835e-06
Position 73: 4.053235494256526e-06
Position 166: 3.924124570513386e-06
Position 699: 3.83675207434118e-06
Position 367: 3.279624733155113e-06
Position 1208: 3.2057240291690384e-06
Position 915: 2.9685079962616208e-06
Position 125: 2.962583653187353e-06
Position 359: 2.077356833526639e-06
Position 1089: 1.939775170076858e-06
Position 1084: 1.8883719192771571e-06
Position 94: 1.73229363038996e-06
