Gene = nSMase
index = 1812
Annotated 5SS: [189]
Annotated 3SS: [274]
SMsplice 5SS: [189]
SMsplice 3SS: [274]
top_k =  500
Partition function (log Z): -8.320176157296617

Sorted 5' Splice Sites (High to Low Probability):
Position 189: 0.9778680619768971
Position 109: 0.01936486129661869
Position 474: 0.016727076813384364
Position 1544: 0.003324425713006602
Position 485: 0.0030774095792366336
Position 644: 0.0020393767827545047
Position 372: 0.0018919685838943942
Position 347: 0.0006893229577798381
Position 574: 0.0006750971520140091
Position 518: 0.0006133168303933274
Position 284: 0.0005508148290348703
Position 907: 0.0004256123531942531
Position 1098: 0.00031715017575858985
Position 522: 0.0003022927745664168
Position 1110: 0.0002505490350709991
Position 665: 0.0002495504051674465
Position 1143: 0.00023777759817415447
Position 948: 0.00023276998069616658
Position 466: 0.0002209789989262346
Position 1521: 0.00021622753472652794
Position 1072: 0.00020906832282560078
Position 930: 0.00016974203727707524
Position 612: 0.00014850820451021456
Position 681: 0.00014622828419597912
Position 1569: 8.908128629348386e-05
Position 792: 7.96448563764485e-05
Position 123: 6.244117073244242e-05
Position 72: 5.826310539965699e-05
Position 1550: 5.132373363433177e-05
Position 35: 4.703928251256828e-05
Position 1678: 3.615571522795733e-05
Position 142: 2.4548770313376667e-05
Position 27: 1.9181333407557755e-05
Position 1613: 1.2188903135516677e-05
Position 1120: 1.1498547470521551e-05
Position 1606: 1.0847613687160091e-05
Position 1645: 1.0603199382280315e-05
Position 98: 1.026758095455677e-05
Position 1283: 7.822555841728068e-07
Position 374: 8.578155945272003e-08
Position 150: 7.16712701650083e-08
Position 453: 7.027654560489875e-08
Position 295: 4.022348922790199e-08
Position 479: 2.1998760752021983e-08
Position 263: 1.2518689126995249e-08
Position 541: 8.644385018657462e-09
Position 515: 5.133035092482949e-09
Position 506: 2.2433054133005878e-09
Position 288: 2.1192316370149473e-09
Position 420: 1.220212539197278e-09
Position 560: 1.1498647822621857e-09
Position 290: 3.3784588666166905e-10
Position 357: 2.619916078668129e-10
Position 359: 4.050988403200556e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 274: 0.9338214285200919
Position 253: 0.05121788204549922
Position 548: 0.013611093574359013
Position 304: 0.005320517565298628
Position 1733: 0.004640312092954313
Position 717: 0.0036805450012163564
Position 368: 0.0028554794427530163
Position 1611: 0.002163445024841764
Position 743: 0.0018062973463334568
Position 1304: 0.0017791734079050856
Position 1333: 0.0012547193309702686
Position 448: 0.0012431183579450324
Position 689: 0.0012421306458672563
Position 573: 0.0006509933379548778
Position 1252: 0.0006307219480319899
Position 1502: 0.0005994426207884137
Position 963: 0.0005557512260686456
Position 776: 0.0005190712603832635
Position 1272: 0.00033788684189738294
Position 608: 0.0003242329830732209
Position 433: 0.000273513364508457
Position 724: 0.000269618354469988
Position 1421: 0.00017977750935174917
Position 407: 0.00016477312812715228
Position 812: 0.00016116005353176117
Position 1167: 0.00015579385936651484
Position 332: 0.00010919621517713984
Position 791: 0.00010899081622199101
Position 823: 0.00010368009998014909
Position 371: 0.00010166241111716394
Position 1645: 9.480035068124344e-05
Position 162: 7.980661197179404e-05
Position 881: 7.821538696003904e-05
Position 329: 7.258285434706489e-05
Position 1012: 5.2895967178913836e-05
Position 1138: 5.108979702317243e-05
Position 198: 4.411822491049611e-05
Position 1577: 3.521709016349711e-05
Position 644: 2.5281660417428373e-05
Position 1742: 2.5101739473766396e-05
Position 1753: 2.3366784990526496e-05
Position 113: 4.711599105394598e-06
Position 142: 1.6911565896647595e-06
Position 139: 9.042917666150098e-07
Position 72: 1.0532638051451258e-07
Position 213: 5.3523661320482305e-08
Position 295: 2.61296508062966e-08
Position 340: 1.3613028916456015e-09
Position 416: 5.561439929494405e-10
Position 485: 3.4223761242002954e-10
Position 193: 4.870707395859567e-11
Position 223: 2.753511624825755e-12
Position 347: 2.3741521969035657e-12
Position 195: 3.4049648982772475e-14
