Gene = Tspo
index = 1574
Annotated 5SS: [426]
Annotated 3SS: [484]
SMsplice 5SS: [426]
SMsplice 3SS: [484]
top_k =  500
Partition function (log Z): -5.493919705760536

Sorted 5' Splice Sites (High to Low Probability):
Position 426: 0.9945893680490361
Position 699: 0.12732104480138454
Position 726: 0.0925215470148669
Position 694: 0.029609596073914887
Position 200: 0.0007628692812114852
Position 430: 0.0007016177730704257
Position 356: 0.00033348501848134217
Position 45: 0.00021333186134525793
Position 843: 5.324222174094863e-05
Position 300: 3.557974975136382e-05
Position 135: 2.4587333180313587e-05
Position 269: 2.304834198591126e-05
Position 455: 1.1831485983157253e-05
Position 736: 8.157311379655479e-06
Position 243: 4.904007729723936e-06
Position 72: 4.590637698704831e-06
Position 307: 3.924018187180705e-06
Position 548: 3.527147777950232e-06
Position 97: 3.0173982748118417e-06
Position 575: 2.1178428180618457e-06
Position 101: 1.4569198531779814e-06
Position 520: 1.3866158076934077e-06
Position 500: 6.855632379962887e-07
Position 32: 6.801757082285356e-07
Position 215: 6.634829321100037e-07
Position 738: 5.953827090592242e-07
Position 257: 5.560123625470876e-07
Position 386: 4.924271551683668e-07
Position 103: 4.203796981354229e-07
Position 584: 3.461304333989032e-07
Position 792: 2.2409059818517423e-07
Position 815: 1.4635031962525945e-07
Position 457: 1.0930806225238253e-07
Position 462: 9.715740177417107e-08
Position 538: 6.855600841458992e-08
Position 862: 3.3777290653639124e-08
Position 533: 2.3231940653778903e-08
Position 302: 4.398581488743892e-09
Position 221: 6.445408982120222e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 484: 0.9916264926029714
Position 757: 0.15540601064877446
Position 780: 0.09722935906279417
Position 500: 0.001042558205564399
Position 815: 0.00030565719447299145
Position 905: 0.00014565796272790455
Position 556: 0.00013932607489873123
Position 230: 9.680011806392423e-05
Position 410: 7.271331436061129e-05
Position 368: 4.7405103286846535e-05
Position 812: 3.355443369679543e-05
Position 792: 2.9105909345941164e-05
Position 194: 1.67775757818973e-05
Position 181: 1.4056392693158026e-05
Position 631: 1.3287241135202915e-05
Position 548: 6.4144892730326325e-06
Position 215: 6.197508421593803e-06
Position 843: 3.878746294279412e-06
Position 454: 1.4990534758768446e-06
Position 649: 6.192700851531355e-07
Position 185: 5.763971134401383e-07
Position 449: 4.1358259445316677e-07
Position 652: 4.0935298187131485e-07
Position 646: 1.7275694280526156e-07
Position 196: 1.5719464218791918e-07
Position 726: 9.536991855872107e-08
Position 709: 8.400146128990289e-08
Position 422: 4.409288635499591e-08
Position 704: 3.98589294915961e-08
Position 332: 7.023565446061633e-09
Position 684: 6.817600167557571e-09
Position 661: 2.059160758800604e-10
Position 643: 2.004024213595311e-10
Position 673: 1.317549772821634e-10
Position 318: 7.962820319906457e-11
Position 430: 3.668940755711945e-15
