Gene = ssp6
index = 1893
Annotated 5SS: [ 624 2560]
Annotated 3SS: [2196 2619]
SMsplice 5SS: [ 624 2560]
SMsplice 3SS: [2196 2619]
top_k =  500
Partition function (log Z): -4.795597591041783

Sorted 5' Splice Sites (High to Low Probability):
Position 624: 0.9794831436781416
Position 2560: 0.9623241130998967
Position 2705: 0.470793765852272
Position 3800: 0.3310776942913602
Position 4117: 0.062038477103177024
Position 2750: 0.06052882797388174
Position 5131: 0.04948402594897939
Position 4548: 0.03768200441027749
Position 5207: 0.03346864514538738
Position 2098: 0.02337791384402441
Position 2530: 0.012477431970454011
Position 2095: 0.011696209102142387
Position 2551: 0.01068567881952867
Position 2150: 0.009526809845064446
Position 2565: 0.009308278555045317
Position 1494: 0.0072686372617032985
Position 2689: 0.005452983814676482
Position 614: 0.004835743859372376
Position 232: 0.003257033861002529
Position 195: 0.0032098152061562158
Position 3337: 0.0030438525184660137
Position 2887: 0.0030402423873088055
Position 1775: 0.0029218358997617337
Position 2012: 0.002779595736953754
Position 3481: 0.002075670403764887
Position 2549: 0.002046352650611679
Position 811: 0.001995223452462143
Position 4768: 0.0018666413488608142
Position 1964: 0.001690382061907691
Position 1746: 0.001267968137938133
Position 2276: 0.0012656448691607343
Position 2809: 0.001250295644421224
Position 426: 0.0012121771632744788
Position 2122: 0.0011944736560961654
Position 2394: 0.0010991528766563247
Position 2402: 0.0010947166182519465
Position 642: 0.0010065172808889366
Position 774: 0.0008363866847978809
Position 1543: 0.0007579319434870221
Position 2000: 0.0005992645832200509
Position 968: 0.0005991265783264609
Position 3709: 0.0005870067416181238
Position 2816: 0.0005575827309497249
Position 281: 0.0005252598221528634
Position 1221: 0.00044814091348667994
Position 966: 0.00037538575397231107
Position 2724: 0.0003599723477632388
Position 189: 0.00034949350521987975
Position 751: 0.00029367599937350335
Position 244: 0.00022439521607371004
Position 238: 0.00021939612756537215
Position 1893: 0.0001963052571989751
Position 174: 0.0001763681711731437
Position 1102: 0.00015889060837927704
Position 2426: 0.00014651247250809142
Position 1599: 0.0001431414843146397
Position 788: 0.00012707562553390458
Position 1014: 0.00011748203835051223
Position 3845: 0.00010606326560371467
Position 1779: 0.00010517297896222037
Position 1934: 0.00010306186522569415
Position 1565: 7.908414269177001e-05
Position 373: 7.728309773371283e-05
Position 1186: 7.6414846716431e-05
Position 116: 6.995476290998043e-05
Position 830: 5.661662114034791e-05
Position 2437: 5.132289437407121e-05
Position 575: 4.584639556597375e-05
Position 994: 4.03363109529367e-05
Position 827: 3.9607767813402934e-05
Position 3029: 3.668391959453163e-05
Position 634: 3.419340281280947e-05
Position 957: 3.353025610207836e-05
Position 533: 3.091358753761565e-05
Position 226: 2.895561515007444e-05
Position 3082: 2.6200939424666743e-05
Position 3014: 2.571439197841621e-05
Position 1631: 2.529365995536985e-05
Position 1085: 2.5243354343292662e-05
Position 1585: 2.4387383541331967e-05
Position 203: 2.4153291040841665e-05
Position 791: 2.3026764844154322e-05
Position 1558: 2.0113763622444258e-05
Position 817: 1.9938064105437854e-05
Position 1582: 1.9187653178312213e-05
Position 1168: 1.7524386325024478e-05
Position 718: 1.699569641809474e-05
Position 224: 1.6936005018197428e-05
Position 248: 1.6896583691884535e-05
Position 186: 1.6488697904996976e-05
Position 656: 1.6428374192748983e-05
Position 176: 1.639669778382615e-05
Position 2709: 1.6282183705693697e-05
Position 1519: 1.4706723594773961e-05
Position 2310: 1.4086636190678248e-05
Position 2491: 1.3867505174036201e-05
Position 1123: 1.3214386974521955e-05
Position 771: 1.2434401144127452e-05
Position 6: 1.2266523356730434e-05
Position 2533: 1.0308144230664225e-05
Position 1720: 1.0299941893255916e-05
Position 954: 1.0225154231727122e-05
Position 910: 1.0141112154844168e-05
Position 1260: 8.149035574021557e-06
Position 2591: 6.854735586456149e-06
Position 396: 5.6491118305761e-06
Position 806: 4.772280849290001e-06
Position 2738: 4.102769720350474e-06
Position 148: 3.638285142216577e-06
Position 1984: 2.6851722738077605e-06
Position 815: 2.4947877330229797e-06
Position 168: 2.147763255595354e-06
Position 295: 1.304965995031203e-06
Position 2496: 1.1174177952991006e-06
Position 398: 1.0131063847437938e-06
Position 311: 9.532139585591587e-07
Position 491: 7.654901758368304e-07
Position 2389: 7.188291843118141e-07
Position 250: 4.796820927110936e-07
Position 2290: 2.969763927548657e-07
Position 198: 1.8203014091141627e-07
Position 685: 1.395815211522871e-07
