Gene = Qtzl
index = 1398
Annotated 5SS: [204]
Annotated 3SS: [261]
SMsplice 5SS: [204]
SMsplice 3SS: [261]
top_k =  500
Partition function (log Z): -6.226241854648967

Sorted 5' Splice Sites (High to Low Probability):
Position 204: 0.9989009819080691
Position 411: 0.006920965655566724
Position 279: 0.0020406180314622513
Position 519: 0.0013331426681425
Position 751: 0.001213553779940335
Position 532: 0.0005628603425011606
Position 415: 0.00043269170392353407
Position 653: 0.000376998006934258
Position 313: 0.00029765867514669643
Position 637: 0.00022634683155594727
Position 707: 0.00018828684318788244
Position 363: 0.00017665735576854818
Position 146: 0.000171812070927062
Position 728: 0.0001124567416737735
Position 21: 7.767530596899084e-05
Position 9: 7.371812580519788e-05
Position 790: 7.022215891970275e-05
Position 716: 6.954135763911727e-05
Position 651: 6.135240016313595e-05
Position 521: 4.368491200034258e-05
Position 254: 3.359171038856274e-05
Position 30: 2.8249354546464487e-05
Position 361: 2.3805435146867266e-05
Position 143: 1.5775999169164382e-05
Position 603: 1.4470128195746796e-05
Position 619: 1.071205750869753e-05
Position 584: 9.393115484292298e-06
Position 815: 4.428020150284378e-06
Position 765: 4.10927849831879e-06
Position 481: 3.7744935438335046e-06
Position 107: 3.1414324862540616e-06
Position 248: 3.0814431481506313e-06
Position 601: 3.0403089216535507e-06
Position 805: 1.7051796122804314e-06
Position 229: 1.4712510805393476e-06
Position 83: 1.602595687037013e-07
Position 258: 4.081821805052841e-09
Position 595: 6.44472416205193e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 261: 0.9646524834237997
Position 595: 0.009510716486746364
Position 564: 0.008773880366701382
Position 726: 0.0056783464587095165
Position 305: 0.005503576065498382
Position 278: 0.004072319271151156
Position 839: 0.0024329568458314205
Position 338: 0.0024297266640757155
Position 879: 0.0022839836628926534
Position 716: 0.0013155772658959362
Position 580: 0.0013031940027000836
Position 768: 0.0011290249834147268
Position 524: 0.0010566689905301158
Position 296: 0.0009908735844888165
Position 519: 0.000807804662155749
Position 545: 0.0005690953852940259
Position 751: 0.00038910248492818984
Position 316: 0.00013239080616311505
Position 614: 0.00012391775352162175
Position 72: 9.709097918745465e-05
Position 311: 6.781137621065644e-05
Position 444: 4.212061138187798e-05
Position 61: 3.507792591217887e-05
Position 528: 2.4692422615130035e-05
Position 660: 2.305112084409545e-05
Position 83: 2.2510485145502093e-05
Position 52: 1.2209936384970535e-05
Position 203: 1.00386928122295e-05
Position 645: 7.361146789927006e-06
Position 106: 5.7657862581449534e-06
Position 100: 5.709839402624428e-06
Position 272: 1.2822618643010115e-06
Position 171: 1.2016211276957515e-06
Position 137: 2.9774088255218304e-07
Position 150: 2.514252702582103e-07
Position 157: 9.770613812552566e-09
Position 176: 7.099984339339807e-09
Position 208: 4.145996026275486e-09
Position 188: 3.5471582278505225e-09
Position 229: 1.46152168874205e-09
Position 221: 5.071738564279063e-10
Position 274: 3.743177300022029e-15
