Gene = sunn
index = 1902
Annotated 5SS: [ 111  615  798 1074 1346 1978 2399 2861 3311]
Annotated 3SS: [ 166  688  949 1130 1427 2034 2453 2939 3364]
SMsplice 5SS: [ 615  798 1074 1346 1978 2399 2861 3311]
SMsplice 3SS: [ 688  949 1130 1427 2034 2453 2939 3364]
top_k =  500
Partition function (log Z): 17.474282723595405

Sorted 5' Splice Sites (High to Low Probability):
Position 2399: 0.9952561079079237
Position 1346: 0.994452050115168
Position 1074: 0.9824396828894558
Position 1978: 0.9745576887645114
Position 615: 0.9095108272425739
Position 2861: 0.8619827676055579
Position 798: 0.821635102694893
Position 3311: 0.6715983587404494
Position 111: 0.22096121834124882
Position 2540: 0.1386089386227552
Position 1750: 0.1323091849590534
Position 2552: 0.06716169591803448
Position 1606: 0.025672624957327344
Position 3030: 0.024636184267673746
Position 2584: 0.022691253513867526
Position 115: 0.0222754819213162
Position 2137: 0.018280474620006638
Position 293: 0.013787167958705151
Position 78: 0.010177215373361397
Position 802: 0.00905147680041396
Position 469: 0.008747467745477086
Position 1650: 0.00870850282416055
Position 151: 0.0075125887154322175
Position 2831: 0.0062509661086169455
Position 1965: 0.006103031717893849
Position 1537: 0.006017569328284984
Position 1068: 0.005870138110597102
Position 100: 0.005374316253722623
Position 1928: 0.004243062480846344
Position 627: 0.004206028606934533
Position 834: 0.003711134629610145
Position 1497: 0.0036313843210424262
Position 1967: 0.0035538920549163596
Position 2308: 0.0032312414161506614
Position 1325: 0.0026380996987355925
Position 1000: 0.002628321589383432
Position 3254: 0.002547291730402214
Position 45: 0.0020155660468519202
Position 2576: 0.0020044107445956246
Position 2727: 0.0016018386828892523
Position 55: 0.001509462242825241
Position 613: 0.0013864397193480897
Position 1754: 0.001264558590219569
Position 3273: 0.0009130688719603579
Position 431: 0.0008618475398020312
Position 96: 0.0007092504608711877
Position 2708: 0.0005909134959007962
Position 119: 0.0005201116549643186
Position 3148: 0.00041982446132915084
Position 2141: 0.0004071728750482653
Position 1086: 0.0003565420016383633
Position 3270: 0.00033993309347292726
Position 3076: 0.000321443252515034
Position 2119: 0.0002924299891834374
Position 377: 0.0002678869520680044
Position 781: 0.0002629370295546779
Position 1071: 0.00022115044408269768
Position 530: 0.00020867224739030003
Position 3213: 0.00020049540808708284
Position 3063: 0.00019618160065309806
Position 1957: 0.00017474553765561458
Position 2620: 0.00017274079099834945
Position 1225: 0.00017165958084955048
Position 1050: 0.00016691504524397045
Position 2872: 0.00014742218706345167
Position 3500: 0.00013831283543350701
Position 2880: 0.00013382056062145246
Position 2403: 0.00012733198488453043
Position 250: 0.0001161040532154641
Position 2627: 0.0001143590676508609
Position 239: 9.974163675464164e-05
Position 29: 9.091787418854426e-05
Position 2867: 8.76992153365533e-05
Position 1501: 7.912027194404176e-05
Position 145: 6.688145189223531e-05
Position 1991: 6.62964189135753e-05
Position 1516: 5.958522959790353e-05
Position 1692: 5.641584019269561e-05
Position 156: 5.431080152434062e-05
Position 1784: 5.2740782712362975e-05
Position 875: 4.763904087671087e-05
Position 1849: 4.682081498851542e-05
Position 2097: 3.7037282586613246e-05
Position 2323: 3.513684361252961e-05
Position 1101: 3.26959091200765e-05
Position 233: 3.242860397166011e-05
