Gene = flr
index = 1702
Annotated 5SS: [ 133  596 1306 1758 2878 3085]
Annotated 3SS: [ 473 1214 1493 1822 2933 3151]
SMsplice 5SS: [ 133  596 1306 1758 2878 3085]
SMsplice 3SS: [ 473 1214 1493 1822 2933 3151]
top_k =  500
Partition function (log Z): 12.661205024079852

Sorted 5' Splice Sites (High to Low Probability):
Position 1758: 0.9998108098341337
Position 3085: 0.9907299460071383
Position 596: 0.9814106372425335
Position 1306: 0.968292232215177
Position 133: 0.8331314980899289
Position 2878: 0.7142828216726972
Position 231: 0.12322846938633349
Position 941: 0.09035200349057058
Position 314: 0.032195833090263325
Position 3238: 0.02186076293789582
Position 890: 0.014879991273603151
Position 2444: 0.007358916623478602
Position 2848: 0.007084868736644588
Position 122: 0.005684403564568328
Position 1999: 0.0049971500966702114
Position 1005: 0.003575982144541412
Position 1053: 0.003570911739865329
Position 2871: 0.0034658098296951627
Position 1070: 0.003007779347726786
Position 2131: 0.0030027258568269054
Position 2524: 0.0026820927503543993
Position 1424: 0.002223174090447448
Position 262: 0.001757643120108119
Position 424: 0.0017035079251121203
Position 415: 0.0013885218611456522
Position 1974: 0.0013839202938289747
Position 2649: 0.00109093437206637
Position 707: 0.0010151057569522397
Position 665: 0.0010139663809499181
Position 190: 0.0009722018655411396
Position 3106: 0.000814543909265199
Position 3089: 0.0007579822003201175
Position 197: 0.0006609226040387938
Position 1394: 0.0005963733061779648
Position 1303: 0.00043531282919022764
Position 703: 0.0003950964580269456
Position 2817: 0.0003516189512602507
Position 911: 0.0003460575764702538
Position 3047: 0.000320018759579058
Position 3180: 0.0003026040887871986
Position 2863: 0.0003025209652341729
Position 884: 0.00028243082259698577
Position 1966: 0.0002630872343280241
Position 1310: 0.0002587810638544524
Position 3103: 0.000256700091908092
Position 2139: 0.00024229104661633205
Position 913: 0.0002220797065308808
Position 1149: 0.0002136030490600695
Position 2521: 0.00017383498824362955
Position 65: 0.00016860732347790392
Position 1116: 0.00016317195537671748
Position 2546: 0.00014647664581019838
Position 2851: 0.0001062941939907172
Position 2339: 9.729186633358205e-05
Position 1370: 9.479548351295162e-05
Position 964: 9.046604946080714e-05
Position 358: 9.039906047842858e-05
Position 1751: 8.674609738726854e-05
Position 2272: 8.37663673729039e-05
Position 3554: 8.336277568050287e-05
Position 3347: 7.901000005491764e-05
Position 137: 6.53019076366025e-05
Position 2487: 6.254655864814517e-05
Position 3339: 5.9090239122905205e-05
Position 29: 5.63063178107197e-05
Position 338: 5.223351824326658e-05
Position 3549: 5.183228485951931e-05
