Gene = PHGPx
index = 1356
Annotated 5SS: [ 448 1919]
Annotated 3SS: [1594 1985]
SMsplice 5SS: [ 448 1289 1919]
SMsplice 3SS: [1077 1594 1985]
top_k =  500
Partition function (log Z): 1.892140639615237

Sorted 5' Splice Sites (High to Low Probability):
Position 1919: 0.9980630234760958
Position 1289: 0.9636337887257519
Position 587: 0.25665462319526483
Position 448: 0.2519910134359465
Position 103: 0.20613251012660022
Position 1014: 0.1496133648735339
Position 177: 0.07052184749171513
Position 581: 0.04365376321764669
Position 58: 0.024273268555323798
Position 530: 0.022491525236347173
Position 713: 0.021932742540148986
Position 602: 0.00861492353931864
Position 546: 0.00836536447671157
Position 1293: 0.008010197515546588
Position 2191: 0.006904016084907907
Position 402: 0.006538395138535776
Position 192: 0.0059660023051250006
Position 998: 0.005575234370655528
Position 2174: 0.005338263213845809
Position 259: 0.00476891961830639
Position 687: 0.0037065689697082923
Position 426: 0.0035648946498447326
Position 781: 0.0033202040345399393
Position 1783: 0.002979899806122092
Position 639: 0.0026331796860578696
Position 1064: 0.0017491158093038636
Position 764: 0.0015082052062081457
Position 619: 0.0012441632374134179
Position 1223: 0.0006957779616772041
Position 1703: 0.0006295032976781857
Position 297: 0.0005507242131373971
Position 364: 0.00045110663958420396
Position 555: 0.0004368985138385668
Position 591: 0.0004111773253249292
Position 1439: 0.00035928770959858445
Position 793: 0.00033799379426903875
Position 1732: 0.00031035704505888017
Position 339: 0.0002820771371879538
Position 550: 0.00028032314172244066
Position 1690: 0.00025641254822352856
Position 66: 0.00024085936357580816
Position 976: 0.00021957195746169882
Position 912: 0.00019287826889323846
Position 920: 0.0001889347616021496
Position 1182: 0.00014523289469399835
Position 607: 0.00013678812422714424
Position 2091: 0.00013425497960402048
Position 1470: 0.0001304149867292836
Position 2180: 0.00012651231857793124
Position 171: 0.00010880365564908436
Position 15: 8.473463584560155e-05
Position 719: 7.892893024146769e-05
Position 348: 7.263178984970999e-05
Position 1715: 6.929239313303506e-05
Position 1907: 5.539808343789863e-05
Position 1132: 4.7568263233668535e-05
Position 2084: 4.1284496812001125e-05
