Gene = UK114
index = 1579
Annotated 5SS: [170 472]
Annotated 3SS: [241 700]
SMsplice 5SS: [170 472]
SMsplice 3SS: [241 700]
top_k =  500
Partition function (log Z): -0.08401939733430075

Sorted 5' Splice Sites (High to Low Probability):
Position 472: 0.9870249004170828
Position 170: 0.9737152227279607
Position 625: 0.011993248564103
Position 190: 0.004125894808691163
Position 843: 0.0021617449694632945
Position 184: 0.0018705163930646835
Position 459: 0.000769639557206124
Position 618: 0.0007419994425763528
Position 16: 0.0005284397859280385
Position 831: 0.000334150716535248
Position 593: 0.00017985368479188344
Position 476: 0.00012701405133663506
Position 402: 8.68520320514504e-05
Position 494: 6.141894312118527e-05
Position 117: 5.8451951790350615e-05
Position 33: 4.280558695199281e-05
Position 269: 1.203264640202363e-05
Position 419: 1.0976418892301115e-05
Position 5: 1.075749385447594e-05
Position 417: 8.437313179633582e-06
Position 814: 7.679396160686723e-06
Position 450: 6.702718579062745e-06
Position 799: 4.056982020128085e-06
Position 156: 4.028235179811725e-06
Position 766: 3.411953914398048e-06
Position 544: 2.6454557077480723e-06
Position 393: 2.142205287161785e-06
Position 315: 2.0657223362713268e-06
Position 369: 1.2817878588469427e-06
Position 89: 1.21914800428993e-06
Position 777: 1.0821018798424195e-06
Position 66: 6.025695060461823e-07
Position 520: 5.038027278645426e-07
Position 84: 3.400304552016015e-07
Position 852: 2.949942935011947e-07
Position 223: 2.562091548722585e-07
Position 289: 1.808003625790487e-07
Position 739: 1.758542862966454e-07
Position 523: 7.308871769802856e-08
Position 107: 2.488953829441625e-08
Position 262: 1.7448676200327483e-08
Position 249: 3.2787085966440022e-09
Position 267: 3.0633538724455734e-09
Position 252: 3.0418710974344686e-09
Position 283: 2.3643838577416186e-09
Position 238: 1.3402488097280175e-09
Position 275: 6.136664631929091e-10
Position 694: 1.6662723675952734e-11
Position 679: 2.5105235061650073e-15
Position 273: 3.741007434010891e-16

Sorted 3' Splice Sites (High to Low Probability):
Position 700: 0.938435795708695
Position 241: 0.881975614413195
Position 245: 0.09591527755418812
Position 728: 0.04213698313186796
Position 738: 0.012710895098502418
Position 518: 0.007296717635720076
Position 891: 0.002167222702178929
Position 642: 0.0008441897895136202
Position 711: 0.0006939640655399258
Position 84: 0.0005764493207032202
Position 886: 0.0004446467400895403
Position 580: 0.0003163841969309968
Position 597: 0.00010784255009702558
Position 299: 9.684925821973877e-05
Position 897: 3.7238707583462226e-05
Position 324: 3.553916631122892e-05
Position 377: 2.99240218641927e-05
Position 747: 2.858726574819157e-05
Position 450: 1.7006462292780547e-05
Position 344: 1.698651457095034e-05
Position 347: 6.612435896751118e-06
Position 505: 3.1356134668101587e-06
Position 428: 2.9691778696481623e-06
Position 98: 1.5941748759512406e-06
Position 417: 1.447467263155738e-06
Position 133: 9.043115476364643e-07
Position 402: 5.742579227395941e-07
Position 339: 4.2489053929866756e-07
Position 777: 3.7935134120160206e-07
Position 852: 2.697189062079861e-07
Position 855: 1.9472954089875794e-07
Position 822: 1.8165231640847658e-07
Position 196: 1.5626507097660063e-07
Position 410: 6.314323265311125e-08
Position 47: 3.8501908924661095e-08
Position 121: 3.193500822316434e-08
Position 174: 1.7964503881834754e-08
Position 156: 1.7837658364810057e-08
Position 152: 8.092689120181674e-09
Position 467: 6.497331516257737e-09
Position 365: 6.333856151766617e-09
Position 458: 4.775733565776267e-09
Position 170: 2.1630856443387917e-09
Position 356: 1.0225546817331536e-09
Position 393: 5.964734378710405e-13
