Gene = Mob2
index = 1282
Annotated 5SS: [ 9404 20456 35052 36654]
Annotated 3SS: [19398 34890 36556 36719]
SMsplice 5SS: [  340 35052 36654]
SMsplice 3SS: [34890 36556 36719]
top_k =  500
Partition function (log Z): -41.023049141478886

Sorted 5' Splice Sites (High to Low Probability):
Position 340: 0.9999453348971182
Position 3962: 0.0021235975561421923
Position 8115: 0.002054272795230126
Position 710: 0.0016089894876634198
Position 9809: 0.00022575707435202545
Position 8156: 0.00022230138954582179
Position 8481: 0.00019079346934641045
Position 7849: 9.281017463552722e-05
Position 1730: 8.034595736344577e-05
Position 7494: 4.4707643763923826e-05
Position 5379: 3.2721075390573e-05
Position 1344: 3.2641357559008926e-05
Position 1368: 1.9800856945021647e-05
Position 7319: 1.9251959420360828e-05
Position 1364: 1.751999783299255e-05
Position 75: 9.736727749356511e-06
Position 389: 8.786054151408228e-06
Position 369: 8.365442898460384e-06
Position 219: 3.0361119891625492e-06
Position 174: 2.5942746288998795e-06
Position 178: 2.559669824579889e-06
Position 1627: 2.208962610650893e-06
Position 215: 2.03122193927753e-06
Position 166: 1.7171625975167583e-06
Position 3515: 1.66140168067411e-06
Position 162: 1.3217682803681797e-06
Position 349: 1.028602105696656e-06
Position 4693: 8.307529548557345e-07
Position 421: 6.605301987506887e-07
Position 1326: 3.6839867794510577e-07
Position 1038: 3.347652714046824e-07
Position 156: 3.1176858460330667e-07
Position 170: 2.8515267106400666e-07
Position 187: 2.668847037193344e-07
Position 5175: 2.376871347898767e-07
Position 197: 2.1202233988686475e-07
Position 191: 1.7338263596531748e-07
Position 344: 1.6448592455662283e-07
Position 223: 1.5909887942260607e-07
Position 7: 1.273461009066244e-07
Position 387: 1.1227634494493207e-07
Position 124: 9.770869238040489e-08
Position 1008: 8.823251052926588e-08
Position 201: 6.639159786690545e-08
Position 43: 4.693307273876837e-08
Position 217: 4.34690671572098e-08
Position 1252: 3.8809895840969877e-08
Position 1348: 3.4898305850666574e-08
Position 122: 2.8217422208407596e-08
Position 1905: 2.8121338574900812e-08
Position 205: 2.47443280406438e-08
Position 81: 1.9630488550883284e-08
Position 144: 1.5178067774999036e-08
Position 751: 1.5057975538042012e-08
Position 1059: 1.4318251945597225e-08
Position 831: 1.3049096867609651e-08
Position 128: 1.1500252815366574e-08
Position 714: 1.0520217393922991e-08
Position 948: 8.493383557482288e-09
Position 172: 7.640434830434712e-09
Position 2243: 7.300311382494683e-09
Position 93: 6.090294067858193e-09
Position 116: 4.817027502270477e-09
Position 36: 4.7213217250497914e-09
Position 138: 3.820606990415554e-09
Position 323: 3.5737796474468826e-09
Position 119: 2.310566165971417e-09
Position 620: 1.7545293182274715e-09
Position 535: 1.5027983724478719e-09
Position 111: 1.2202759642176292e-09
Position 506: 8.678060409579065e-10
Position 182: 7.572113437045061e-10
Position 849: 6.297910397638027e-10
Position 1022: 5.271223781332636e-10
Position 1145: 4.692373675724575e-10
Position 733: 3.792907788861556e-10
Position 1034: 3.1975727789800613e-10
Position 1030: 3.094995327238997e-10
Position 874: 2.4645197692412775e-10
Position 284: 2.2704665878021415e-10
Position 189: 1.9639360202334165e-10
Position 1032: 1.3344466128556777e-10
Position 195: 1.1110111045399621e-10
Position 1330: 3.107602856695102e-11
Position 671: 6.78623020833124e-14
Position 743: 3.283312773941067e-14
Position 833: 1.2451701660508149e-14
Position 959: 2.0928285982026297e-15
Position 967: 1.915974957266831e-15
Position 899: 1.858899340207274e-15
Position 974: 1.5328149627791217e-15
Position 951: 1.2970577308776756e-15
Position 852: 1.1373732102665843e-15
Position 881: 9.723055965592552e-16
Position 566: 9.529740813428527e-16
Position 264: 3.948319393854004e-19
Position 472: 4.491711707378006e-21
Position 432: 3.412645860062631e-21
Position 393: 7.816836198489085e-22

Sorted 3' Splice Sites (High to Low Probability):
Position 17196: 0.9809651013012171
Position 12171: 0.011033747321962262
Position 12726: 0.002459062613054569
Position 8114: 0.0017238829965973753
Position 11888: 0.0013013130045537425
Position 586: 0.001247236367150391
Position 9586: 0.0010385662532903838
Position 3636: 0.0008579739461975688
Position 7178: 0.0007410446600107506
Position 7714: 0.0006969837214385341
Position 3300: 0.0005760994673388966
Position 8530: 0.0005435241225263104
Position 7799: 0.0004601379728464948
Position 9914: 0.0003944445479367092
Position 7841: 0.00037817554271544026
Position 10601: 0.0002629483979222706
Position 8542: 0.00022860828607569302
Position 419: 0.0002093648605661392
Position 3072: 0.0002057215845396489
Position 617: 0.00016830772305992988
Position 6987: 0.0001505266825849248
Position 8276: 0.00011980126891794046
Position 10214: 9.785007534212537e-05
Position 2942: 7.935061974833657e-05
Position 1222: 7.238797609521283e-05
Position 8837: 6.657907570122902e-05
Position 5040: 5.618268199565161e-05
Position 8177: 5.392702822155647e-05
Position 3533: 4.950531305612009e-05
Position 3085: 4.92629922549223e-05
Position 2912: 3.2188532160005255e-05
Position 3306: 3.1892193412938564e-05
Position 3039: 2.9821059137833812e-05
Position 3412: 2.624111151136968e-05
Position 3397: 2.6024154485481347e-05
Position 6750: 2.464291263379608e-05
Position 1525: 2.3928813018628798e-05
Position 8218: 1.9314159065747084e-05
Position 3474: 1.753054373672328e-05
Position 1965: 1.745572668108667e-05
Position 2974: 1.6259763006102234e-05
Position 1990: 1.416456040497471e-05
Position 1019: 1.4012286601244289e-05
Position 1996: 1.1076518479737134e-05
Position 2875: 1.0216126949521745e-05
Position 4849: 1.0014268063228972e-05
Position 4207: 9.314544109707364e-06
Position 4094: 9.22662640283676e-06
Position 1428: 8.63841993216847e-06
Position 8169: 7.835584965947931e-06
Position 2381: 7.677739582196225e-06
Position 3220: 6.946428771800748e-06
Position 3163: 6.7552425937414155e-06
Position 8284: 6.617532706607998e-06
Position 682: 6.2119049987894045e-06
Position 2309: 6.089590014881955e-06
Position 2054: 5.913210461667722e-06
Position 142: 5.596570269306455e-06
Position 2276: 5.458552625288822e-06
Position 2841: 4.730072589205425e-06
Position 1562: 4.37663792213862e-06
Position 4500: 3.5906961024857148e-06
Position 1798: 2.9736841612579398e-06
Position 840: 2.9338553537186534e-06
Position 6234: 2.7994727798878084e-06
Position 235: 2.620173599128385e-06
Position 1431: 2.4606346513678696e-06
