Gene = mtgo
index = 1803
Annotated 5SS: [   423  14929 107897 112937]
Annotated 3SS: [ 12862 107726 112482 113007]
SMsplice 5SS: [   423 107897 112937]
SMsplice 3SS: [107726 112482 113007]
top_k =  500
Partition function (log Z): -141.915344149163

Sorted 5' Splice Sites (High to Low Probability):
Position 423: 0.6617898390067106
Position 14929: 0.3374469456352166
Position 74: 0.27624681373666393
Position 15749: 0.19429332445522834
Position 3807: 0.11450768025158135
Position 327: 0.024804569978948372
Position 305: 0.024640298778559472
Position 4081: 0.019106636826806758
Position 120: 0.013247529617474926
Position 143: 0.011825935676245892
Position 1998: 0.005050517785994627
Position 178: 0.0029010658194320253
Position 1329: 0.0010321958358335325
Position 309: 0.0007984210424976505
Position 961: 0.0004658241463038673
Position 1008: 0.00045950214565065216
Position 897: 0.0004442654488803541
Position 82: 0.0004207164881524406
Position 323: 0.0004113191446659911
Position 1631: 0.00016150038509996214
Position 3418: 0.00016098419266297783
Position 1573: 8.037330627854034e-05
Position 3189: 7.433453930302842e-05
Position 1965: 6.420109536929545e-05
Position 152: 3.920178084344355e-05
Position 2282: 3.6254233112175554e-05
Position 8137: 2.9905711689738208e-05
Position 1036: 2.7914718581878433e-05
Position 644: 2.736779973530099e-05
Position 3398: 2.6983546761166096e-05
Position 8141: 2.441744157046356e-05
Position 159: 2.282094037148013e-05
Position 1085: 2.0410922654999223e-05
Position 1358: 1.779449891573105e-05
Position 1029: 1.6730896281713602e-05
Position 8523: 1.3303773568193e-05
Position 3253: 1.0607179608243822e-05
Position 648: 1.0208258338892333e-05
Position 2782: 9.495878293932067e-06
Position 53: 9.258142842326324e-06
Position 311: 9.110757869277232e-06
Position 185: 8.516408626954437e-06
Position 8108: 7.1851101662921635e-06
Position 188: 6.253591098370812e-06
Position 1338: 5.463798083532622e-06
Position 2091: 5.0331467085120185e-06
Position 915: 4.512559623580099e-06
Position 447: 3.992117105028705e-06
Position 101: 3.793075416786597e-06
Position 1040: 3.5921627743675767e-06
Position 968: 3.4102795923663602e-06
Position 546: 2.8541007998861294e-06
Position 1744: 2.5844497275305914e-06
Position 1055: 2.555430138093829e-06
Position 684: 2.1040081495073858e-06
Position 1350: 2.1013800635845875e-06
Position 768: 1.922479470904342e-06
Position 652: 1.6405051043306104e-06
Position 773: 1.6368273296403718e-06
Position 192: 1.0256772362678555e-06
Position 255: 9.476409688956866e-07
Position 444: 8.656158432868846e-07
Position 682: 7.302596674956838e-07
Position 598: 7.280567207470913e-07
Position 640: 7.04221799928186e-07
Position 20: 6.899112800512502e-07
Position 442: 5.896743456912017e-07
Position 1034: 5.751109407684181e-07
Position 1188: 5.013383482785856e-07
Position 296: 4.90903304768991e-07
Position 1082: 4.767726905407789e-07
Position 113: 4.5132137057346877e-07
Position 211: 2.875289603503004e-07
Position 89: 1.0531223335332977e-07
Position 331: 9.703104916738005e-08
Position 214: 4.6022090607410525e-08
Position 321: 4.159648532347674e-08
Position 294: 3.095633534591015e-08
Position 315: 2.3199540441457162e-08
Position 313: 1.1531592105581508e-08
Position 604: 8.621740190541186e-09
Position 688: 8.424514465460966e-09
Position 2125: 1.6506681674808568e-09
Position 488: 1.163518522833202e-10
Position 1822: 3.47134154694356e-11
Position 427: 2.466508838835647e-11
Position 1590: 2.2554273648641413e-11
Position 1944: 1.6825540599956346e-11
Position 1969: 1.326329203765054e-11
Position 548: 5.445296524368961e-12
Position 555: 4.084017149691662e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 16057: 0.6242825593155145
Position 15225: 0.5067782172124312
Position 12862: 0.35851830921073424
Position 3674: 0.10982946624011307
Position 13270: 0.039876999119310634
Position 203: 0.01820603161686795
Position 2871: 0.00884158870762889
Position 1470: 0.006538556977195185
Position 3730: 0.006206179879134362
Position 3365: 0.0045325503180193025
Position 119: 0.0012195612690775075
Position 3711: 0.0009965214277005688
Position 3369: 0.0008353581691624117
Position 11668: 0.0007377459528949381
Position 3896: 0.0006745212123400186
Position 10894: 0.0006295189519988218
Position 9341: 0.0004059425766265587
Position 8321: 0.00032208753468549795
Position 255: 0.00029007703791687544
Position 301: 0.00020390304596662156
Position 4012: 0.00020105818512323488
Position 407: 0.00011903879109892132
Position 327: 7.73509135254641e-05
Position 10496: 7.441810038424442e-05
Position 477: 6.72293330036646e-05
Position 2925: 6.679924018512177e-05
Position 8065: 5.804974607404415e-05
Position 7770: 5.020793631203024e-05
Position 1658: 4.340323281245985e-05
Position 374: 3.0009844633285073e-05
Position 252: 2.9161941926403358e-05
Position 356: 2.5949795345366154e-05
Position 9402: 2.5616393502785003e-05
Position 9492: 1.529057999950884e-05
Position 9265: 1.1791112351006156e-05
Position 7325: 1.090506434474639e-05
Position 2200: 6.112761989680576e-06
Position 6570: 4.139723382411602e-06
Position 838: 2.1555352011607305e-06
Position 1498: 2.0415395304343728e-06
Position 7707: 1.9095297411387824e-06
Position 4544: 1.7419097680553774e-06
Position 1216: 1.7218477773210062e-06
Position 1188: 1.5525629135944126e-06
Position 1884: 1.4630560449802727e-06
Position 3629: 1.3738183876879883e-06
Position 3256: 1.1345540064891985e-06
Position 5612: 1.0485583840681443e-06
Position 553: 9.234949215533057e-07
Position 3289: 8.642962654422499e-07
Position 5105: 8.175806595918895e-07
Position 2909: 7.717958778058538e-07
Position 602: 6.58725988108708e-07
Position 4654: 6.314834478948519e-07
Position 131: 4.868876209925529e-07
Position 4743: 3.543496169285504e-07
Position 4495: 2.63336506642262e-07
Position 5836: 1.824019602845786e-07
Position 4361: 1.6263017675498124e-07
Position 1795: 1.2352888029434181e-07
Position 1033: 1.0427296506255271e-07
Position 5162: 8.552215001189757e-08
Position 336: 6.78286873492071e-08
Position 384: 6.429244774508966e-08
Position 4184: 3.919650083504465e-08
Position 4153: 3.417086195134178e-08
Position 2346: 3.375836749075617e-08
Position 2250: 2.5087960089549068e-08
