Gene = Cka
index = 1077
Annotated 5SS: [ 119 1921 5578 5856]
Annotated 3SS: [1338 5099 5660 6368]
SMsplice 5SS: [1921 5578 5856]
SMsplice 3SS: [5099 5636 6368]
top_k =  500
Partition function (log Z): -2.0271811213348

Sorted 5' Splice Sites (High to Low Probability):
Position 5578: 0.986822627029036
Position 1921: 0.974914700111375
Position 5856: 0.9475017509975422
Position 855: 0.2826560935395012
Position 119: 0.2494744048173649
Position 9219: 0.1700678368406865
Position 588: 0.13152355706062382
Position 6756: 0.07477536608143773
Position 6173: 0.06248416290308699
Position 315: 0.05478626149885716
Position 6511: 0.03340745142389439
Position 6539: 0.02757022753831287
Position 7088: 0.022339196130695252
Position 362: 0.019416295904927793
Position 195: 0.016983055964186016
Position 4602: 0.012871211468495241
Position 3195: 0.010871604711492283
Position 4119: 0.009827975835486256
Position 1783: 0.009604742741810507
Position 818: 0.006011339792495748
Position 1795: 0.005182347432483672
Position 7354: 0.005030010548360939
Position 5582: 0.0049638745145507545
Position 8516: 0.0047340785600626005
Position 8689: 0.004052290561099925
Position 1020: 0.003959544204547336
Position 861: 0.0038538076777146096
Position 572: 0.0037737594185883643
Position 155: 0.003424025133655351
Position 822: 0.003010518248305959
Position 442: 0.002843201012048897
Position 2095: 0.002483254890449564
Position 617: 0.0024423251565243
Position 7607: 0.0020319506942274392
Position 6393: 0.0019113643762018982
Position 810: 0.0017711459127916747
Position 2411: 0.0016743946571786458
Position 5183: 0.0016093607694202482
Position 668: 0.001580657972322099
Position 5807: 0.0014426264729079724
Position 4181: 0.0013879519813010618
Position 824: 0.0010692340835143906
Position 1097: 0.001036141263805445
Position 146: 0.0010131853408186825
Position 4139: 0.001009243836183225
Position 6294: 0.0009830911695711065
Position 2158: 0.0009350319688360079
Position 348: 0.0009275424718439532
Position 873: 0.0009146324658166538
Position 2099: 0.0009068474103992545
Position 674: 0.000883569610848116
Position 871: 0.0008700327787653995
Position 2120: 0.0008140824607375408
Position 2493: 0.0007977398542225147
Position 1266: 0.0007976605435450026
Position 919: 0.000722474582668889
Position 1137: 0.0007105226539402861
Position 53: 0.000706696519490001
Position 2673: 0.0006857393081205741
Position 875: 0.0006856138931793361
Position 624: 0.0006774189264954064
Position 869: 0.0006767406790207426
Position 879: 0.0006477324607405784
Position 6305: 0.0006420985202794471
Position 399: 0.0005729779587661159
Position 2446: 0.0005556000518194673
Position 4427: 0.0005552753716646524
Position 570: 0.000527256572715979
Position 1105: 0.0004662260166517854
Position 343: 0.00044605030888255877
Position 865: 0.0004018791997840482
Position 2270: 0.0003741007009775219
Position 1149: 0.0003411251314114845
Position 5412: 0.0003385807140431749
Position 474: 0.00033834777164864333
Position 867: 0.00029171653395406285
Position 6278: 0.0002749309137578085
Position 309: 0.00026403633884937455
Position 323: 0.0002579334605307386
Position 814: 0.00022634720448533264
Position 2170: 0.00022476967122882406
Position 4327: 0.0002209427577665824
Position 4300: 0.000207414662803814
Position 1154: 0.000170089318487363
Position 102: 0.00016477134794204648
Position 6480: 0.00015692671970951575
Position 5830: 0.00014609888115172415
Position 2654: 0.00011467134385728672
Position 460: 0.00011073303513752697
Position 6130: 0.00010042513266498962
Position 6289: 9.121404601424203e-05
Position 3550: 8.750737407630834e-05
Position 3330: 8.71330924927098e-05
Position 2199: 6.217208799636677e-05
Position 6040: 5.972979405525481e-05
Position 241: 4.786257144286867e-05
Position 377: 4.090448613124691e-05
Position 243: 3.3625105151466436e-05
Position 6486: 3.0898802561765344e-05
Position 6025: 2.677064830108964e-05
Position 5427: 2.6043293662825913e-05
Position 6914: 1.9421838971667257e-05
Position 245: 1.8857225480836397e-05
Position 239: 1.6555314348694657e-05
Position 425: 1.2201496624335694e-05
Position 6108: 1.0247337604578921e-05
Position 6413: 9.770945812450892e-06
Position 6261: 9.604903229532605e-06
Position 5984: 9.161982417502142e-06
Position 427: 4.9537398932136085e-06
Position 26: 4.755095817913311e-06
Position 5780: 4.659487902084085e-06
Position 5860: 4.093852227477468e-06
Position 750: 4.0759475326617244e-06
Position 2152: 3.5853763623412272e-06
Position 14: 3.274645499920836e-06
Position 366: 3.227977743752065e-06
Position 446: 3.078162425338727e-06
Position 6272: 2.7779148316522563e-06
Position 6629: 2.7032925992019644e-06
Position 364: 1.8719097326851315e-06
Position 1994: 1.6200040284011738e-06
Position 5290: 1.833302199475895e-07
Position 231: 1.767425810069639e-07
Position 2134: 1.1530217494548465e-07
Position 259: 1.0838426576860595e-07
Position 581: 9.016934949604937e-08
Position 3084: 5.290072756816215e-08
Position 247: 1.6923199251611044e-08
Position 233: 1.4370476485455033e-08
Position 5865: 7.800699078740181e-09
Position 5313: 9.555787582882781e-10
Position 249: 5.25669807921019e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 5099: 0.990734707308492
Position 5636: 0.7862693219950606
Position 6368: 0.4770516951776363
Position 9136: 0.40300424771940285
Position 1338: 0.38032199366514285
Position 266: 0.1739614061751722
Position 9442: 0.16765094883496676
Position 5660: 0.1484959373020696
Position 979: 0.09576055205575967
Position 9590: 0.07714464349313553
Position 9378: 0.07260034458791965
Position 6115: 0.06408635051523662
Position 375: 0.04911527956152154
Position 9612: 0.034231408874640455
Position 1857: 0.023149034472621448
Position 6563: 0.022780461206311414
Position 916: 0.021938511347555825
Position 8424: 0.021247401306470914
Position 3868: 0.015377603127699356
Position 9393: 0.015113763687182877
Position 546: 0.013477798055289545
Position 6231: 0.009916154565962298
Position 4259: 0.0094429017361989
Position 1993: 0.008417951139654076
Position 5698: 0.007266230974328027
Position 8575: 0.007201622498629047
Position 641: 0.007131125625583652
Position 8047: 0.006761917769354584
Position 6020: 0.006340101360587165
Position 850: 0.0063262091408688055
Position 5041: 0.0062882013789109965
Position 5963: 0.005586582474893108
Position 2041: 0.004322599820296773
Position 1024: 0.003884403259473521
Position 5702: 0.003754757155803404
Position 5989: 0.003740535839321991
Position 460: 0.003298799674861602
Position 1040: 0.002657695344608196
Position 6247: 0.0022142917206980943
Position 2209: 0.001794617463442316
Position 5246: 0.001723947300806638
Position 4362: 0.0015481272929386031
Position 8721: 0.0015197960571732936
Position 274: 0.00151675889336102
Position 667: 0.0014760903296205591
Position 2345: 0.0013571639154500465
Position 929: 0.0013432314329588487
Position 2058: 0.0012230020587278194
Position 1345: 0.0011785991676955014
Position 2989: 0.0011593944303901216
Position 10089: 0.001121879601737307
Position 184: 0.0010986031797818442
Position 1350: 0.0009800293264118837
Position 5896: 0.0009659204053081306
Position 8000: 0.0009296579737029535
Position 8463: 0.0009287481098757143
Position 3874: 0.0009267434257942257
Position 655: 0.0009248407800025851
Position 2148: 0.0007589079603456805
Position 883: 0.0007380162518885441
Position 440: 0.0006880736464963921
Position 1413: 0.0006758783261336053
Position 674: 0.0006235428346025304
Position 5940: 0.00046566430087840744
Position 4810: 0.0004479400396344417
Position 570: 0.0004095213126845529
Position 3037: 0.0004078690372608595
Position 2541: 0.00037387348496748375
Position 6370: 0.00037154132250625816
Position 6033: 0.0003667273028125226
Position 1006: 0.00036144285846982036
Position 1390: 0.0003385795488804318
Position 5473: 0.0003367944481552466
Position 6289: 0.0003292484541211205
Position 6607: 0.00026864039916012976
Position 7044: 0.00026092449079205256
Position 3414: 0.0002584001458335466
Position 4733: 0.000254485554528733
Position 6454: 0.0002468525232606726
Position 5804: 0.0002457937538103145
Position 2098: 0.0002386241651336215
Position 6622: 0.00023527482399935337
Position 6965: 0.00023184246212379367
Position 3504: 0.000231470498827242
Position 6256: 0.00022542437147702224
Position 2236: 0.0002225786555196861
Position 1417: 0.00020624803000375905
Position 2232: 0.00020124807599297573
Position 6681: 0.00018326631052769383
Position 231: 0.00015330698099643586
Position 5901: 0.0001425095784585233
Position 587: 0.0001268641798071756
Position 1989: 0.000122753974042933
Position 4940: 0.0001224325333253418
Position 7443: 0.00010492834509064245
Position 696: 0.00010477691796422196
Position 2287: 0.00010406569512883247
Position 6121: 9.896187254315733e-05
Position 1073: 9.713850068730805e-05
Position 4666: 8.589376700668036e-05
Position 5124: 7.823232178477324e-05
Position 591: 7.231879113643564e-05
Position 624: 4.732243192097192e-05
Position 2132: 4.352400891571396e-05
Position 3010: 4.1165871974701554e-05
Position 6406: 3.9012867032658294e-05
Position 383: 2.808123118679263e-05
Position 721: 2.5513269226617174e-05
