Gene = Galt
index = 1180
Annotated 5SS: [363 673 948]
Annotated 3SS: [ 502  741 1024]
SMsplice 5SS: [363 673 948]
SMsplice 3SS: [ 502  741 1024]
top_k =  500
Partition function (log Z): 0.1535671780995485

Sorted 5' Splice Sites (High to Low Probability):
Position 948: 0.9914429706515625
Position 363: 0.9603335354608802
Position 673: 0.9372193190031762
Position 1283: 0.013660931585856663
Position 99: 0.008767112795369035
Position 264: 0.004030519904329771
Position 454: 0.002746319600971238
Position 367: 0.0017801324045165492
Position 966: 0.0016187252080246527
Position 1064: 0.0016066628659028488
Position 1578: 0.0012268001445156268
Position 1695: 0.0009326201694199542
Position 246: 0.000910202369225544
Position 349: 0.0008452223854088659
Position 1237: 0.0007295347449014231
Position 136: 0.00044813074267407245
Position 952: 0.0003939790211129827
Position 1058: 0.0003710188791857424
Position 1421: 0.0003437060451573102
Position 378: 0.00032825481581802684
Position 360: 0.00029064263471060946
Position 440: 0.00027999159975787595
Position 418: 0.0002761082700693014
Position 1293: 0.0002254008652032689
Position 295: 0.00019879696134892475
Position 459: 0.00016363095849298965
Position 652: 0.00011609796400713819
Position 284: 0.00010945455102685195
Position 1287: 0.00010516443037770109
Position 1068: 9.837027745436533e-05
Position 1640: 9.481744536481359e-05
Position 315: 8.848674428306058e-05
Position 402: 7.605161503135136e-05
Position 1290: 6.370651133539668e-05
Position 1571: 6.240998809167973e-05
Position 16: 5.507041167080852e-05
Position 1563: 3.5973172193656465e-05
Position 1679: 3.437614444962266e-05
Position 584: 3.419666511944466e-05
Position 425: 2.444105680057598e-05
Position 934: 1.904005758830268e-05
Position 1650: 1.7520137815075505e-05
Position 871: 1.1770542853750307e-05
Position 931: 1.0901347933002216e-05
Position 331: 1.080591625420885e-05
Position 1701: 9.093427148670009e-06
Position 876: 8.8351897795825e-06
Position 917: 6.791891887500364e-06
Position 730: 6.757328303366218e-06
Position 721: 5.385706071971972e-06
Position 802: 5.224452032265775e-06
Position 702: 4.424729221502559e-06
Position 796: 4.2717885892527406e-06
Position 642: 2.967510701559233e-06
Position 298: 2.4164958129886985e-06
Position 719: 2.264340027561481e-06
Position 579: 2.177630947303601e-06
Position 353: 1.1449920253630369e-06
Position 771: 4.1947698673221707e-07
Position 805: 4.086142218367995e-07
Position 66: 3.135302941773277e-07
Position 769: 2.5233550236789943e-07
Position 544: 1.1518263644999673e-07
Position 550: 1.009229887272295e-07
Position 493: 6.13441809325767e-08
Position 837: 6.08896974339187e-08
Position 857: 4.861576687344839e-08
Position 279: 4.0046021384679963e-08
Position 518: 3.4496651021191506e-08
Position 1263: 2.3048101813308722e-08
Position 937: 2.0789055541812396e-08
Position 1462: 1.719174709505162e-08
Position 1230: 1.2885831813495582e-08
Position 1103: 1.1452178779450755e-08
Position 528: 1.0191765427013997e-08
Position 1136: 7.2214691981568965e-09
Position 1180: 5.171991047926135e-09
Position 1025: 2.014682225466605e-09
Position 1145: 5.816099717944626e-11
Position 1186: 4.002649942177137e-11
Position 811: 1.7722029941836947e-11
Position 552: 7.904521872289868e-14
Position 1037: 2.1759323615385052e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 1024: 0.9926106326649559
Position 502: 0.9619584949976284
Position 741: 0.9165211038735233
Position 440: 0.013446357720869048
Position 843: 0.011767529920357036
Position 1374: 0.009038218193289092
Position 777: 0.005352041220189503
Position 1130: 0.004461247002101556
Position 1439: 0.004040514355782908
Position 172: 0.002965231261679833
Position 1628: 0.00199371003090982
Position 550: 0.001101295747497797
Position 1757: 0.0010588898549524848
Position 1352: 0.0009629626359115188
Position 847: 0.0009511001940487879
Position 1406: 0.0006629131704606698
Position 1073: 0.0006479511982246745
Position 1507: 0.0004497133866272368
Position 263: 0.0004046321639819381
Position 1033: 0.00033288619175031453
Position 231: 0.00017678703141033053
Position 1379: 0.0001584184314768855
Position 193: 0.0001459573198482383
Position 759: 0.00011123246335017795
Position 196: 0.00010972212474100007
Position 1704: 9.182349468456034e-05
Position 1051: 8.566636942875972e-05
Position 162: 8.447194222287757e-05
Position 234: 7.456563752569828e-05
Position 1421: 6.299244733648911e-05
Position 709: 5.742070922295536e-05
Position 588: 5.043057904518767e-05
Position 1632: 4.798546368277698e-05
Position 298: 3.6737667048166815e-05
Position 591: 2.738913219416323e-05
Position 97: 2.1060852103539e-05
Position 202: 1.9996660453370585e-05
Position 1058: 1.8501414386414442e-05
Position 349: 1.590473423431548e-05
Position 1175: 1.568479610396163e-05
Position 917: 1.5385946943789762e-05
Position 504: 1.5109952026008546e-05
Position 1734: 1.4644166138941511e-05
Position 922: 1.4195416647003735e-05
Position 240: 1.3663598062315984e-05
Position 402: 1.1669780581867486e-05
Position 1088: 1.0304491477574533e-05
Position 1473: 9.39020985783007e-06
Position 1037: 7.781691325343968e-06
Position 325: 5.604999586307251e-06
Position 1172: 4.897361438206613e-06
Position 594: 4.725219579545514e-06
Position 295: 4.299884090393041e-06
Position 1721: 3.9374651969242565e-06
Position 1741: 3.5905081848378416e-06
Position 979: 3.395337381603018e-06
Position 1571: 3.027813270302926e-06
Position 1712: 2.7828831364859393e-06
Position 205: 2.7641050167389015e-06
Position 1409: 2.5849863678686594e-06
Position 148: 2.1313536282169844e-06
Position 1674: 1.9266893789296537e-06
Position 801: 1.7087829596112664e-06
Position 331: 1.2191257041100647e-06
Position 145: 4.676366556969123e-07
Position 659: 3.6318886048638903e-07
Position 360: 3.36405932031223e-07
Position 366: 1.6920255921598729e-07
Position 243: 8.864945728913069e-08
Position 597: 8.221991966326003e-08
Position 118: 5.322839313366101e-08
Position 378: 5.035485841340698e-08
Position 315: 2.5737842988122945e-08
Position 1082: 2.55258744827277e-08
Position 127: 1.8083959827784155e-08
Position 606: 1.36915415859443e-08
Position 139: 1.2310090500197039e-08
Position 612: 1.177404082520535e-08
Position 976: 5.925120068043536e-09
Position 603: 5.3283982028991044e-09
Position 131: 8.407212127329454e-13
Position 122: 4.9711468271552076e-18
Position 99: 4.395709281705936e-18
Position 129: 3.586535299806303e-18
Position 103: 4.299357863795277e-19
Position 120: 3.145044426482374e-23
