Gene = BHD
index = 43
Annotated 5SS: [1252 1444]
Annotated 3SS: [1340 1501]
SMsplice 5SS: [1252 1444]
SMsplice 3SS: [1340 1501]
top_k =  500
Partition function (log Z): -3.8071273535667975

Sorted 5' Splice Sites (High to Low Probability):
Position 1252: 0.9779305344628504
Position 1444: 0.9544920617002015
Position 8: 0.0778886388196369
Position 373: 0.058519823482154065
Position 453: 0.01684846127419331
Position 817: 0.005040969284118315
Position 984: 0.0034405960408503446
Position 398: 0.0025794296173030384
Position 1003: 0.002316471867432692
Position 28: 0.002204693922517808
Position 960: 0.0017321312305709597
Position 1560: 0.001107169068397551
Position 996: 0.0008462181810609714
Position 1032: 0.0006632347457657698
Position 1421: 0.0006285056897517002
Position 518: 0.0003875307845301704
Position 1448: 0.0002552413096333584
Position 1115: 0.00015642792891732454
Position 361: 0.00012359270689983796
Position 643: 0.00011282869677802387
Position 1272: 0.00011124063001944726
Position 1024: 0.00010931367536780803
Position 354: 0.00010486879098606607
Position 1217: 9.012080462264599e-05
Position 1215: 6.464222845886731e-05
Position 993: 5.9764377547447284e-05
Position 19: 5.454410752436922e-05
Position 309: 4.5222900476390896e-05
Position 970: 3.9324008908381396e-05
Position 1435: 3.895088607985163e-05
Position 1569: 2.7382525509940966e-05
Position 427: 2.379234043584405e-05
Position 1221: 2.3282307719710266e-05
Position 780: 1.3688858523954393e-05
Position 327: 1.3640995507543668e-05
Position 623: 8.272968186178475e-06
Position 339: 6.787526371074765e-06
Position 567: 6.152576228363675e-06
Position 950: 5.851151777186774e-06
Position 404: 5.724064573807414e-06
Position 1298: 5.533089745862359e-06
Position 1162: 3.3674750083562196e-06
Position 1454: 3.3648864547457693e-06
Position 936: 3.34215696632328e-06
Position 102: 3.2333423895655393e-06
Position 1355: 2.7757772860355764e-06
Position 856: 2.226103043166989e-06
Position 136: 1.8259934848746435e-06
Position 82: 1.7140618009662145e-06
Position 1200: 1.6379122305398144e-06
Position 501: 1.5494106470533793e-06
Position 659: 1.1702534704089719e-06
Position 1539: 1.0580429713781833e-06
Position 334: 9.635090404216358e-07
Position 1506: 8.03517928388542e-07
Position 191: 1.990642355329679e-07
Position 439: 3.003790199916177e-08
Position 402: 2.304299886077479e-08
Position 800: 2.181648857230677e-08
Position 820: 1.2785564219665911e-08
Position 113: 5.008211388902366e-09
