Gene = Ptip
index = 1392
Annotated 5SS: [ 352 3275 3863 5534 6942 7235]
Annotated 3SS: [ 730 3331 3936 5639 7002 7296]
SMsplice 5SS: [ 352 3275 3863 5534 6942 7235]
SMsplice 3SS: [ 730 3331 5001 5639 7002 7296]
top_k =  500
Partition function (log Z): 10.156654915876729

Sorted 5' Splice Sites (High to Low Probability):
Position 6942: 0.9954174776379632
Position 7235: 0.9948403237229234
Position 5534: 0.9760861961059094
Position 3863: 0.9731414075370493
Position 352: 0.9367705967473567
Position 3275: 0.8474859819887471
Position 4858: 0.21024796312876032
Position 7446: 0.16481342943542437
Position 3008: 0.13893046591967517
Position 6336: 0.07351268517139983
Position 986: 0.07145822679792131
Position 3464: 0.05934366814859953
Position 952: 0.05366633671233414
Position 2492: 0.05170033467755879
Position 6329: 0.035047431984270246
Position 866: 0.03318815072700186
Position 4854: 0.02325600119019809
Position 1668: 0.020692237950067464
Position 406: 0.018755626445341015
Position 3446: 0.017106003478065984
Position 5538: 0.015024324766761611
Position 1163: 0.013813556946775747
Position 2505: 0.013758008478647615
Position 1598: 0.013647603830100748
Position 5813: 0.012813734821610308
Position 4841: 0.012763655470571485
Position 2147: 0.009393752504357979
Position 454: 0.008386145428984007
Position 7397: 0.00698111627572003
Position 402: 0.006802577956362094
Position 6417: 0.0050807053299145345
Position 7414: 0.005034327750030458
Position 538: 0.0050137021110142335
Position 1148: 0.004942741288857222
Position 2474: 0.004745164160990786
Position 1502: 0.004727992637672174
Position 1079: 0.004263479925745123
Position 6203: 0.00418598144436333
Position 2126: 0.0038403183973707935
Position 1098: 0.003588789057935291
Position 1180: 0.0035147090849671847
Position 7239: 0.003354899190586538
Position 7406: 0.0032610303406878823
Position 7998: 0.00323976034184015
Position 4888: 0.0029638767093205344
Position 410: 0.0028557705934776642
Position 6615: 0.0026138177717645633
Position 479: 0.002596365250667137
Position 316: 0.002533222037724738
Position 6946: 0.0023860215461595237
Position 1035: 0.0023842659997831608
Position 3728: 0.002359848273331014
Position 1601: 0.002247760220302064
Position 3680: 0.002225149504536171
