Gene = Lrr47
index = 1252
Annotated 5SS: [664]
Annotated 3SS: [724]
SMsplice 5SS: [647]
SMsplice 3SS: [724]
top_k =  500
Partition function (log Z): -8.157037825521238

Sorted 5' Splice Sites (High to Low Probability):
Position 647: 0.5066405904761936
Position 664: 0.45182017428793964
Position 277: 0.09516789979983378
Position 309: 0.05219766088480953
Position 499: 0.02146739176165185
Position 508: 0.006554673798841061
Position 1657: 0.004735755889648079
Position 1387: 0.004342520575139913
Position 1174: 0.002226217963172731
Position 338: 0.0017871418237890744
Position 1105: 0.0017847466080946482
Position 640: 0.0017783863553470136
Position 235: 0.0015375121026335041
Position 890: 0.0012564069506579632
Position 828: 0.0012357549399381591
Position 8: 0.000647201764257535
Position 1713: 0.00030590123913261613
Position 1743: 0.00028928019877836995
Position 1166: 0.000242324653454686
Position 978: 0.00020117590492514648
Position 1661: 0.00019776381470163948
Position 35: 0.00019162064298530702
Position 372: 0.00015173406709301812
Position 908: 0.0001411223710294334
Position 313: 0.00012165595194617559
Position 54: 0.00011974371522524603
Position 786: 0.00011486490645148672
Position 1344: 0.00010542897088626897
Position 528: 0.00010333050028746844
Position 1411: 0.00010108455729066245
Position 298: 8.846323584561245e-05
Position 589: 8.485014805548365e-05
Position 1547: 6.624373724759333e-05
Position 1451: 5.289757670880711e-05
Position 939: 4.6276364164044225e-05
Position 1055: 4.2905517167102095e-05
Position 40: 4.23124427767948e-05
Position 802: 3.7714033540847195e-05
Position 1057: 3.5678783948032595e-05
Position 1859: 3.3419829166634705e-05
Position 989: 3.330584129173727e-05
Position 1553: 3.281578499911395e-05
Position 118: 3.1129513523882996e-05
Position 115: 2.803408404687942e-05
Position 1453: 2.7185313483060302e-05
Position 1377: 2.5748598947076836e-05
Position 295: 2.211923991979947e-05
Position 853: 1.9869132745242464e-05
Position 1144: 1.6193532562910146e-05
Position 245: 1.5664175726942605e-05
Position 152: 1.4313065951712924e-05
Position 680: 1.4153915966740488e-05
Position 72: 7.869013846570046e-06
Position 157: 6.840784367605673e-06
Position 1801: 4.8428907103799606e-06
Position 109: 2.973786994247781e-06
Position 102: 2.261630667788604e-06
Position 65: 1.2497661843985265e-06
Position 1048: 2.3454519462008897e-07
Position 832: 7.959644545463398e-08
Position 991: 6.857842254801092e-08
Position 1606: 1.4212402234017534e-08
Position 1298: 1.3975380200501908e-08
Position 901: 1.2194531962018408e-08
Position 701: 3.9757965332316624e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 724: 0.926348300227222
Position 348: 0.07726169357899074
Position 387: 0.060229706423983065
Position 692: 0.04124381434536717
Position 1220: 0.01900781773238323
Position 1712: 0.009075627173353843
Position 581: 0.006735271068429887
Position 372: 0.0056626619900143164
Position 996: 0.003077317160198526
Position 1447: 0.0014546295846842494
Position 736: 0.0010755689748777849
Position 405: 0.0010365923186954618
Position 793: 0.0008035987058583334
Position 1885: 0.0007383002072630464
Position 483: 0.0007054978688463776
Position 1780: 0.0005741233621785872
Position 1464: 0.0003838556225352948
Position 486: 0.000377408237782371
Position 1801: 0.0003474800008432823
Position 706: 0.0002927828655052622
Position 1657: 0.00022627142699275827
Position 96: 0.00016564871694435223
Position 1471: 0.0001483187988464033
Position 585: 0.00014646460050219364
Position 135: 0.0001397508346113764
Position 114: 0.00013496018768992526
Position 1911: 0.00011237603682772214
Position 1386: 9.164643422166933e-05
Position 309: 8.056782447853293e-05
Position 1721: 7.125526631662448e-05
Position 1242: 6.976260370924662e-05
Position 414: 6.670473317162102e-05
Position 394: 6.232152265095079e-05
Position 355: 5.744391445560939e-05
Position 1661: 4.3721149307463606e-05
Position 1688: 3.652793156212627e-05
Position 1075: 3.43532981195542e-05
Position 1753: 3.432364150723966e-05
Position 1088: 3.1795372857825374e-05
Position 1888: 2.717002564548859e-05
Position 109: 2.4773645867717023e-05
Position 1341: 2.1152555162511004e-05
Position 1685: 2.029633982533344e-05
Position 540: 1.973822799010335e-05
Position 1163: 1.740967514948729e-05
Position 1664: 1.6884750635565576e-05
Position 327: 1.1758737805460226e-05
Position 432: 1.1571105283046802e-05
Position 492: 9.492154994720764e-06
Position 633: 9.111756207962775e-06
Position 245: 8.212818217532084e-06
Position 515: 6.927772917995034e-06
Position 50: 2.999851472835796e-06
Position 186: 2.842311530859155e-06
Position 222: 2.244060669049941e-06
Position 449: 1.5460183037056914e-06
Position 498: 1.2497489230664465e-06
Position 589: 1.0361155511038256e-06
Position 276: 5.579555017669895e-07
Position 219: 4.5370021525790134e-07
Position 519: 4.051358416472636e-07
Position 191: 3.886950600185988e-07
Position 258: 1.7669163921292274e-07
Position 282: 1.5134760345996708e-07
Position 225: 6.0566596087353895e-09
Position 197: 3.7181879947603792e-09
