Gene = ND-13A
index = 1295
Annotated 5SS: [279 552]
Annotated 3SS: [374 614]
SMsplice 5SS: [279 552]
SMsplice 3SS: [374 614]
top_k =  500
Partition function (log Z): 0.9559180512701304

Sorted 5' Splice Sites (High to Low Probability):
Position 279: 0.983772598773589
Position 552: 0.9662393185653352
Position 140: 0.09447925486805456
Position 25: 0.024616302141757897
Position 261: 0.011831681276896546
Position 557: 0.006216221363664587
Position 539: 0.005792738434180689
Position 537: 0.001785249950319311
Position 31: 0.0015191102356329653
Position 137: 0.0010982933128203477
Position 99: 0.0010718994375136278
Position 697: 0.0008424921402694774
Position 465: 0.0008226806603100016
Position 526: 0.0006067554468052421
Position 517: 0.0005500556964570206
Position 61: 0.0005087037589437785
Position 108: 0.0004517563878038181
Position 425: 0.0004306862305166986
Position 165: 0.0003425426179683189
Position 297: 0.00026602755774962075
Position 91: 0.0002471028751337528
Position 125: 0.00021017344278312188
Position 869: 0.00015394750140606064
Position 50: 0.0001344648995426356
Position 735: 0.00013010685661092117
Position 79: 0.00012575068276800914
Position 1037: 2.0366711976314403e-05
Position 9: 1.6200198057031056e-05
Position 407: 1.3784584897716378e-05
Position 225: 9.17952421523867e-06
Position 101: 6.58597511623214e-06
Position 803: 5.808519946624234e-06
Position 492: 4.115133003390343e-06
Position 930: 3.408287043862251e-06
Position 11: 2.816353215851551e-06
Position 479: 2.7603531413332973e-06
Position 342: 1.4221166733450439e-06
Position 106: 1.4009442622053765e-06
Position 660: 1.3131536865058459e-06
Position 907: 1.2741264202868159e-06
Position 495: 8.566146754243888e-07
Position 990: 7.250084752928691e-07
Position 995: 3.851425655827923e-07
Position 909: 3.8492693176517513e-07
Position 943: 3.0042241589683034e-07
Position 956: 2.622918312897359e-07
Position 941: 1.8277595021821395e-07
Position 429: 1.7814720030475493e-07
Position 1022: 1.6220178595719837e-07
Position 333: 1.968003467321507e-08
Position 209: 9.61675039719761e-09
Position 176: 6.563162427920449e-09
Position 377: 3.881150049603566e-09
Position 375: 1.3300434322962822e-09
Position 411: 3.3684810505525975e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 374: 0.9985748366022005
Position 614: 0.981955457915577
Position 200: 0.11995875693571564
Position 774: 0.0008362671730128709
Position 97: 0.0007601333782611019
Position 952: 0.0005513194987414171
Position 154: 0.00021177461699540645
Position 386: 0.00019801558066865913
Position 800: 0.00019254779401288102
Position 840: 0.00016452097510012082
Position 389: 0.00012759967191180367
Position 112: 0.00012118516268748965
Position 83: 0.00011826264300736762
Position 91: 0.00010846645646087626
Position 238: 9.915346336944734e-05
Position 223: 6.604865087223339e-05
Position 422: 4.740832682906444e-05
Position 158: 4.120182764986596e-05
Position 995: 3.458357925798014e-05
Position 869: 3.396563745107583e-05
Position 1106: 2.3138824680183928e-05
Position 744: 2.126756856188477e-05
Position 990: 2.073748696061358e-05
Position 786: 1.8633003147035468e-05
Position 982: 1.1142639654869399e-05
Position 537: 1.043310921360213e-05
Position 70: 7.98726452153182e-06
Position 707: 4.728003229457557e-06
Position 803: 3.953165070764735e-06
Position 452: 3.045634249301709e-06
Position 65: 2.132102141900456e-06
Position 54: 1.8732351712521144e-06
Position 476: 1.7843805566122551e-06
Position 574: 1.3064172261831784e-06
Position 1065: 1.194528829251159e-06
Position 1068: 1.0669886506605754e-06
Position 665: 1.0335824003650973e-06
Position 437: 9.701000224638495e-07
Position 956: 6.902307571034309e-07
Position 669: 5.488421162421889e-07
Position 714: 1.6503628455036497e-07
Position 697: 1.455558676724865e-07
Position 847: 1.432161814135003e-07
Position 479: 1.1879266458240602e-07
Position 260: 6.81571659370504e-08
Position 464: 1.2160175997178306e-08
Position 492: 3.3964957672255775e-09
Position 257: 4.190472114916718e-10
Position 279: 2.046186580093663e-12
Position 283: 2.731114111096752e-13
