Gene = sick
index = 1872
Annotated 5SS: [ 32514  61476  90956 111528 112503 114068 129578 129787 130148 132632
 132990 160035 160362 160907]
Annotated 3SS: [ 61304  90578 111396 112393 112573 129017 129641 129844 132257 132837
 158187 160105 160426 160967]
SMsplice 5SS: [   459  11221  32514  61476  90956 111528 112004 112503 114068 129578
 129787 130148 132632 132990 154875 160035 160362 160907]
SMsplice 3SS: [ 10979  32407  61304  90578 111396 111610 112292 112573 129017 129641
 129844 132257 132837 154041 158187 160105 160426 160967]
top_k =  500
Partition function (log Z): -186.55043649958418

Sorted 5' Splice Sites (High to Low Probability):
Position 11221: 0.9859270466674376
Position 459: 0.7918066915377816
Position 791: 0.12959324662366362
Position 153: 0.0786006021554091
Position 17939: 0.00043701588294229937
Position 2305: 0.00023146937680617894
Position 274: 4.178001801254651e-05
Position 808: 2.9551226377796587e-05
Position 1234: 2.4757155404364995e-05
Position 262: 1.2484573201947845e-05
Position 3992: 1.1999332456367913e-05
Position 268: 8.758022432827012e-06
Position 270: 7.809582822561943e-06
Position 266: 6.851220586886554e-06
Position 525: 3.6151641088356047e-06
Position 1107: 3.1995362656957704e-06
Position 278: 2.5718366875378217e-06
Position 264: 2.509542181846878e-06
Position 3752: 2.1545142389682498e-06
Position 8141: 1.947557422497756e-06
Position 1117: 1.6124485905931807e-06
Position 1501: 1.1999755585121983e-06
Position 3730: 1.0915008441751475e-06
Position 1980: 7.444486152303413e-07
Position 1711: 7.421943620325272e-07
Position 658: 7.41389686665551e-07
Position 1723: 6.548675720484064e-07
Position 1238: 5.655571722570435e-07
Position 812: 4.7382527257092663e-07
Position 633: 3.989574748096823e-07
Position 280: 3.984081860084138e-07
Position 1416: 3.699859178923422e-07
Position 77: 2.723023996288745e-07
Position 1925: 2.7223574657518e-07
Position 248: 2.3477021775716092e-07
Position 282: 2.1840093859996758e-07
Position 747: 1.8608612227156473e-07
Position 1945: 1.4657520733375508e-07
Position 284: 1.4649806453667363e-07
Position 900: 1.349484565166205e-07
Position 463: 1.2247566236622084e-07
Position 3720: 1.0995215855174478e-07
Position 1682: 1.0102404932324691e-07
Position 1756: 9.128620869899475e-08
Position 566: 7.833976934889713e-08
Position 1469: 7.542661092727448e-08
Position 663: 7.023743422010425e-08
Position 3733: 6.323580501183868e-08
Position 528: 5.7858559593327254e-08
Position 575: 4.9549360642419544e-08
Position 879: 3.766431167021105e-08
Position 206: 3.6421829978137774e-08
Position 602: 3.495972650204306e-08
Position 191: 2.9015789778404255e-08
Position 580: 2.90019943618868e-08
Position 466: 1.9204232006379745e-08
Position 3639: 1.8021386706580145e-08
Position 587: 1.6390347656791827e-08
Position 272: 1.5259028187719356e-08
Position 888: 7.050648153820431e-09
Position 18: 6.8606457911194714e-09
Position 84: 6.1502763633545895e-09
Position 398: 6.081245975129046e-09
Position 668: 5.6656425910347265e-09
Position 558: 5.198307471924556e-09
Position 56: 5.051767190610917e-09
Position 596: 4.262493259774067e-09
Position 704: 4.166089884567842e-09
Position 67: 3.2285341727453847e-09
Position 502: 2.691277212850995e-09
Position 689: 2.330164162875133e-09
Position 322: 2.151608010763009e-09
Position 242: 1.7780140959842098e-09
Position 734: 1.4420633234068447e-09
Position 115: 7.439353504748189e-10
Position 137: 6.526511355336908e-10
Position 5: 6.028588981498954e-10
Position 439: 5.947695861837862e-10
Position 208: 4.95372685738034e-10
Position 6753: 1.9437516142302226e-10
Position 21: 1.8682220809424567e-10
Position 1349: 1.8667589843263187e-10
Position 117: 1.3368701858870044e-10
Position 863: 1.2245808718913197e-10
Position 4647: 1.2244250532528755e-10
Position 893: 1.1473414578026734e-10
Position 5473: 3.2928881407046684e-11
Position 27: 3.103241633171546e-11
Position 286: 1.4297509905912822e-11
Position 5767: 1.3909511229474548e-11
Position 3969: 4.844913972998636e-12
Position 3996: 3.337010397513538e-12
Position 288: 9.26143406170663e-13
Position 2629: 5.42459416220392e-13
Position 3145: 5.215330392641329e-13
Position 2827: 4.933124730923051e-13
Position 2362: 2.7462568817593833e-13
Position 2574: 2.680135956984044e-13
Position 378: 7.068788002647738e-14
Position 2309: 2.951239388689615e-14
Position 470: 1.1299871969954485e-14
Position 344: 4.038530538770385e-15
Position 682: 2.9599783573741293e-15
Position 302: 6.518116939977472e-21

Sorted 3' Splice Sites (High to Low Probability):
Position 10979: 0.9771110329908654
Position 25807: 0.9588018105462014
Position 22647: 0.039105552651529964
Position 10520: 0.008816147158217949
Position 16207: 0.0012333278529753449
Position 19249: 0.0008937621960335407
Position 2108: 0.00021487558767344062
Position 17512: 0.00020460707692544658
Position 18029: 0.0001331174381485955
Position 327: 6.665765101631466e-05
Position 16239: 5.478812897453079e-05
Position 587: 4.277512494457728e-05
Position 974: 2.8754745448983523e-05
Position 3837: 8.683018513261648e-06
Position 727: 7.985422408695632e-06
Position 626: 5.406843432091004e-06
Position 932: 4.813931504504947e-06
Position 3482: 4.205775215213062e-06
Position 14833: 3.597738124028112e-06
Position 15932: 3.5500724016575943e-06
Position 592: 2.6237983240998254e-06
Position 654: 2.5770932239772574e-06
Position 1565: 2.1858655490096943e-06
Position 2164: 1.8027147971355483e-06
Position 14225: 1.6339286756225634e-06
Position 7500: 1.5360303252499516e-06
Position 3883: 1.4803125098386028e-06
Position 2112: 1.3716530058076015e-06
Position 528: 1.2304005803445735e-06
Position 3800: 1.0220314650300227e-06
Position 2248: 8.939263961298543e-07
Position 12148: 5.42590180156112e-07
Position 2159: 5.159402337380378e-07
Position 7990: 4.206953114563594e-07
Position 1063: 3.489273829795693e-07
Position 657: 3.262552053423531e-07
Position 751: 3.191661110838942e-07
Position 640: 2.861064416887777e-07
Position 12329: 2.278241706365276e-07
Position 1415: 2.1250977960866523e-07
Position 679: 1.6433908903664239e-07
Position 11952: 9.35827999571664e-08
Position 13027: 8.747372428665436e-08
Position 769: 6.157899656744128e-08
Position 12166: 5.555054693175424e-08
Position 11535: 4.937960928033872e-08
Position 689: 4.5241348676861785e-08
Position 458: 4.015568586632893e-08
Position 11429: 3.997299714332646e-08
Position 344: 2.5659850869782143e-08
Position 1139: 2.3848941306335294e-08
Position 1452: 1.9071532212002586e-08
Position 11266: 1.6976996416469463e-08
Position 137: 1.6906481630180724e-08
Position 206: 1.0330195223589226e-08
Position 885: 7.128491475401511e-09
Position 839: 5.0408138796561146e-09
Position 8351: 4.977449684577032e-09
Position 134: 4.418505558640092e-09
Position 9375: 3.4933616696464053e-09
Position 2191: 1.062054406537295e-09
Position 1892: 8.336096271859729e-10
Position 8651: 5.846592841861975e-10
Position 7822: 5.441205346327441e-10
Position 6594: 4.4107576914999144e-10
Position 606: 3.6408501465028236e-10
Position 8290: 2.689971989269026e-10
Position 5359: 2.339396953266773e-10
Position 555: 1.740198295962036e-10
Position 6924: 1.7285906166604857e-10
Position 8200: 1.721749153606725e-10
Position 7429: 1.4587336016642743e-10
Position 6274: 1.2776433834268543e-10
Position 558: 1.2532370841676537e-10
