Gene = melt
index = 1787
Annotated 5SS: [ 712 4812 5122 5986 6791 7087 7363 7557 7903]
Annotated 3SS: [4656 4869 5183 6041 6848 7192 7427 7620 7961]
SMsplice 5SS: [ 712 4812 5122 5986 6791 7087 7363 7557 7903]
SMsplice 3SS: [4656 4869 5183 6041 6848 7210 7427 7620 7961]
top_k =  500
Partition function (log Z): 31.08498655680197

Sorted 5' Splice Sites (High to Low Probability):
Position 5122: 0.9992721363329462
Position 7087: 0.9970998842630957
Position 7903: 0.9967477810444183
Position 5986: 0.9965979970591823
Position 7557: 0.9927596518915988
Position 7363: 0.983416879009291
Position 6791: 0.9694208159399117
Position 4812: 0.9584613323758501
Position 712: 0.939786936415973
Position 2462: 0.1292285815963602
Position 2556: 0.11408031040711192
Position 2248: 0.06511306950591628
Position 2064: 0.047092557001899606
Position 1502: 0.04498774785604998
Position 4809: 0.036939194734612574
Position 6760: 0.026765948304319172
Position 6632: 0.0187791809269404
Position 71: 0.017289057051577655
Position 2697: 0.014415384090606624
Position 927: 0.014242018896798674
Position 6545: 0.013776519912044054
Position 75: 0.013598526888197095
Position 5333: 0.009750984002264967
Position 1516: 0.006976360596184984
Position 6604: 0.006609811990756681
Position 7351: 0.006393732016406193
Position 7551: 0.005883785579964028
Position 6495: 0.0058481118479678735
Position 996: 0.0057542226527005896
Position 1269: 0.0043659054687893994
Position 1263: 0.004069775953425637
Position 8254: 0.003699766456817527
Position 93: 0.0029568977622869
Position 1009: 0.0026512637339069813
Position 7969: 0.0026508309890182764
Position 1553: 0.0025421307580979417
Position 3996: 0.0024707524337347114
Position 205: 0.0021064729389530124
Position 7907: 0.0020553565186200063
Position 6593: 0.0018287234047696626
Position 5400: 0.0015530996595370954
Position 4816: 0.0014087611934279025
Position 5337: 0.00139223822239428
Position 5393: 0.0013789634633032026
Position 115: 0.0012873246836838856
Position 113: 0.0012621867629940267
Position 8007: 0.00125217890311859
Position 5391: 0.001111413554292785
Position 7537: 0.0010981428704549788
Position 5523: 0.0008882359417195662
Position 8001: 0.0008492528018792173
Position 6206: 0.0008082225062665561
Position 5415: 0.0007716389373064658
Position 5368: 0.0007648158352310232
Position 5254: 0.000721456639663553
Position 8105: 0.0006515714087958144
Position 117: 0.0006486343897283258
Position 1198: 0.0006076845601457907
Position 6855: 0.0005272052955085101
Position 362: 0.0005159195753776112
Position 1557: 0.00043438286587442086
Position 8130: 0.00036915300588311907
Position 5456: 0.00032691625366552095
Position 8485: 0.000313337889028639
Position 2017: 0.0003116964140973758
Position 1579: 0.00029239051074525074
Position 7728: 0.00022932368294197717
Position 6277: 0.00019160555161114095
Position 806: 0.00018595965779029706
Position 1971: 0.0001839748770921943
