Gene = l(2)37Cd
index = 1745
Annotated 5SS: [133 397 584]
Annotated 3SS: [194 453 710]
SMsplice 5SS: [133 397 584]
SMsplice 3SS: [194 453 710]
top_k =  500
Partition function (log Z): 2.99925996289377

Sorted 5' Splice Sites (High to Low Probability):
Position 397: 0.9987567592644067
Position 133: 0.9735878463178775
Position 584: 0.9661217772201012
Position 933: 0.0883430874852566
Position 1022: 0.02947142235734423
Position 1948: 0.014157175816239539
Position 636: 0.014098069873943641
Position 1465: 0.012943262179418293
Position 1098: 0.006030072528793911
Position 928: 0.003901253285786937
Position 588: 0.0025372529397257606
Position 79: 0.0022566237657176574
Position 877: 0.0017089226672387353
Position 656: 0.001665895520264722
Position 530: 0.0009158793498632896
Position 1738: 0.0007543114440386642
Position 150: 0.0006443107995313758
Position 817: 0.0006317078121354466
Position 126: 0.0005931298842429077
Position 1943: 0.00042909127054979843
Position 1361: 0.00040352677900109814
Position 1212: 0.0002918898322146679
Position 1200: 0.0002573643065362346
Position 401: 0.00020692944077099298
Position 859: 0.00018608532295819115
Position 961: 0.000144526689043197
Position 1216: 0.00012919647755068743
Position 124: 8.655057887702644e-05
Position 1909: 7.865667325817736e-05
Position 862: 7.812134933362669e-05
Position 1469: 6.594449437983798e-05
Position 1657: 6.477507635440049e-05
Position 408: 5.9060528834478684e-05
Position 837: 4.494890906091176e-05
Position 826: 3.037911038401022e-05
Position 867: 2.0693175440762758e-05
Position 1900: 1.8007382346528342e-05
Position 1357: 1.5075826344189677e-05
Position 1869: 1.4241679208029732e-05
Position 1044: 1.1200612625966722e-05
Position 1745: 1.0102861900416973e-05
Position 1383: 6.634470169401419e-06
Position 76: 5.849910281467803e-06
Position 354: 4.159392684496338e-06
Position 360: 3.7939198148440708e-06
Position 63: 3.6796440658360367e-06
Position 309: 2.7628393364683796e-06
Position 362: 2.16115098569595e-06
Position 681: 1.21081266861183e-06
Position 1102: 9.915999393563288e-07
Position 545: 6.966458649238926e-07
Position 54: 6.158729683491725e-07
Position 29: 4.188542497265795e-07
Position 612: 3.784952504700567e-07
Position 499: 3.651457489911071e-07
Position 605: 3.396199169531759e-07
Position 1279: 2.756225203471878e-07
Position 780: 2.0771181507734217e-07
Position 3: 1.6759307931455151e-07
Position 831: 1.4514472844824154e-07
Position 685: 1.4046206679238689e-07
Position 195: 1.397176779186107e-07
Position 224: 1.1510923024045623e-07
Position 210: 1.0841345824157708e-07
Position 595: 8.821472394344201e-08
Position 460: 5.5807989952221706e-08
Position 485: 2.680997109832711e-08
