Gene = cpb
index = 1657
Annotated 5SS: [213]
Annotated 3SS: [497]
SMsplice 5SS: [213]
SMsplice 3SS: [497]
top_k =  500
Partition function (log Z): -9.533320237431198

Sorted 5' Splice Sites (High to Low Probability):
Position 213: 0.9772696406027286
Position 960: 0.011117110643085777
Position 379: 0.009303523311462399
Position 446: 0.0026414321588360125
Position 171: 0.002132734763730673
Position 451: 0.0014067805798465356
Position 217: 0.0012729760867536447
Position 443: 0.0011305568593734992
Position 262: 0.001002080926099314
Position 840: 0.0008743659363048618
Position 824: 0.0006165798844532786
Position 202: 0.0005547664643094362
Position 389: 0.0004361145834861127
Position 875: 0.00026936227272705745
Position 677: 0.0002003630405057012
Position 812: 0.00014124020554149373
Position 271: 0.00012735928197884827
Position 231: 0.00012637722685622594
Position 517: 7.21517082726241e-05
Position 1437: 6.120932876412591e-05
Position 73: 6.0608502122861946e-05
Position 1773: 5.6222474536383486e-05
Position 1607: 5.4347378440714055e-05
Position 398: 5.1734789673185684e-05
Position 1379: 4.466199839063787e-05
Position 1143: 4.15140760424006e-05
Position 1042: 4.136439065968583e-05
Position 169: 3.8157903579960394e-05
Position 1790: 3.371346316154849e-05
Position 1326: 3.2579751691574736e-05
Position 1763: 2.753468623745045e-05
Position 404: 2.6762510159098938e-05
Position 1305: 2.443071839406094e-05
Position 1779: 1.5979299642681453e-05
Position 122: 6.323127971345632e-06
Position 497: 3.0010508183243235e-06
Position 16: 9.419195901174662e-07
Position 14: 6.692421087712772e-07
Position 82: 6.812012104004543e-08
Position 719: 6.79735235318037e-08
Position 849: 1.2843879773898267e-08
Position 264: 6.974485752547495e-09
Position 474: 5.7910664945157306e-09
Position 476: 1.8741099533978568e-09
Position 353: 9.936013233951463e-10
Position 951: 2.568641366926354e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 497: 0.8560714592825637
Position 582: 0.06624094168446415
Position 1603: 0.02098238265712477
Position 1535: 0.014798075352204716
Position 509: 0.007544969010813255
Position 1085: 0.00655799631488756
Position 338: 0.00520887962253897
Position 1028: 0.005204408945839824
Position 902: 0.004368445074679844
Position 1369: 0.002990698729873961
Position 1903: 0.0027374785297113085
Position 629: 0.0019040319542897696
Position 1088: 0.001879074675086123
Position 1082: 0.001765904516517786
Position 293: 0.0016658219303609995
Position 812: 0.0016645908350416962
Position 709: 0.0016196386623612397
Position 1646: 0.0013884664507573343
Position 817: 0.0011262280829353608
Position 1040: 0.0011034527636435622
Position 451: 0.0007581581755693804
Position 1205: 0.0005260567451509713
Position 1250: 0.0004541855670587238
Position 1814: 0.00033580562117412435
Position 554: 0.00027256511593322835
Position 327: 0.00023286445969696005
Position 1228: 0.00022827743835301427
Position 1374: 0.00022192136782886397
Position 2014: 0.0002038909810113297
Position 1723: 0.00016213960971327585
Position 250: 0.00013622496273875555
Position 2036: 0.00012821739282655305
Position 965: 0.00011707788029463905
Position 1225: 0.00010782235228577592
Position 404: 9.355062638282224e-05
Position 1139: 7.114729641348085e-05
Position 746: 7.08451728333036e-05
Position 231: 4.195685738165151e-05
Position 1199: 3.998286550093046e-05
Position 1907: 3.746079970528444e-05
Position 638: 3.654988820222885e-05
Position 1259: 3.345025293603639e-05
Position 551: 3.0261423758059764e-05
Position 1708: 2.3560531954386422e-05
Position 116: 1.7222618288873627e-05
Position 1607: 1.5402482266922173e-05
Position 1643: 1.531174300028782e-05
Position 247: 1.3640334383406096e-05
Position 982: 1.2310862474370724e-05
Position 538: 1.0301977771336218e-05
Position 1163: 9.148273545032838e-06
Position 1959: 8.219020632830443e-06
Position 656: 7.84957669256443e-06
Position 1091: 7.80836386108782e-06
Position 968: 6.02946773140243e-06
Position 653: 4.585923838261475e-06
Position 143: 5.030946502117023e-07
Position 120: 4.888528957349626e-07
Position 189: 4.714918863456768e-07
Position 128: 3.748338857783134e-07
Position 64: 3.579454567096154e-07
Position 169: 1.1767906076275872e-07
Position 152: 8.143641391020573e-08
Position 103: 5.8356473927322835e-08
Position 198: 5.739859803447611e-08
Position 238: 4.817160346267552e-08
Position 82: 2.407510735753035e-08
Position 916: 1.4384702905505632e-08
Position 605: 1.3871991794574933e-08
Position 791: 1.3723474655250496e-08
Position 195: 1.2457042519917322e-08
Position 71: 1.1341137407377934e-08
Position 122: 1.0315916183553619e-08
Position 821: 9.790947564695655e-09
Position 647: 9.717889225192562e-09
Position 73: 6.715797221109395e-09
Position 340: 2.3545629537802707e-09
Position 217: 3.0716891623653944e-10
Position 411: 2.819300874008796e-10
Position 202: 1.8214291992394915e-11
