Gene = brun
index = 1634
Annotated 5SS: [ 593 1421 2323 2626 3237 3778 4034 4285 4553]
Annotated 3SS: [ 655 1474 2381 2679 3292 3839 4092 4344 4617]
SMsplice 5SS: [ 593 1421 2323 2626 3237 3778 4034 4285 4553]
SMsplice 3SS: [ 655 1474 2381 2679 3292 3839 4092 4344 4617]
top_k =  500
Partition function (log Z): 26.040517400395856

Sorted 5' Splice Sites (High to Low Probability):
Position 3237: 0.9997455947146775
Position 2323: 0.9982712302177623
Position 1421: 0.9874064552947205
Position 3778: 0.9791392193898067
Position 2626: 0.970487223994226
Position 593: 0.9599381897172158
Position 4553: 0.9316898101979244
Position 4285: 0.8493858563194395
Position 4034: 0.7599419518365473
Position 4012: 0.21060221090572892
Position 3417: 0.04630223020681306
Position 2837: 0.038588961687749085
Position 4280: 0.017651773963139824
Position 4289: 0.01764803255675568
Position 595: 0.01568601745612374
Position 1297: 0.015589349034583366
Position 4930: 0.01489430634165834
Position 2970: 0.014467686327168815
Position 562: 0.01339930631070633
Position 2973: 0.011341041377390948
Position 3776: 0.009794388938120065
Position 1954: 0.007564196084491658
Position 586: 0.007272136933882543
Position 2143: 0.005709175392655776
Position 2911: 0.005343375407426729
Position 1114: 0.005256588025885174
Position 4398: 0.005209305438128885
Position 4868: 0.005087249602511088
Position 4924: 0.004952901037448609
Position 238: 0.0044034169371479056
Position 4138: 0.004325078671172546
Position 2490: 0.0035123611636328615
Position 1812: 0.0034512884571176773
Position 1591: 0.002996885679987107
Position 4251: 0.002375248055631264
Position 1293: 0.0016806732530536906
Position 517: 0.001516859145478947
Position 832: 0.00124260376674105
Position 4906: 0.0011755873244769146
Position 3650: 0.00109512911348987
Position 2754: 0.0009571943231781194
Position 1633: 0.0008599803116066918
Position 2950: 0.0008325438482062543
Position 2944: 0.0007201790952755465
Position 2913: 0.0006917289352818183
Position 2532: 0.0006800610047016596
Position 198: 0.0006038320042711967
Position 4389: 0.0005476863892133417
Position 2439: 0.0004437049340026787
Position 1301: 0.0004263542954592756
Position 2814: 0.0003837053373765552
Position 3599: 0.000345972626929003
Position 390: 0.0003404728885971499
Position 4318: 0.0003299387254005642
Position 2918: 0.00032516166889594647
Position 4293: 0.00032038777073801285
Position 1083: 0.000320073325715263
Position 597: 0.0003031514252760649
Position 195: 0.0002899307075429318
Position 2476: 0.0002852486714112157
Position 5027: 0.00027490815612693823
Position 852: 0.00027138923608107345
Position 4170: 0.0002698318187040223
Position 1969: 0.0002591471418989002
Position 291: 0.00025251762037007655
Position 3988: 0.0002483152397504728
Position 2926: 0.00024030029443392845
Position 2115: 0.0002368143349161005
Position 2947: 0.00022820288463405836
Position 552: 0.00022811585359633124
Position 2548: 0.00022779346102940417
Position 5031: 0.00021635262226030676
Position 571: 0.00020846460937329111
Position 4287: 0.00019680339404382614
Position 3052: 0.00019215157516564018
Position 2787: 0.0001916016565668849
Position 3782: 0.0001872649484379189
Position 5103: 0.00016354279634420195
Position 5063: 0.00013704023749216024
Position 3991: 0.00011723438346487614
Position 2784: 0.00010989564245896345
Position 599: 8.794993318334509e-05
Position 913: 8.335718441081523e-05
Position 4885: 8.031171295942468e-05
Position 2084: 7.91129812972175e-05
Position 4934: 7.439559005844741e-05
Position 935: 7.324605932082519e-05
Position 2638: 6.943783827836119e-05
Position 3006: 6.743026474467174e-05
Position 3740: 5.873932193877532e-05
Position 3482: 5.548581095273237e-05
Position 3761: 5.467107756578083e-05
Position 812: 5.146447620194417e-05
Position 2097: 5.143550688894845e-05
Position 428: 4.728982071731943e-05
Position 569: 4.32509158071946e-05
Position 4916: 4.127648398787516e-05
Position 1902: 3.9381995331100215e-05
Position 4841: 3.4425293581207e-05
Position 2795: 3.2988360784702545e-05
Position 502: 2.9621328672727533e-05
Position 1564: 2.8439417775079447e-05
Position 2421: 2.7161943155744262e-05
Position 1315: 2.6760055963719364e-05
Position 843: 2.502189132493316e-05
Position 2979: 2.249047841154499e-05
Position 1195: 2.237471507401834e-05
Position 3859: 2.2136306873692967e-05
Position 3705: 1.9861309197782654e-05
Position 3661: 1.6965989555130343e-05
Position 3486: 1.6078576226334654e-05
Position 4181: 1.5768503522775147e-05
Position 5325: 1.4641698673824756e-05
Position 398: 1.3275203051502759e-05
Position 3501: 1.306670218562204e-05
Position 3591: 1.2732997346300574e-05
Position 3972: 1.2100703506819136e-05
Position 1425: 1.1997624528477228e-05
Position 2327: 1.1844088200970636e-05
Position 3619: 1.0991256419219459e-05
Position 1262: 8.762659197102298e-06
Position 388: 8.305559598756145e-06
Position 2172: 8.020891849870155e-06
Position 137: 7.994920548609823e-06
Position 145: 7.642660564214243e-06
Position 2656: 6.31544070082912e-06
Position 1153: 6.282860376744566e-06
Position 3805: 6.254553741057999e-06
Position 1246: 6.077314475784044e-06
Position 1014: 5.107007475381441e-06
Position 694: 5.01649782015179e-06
Position 3164: 4.740031697950921e-06
Position 2829: 4.5585645556806665e-06
Position 822: 4.404733050800324e-06
Position 3362: 4.3424553785881535e-06
Position 4266: 4.106310785309892e-06
Position 2367: 3.840156573700529e-06
Position 434: 3.318680141620992e-06
Position 4233: 3.2711843786263597e-06
Position 2105: 3.070238111394803e-06
Position 521: 3.061983571325396e-06
Position 4409: 2.7892004317864247e-06
Position 538: 2.731565303688428e-06
Position 3446: 2.275092153084513e-06
Position 4330: 2.260766016594545e-06
Position 450: 1.914839860314734e-06
Position 3261: 1.617398242329445e-06
Position 1266: 1.4260244883667006e-06
Position 3710: 1.4210749514495182e-06
Position 89: 1.3516296943368771e-06
Position 1170: 1.114566933220335e-06
Position 153: 9.752799242148535e-07
Position 304: 9.198079066977126e-07
Position 1016: 8.84071742964513e-07
Position 2311: 8.827471442800727e-07
Position 3823: 8.197986875288488e-07
Position 1338: 8.051133144823085e-07
Position 1506: 8.021983339606277e-07
Position 4074: 8.007298145829203e-07
Position 1511: 7.554564981924131e-07
Position 2271: 6.946183002551878e-07
Position 2396: 6.122838914557051e-07
Position 3712: 5.69567646854584e-07
Position 4464: 5.389774803474924e-07
Position 807: 4.516114277642226e-07
Position 3421: 4.505268028555371e-07
Position 3549: 4.491983411946355e-07
Position 406: 4.235330138763185e-07
Position 124: 4.022389185477035e-07
Position 12: 3.6075281839716073e-07
Position 709: 2.679079759926499e-07
Position 3795: 2.600053209959582e-07
Position 3964: 2.287794812023361e-07
Position 2687: 2.1210796775345616e-07
Position 106: 1.8824314281638538e-07
Position 2789: 1.10537746230831e-07
Position 1362: 1.0821460544022767e-07
Position 3335: 8.533261594891805e-08
Position 3532: 6.026418716922162e-08
Position 2712: 5.863942122010365e-08
Position 4670: 2.1510823423137138e-08
Position 3183: 1.6321242941744944e-08
Position 1894: 1.4613065602358657e-08
Position 1544: 1.3348387146802826e-08
Position 1621: 1.2984674268941481e-08
Position 4770: 1.0021341421661414e-08
Position 3089: 9.612186832971287e-09
Position 4747: 9.489547148686472e-09
Position 858: 9.450741861202405e-09
