Gene = RpL37A
index = 1444
Annotated 5SS: [ 74 201 399]
Annotated 3SS: [145 269 651]
SMsplice 5SS: [ 74 201 399]
SMsplice 3SS: [145 269 651]
top_k =  500
Partition function (log Z): 4.98932591554467

Sorted 5' Splice Sites (High to Low Probability):
Position 399: 0.9934669905545161
Position 74: 0.9839049197312607
Position 201: 0.9391410151995315
Position 795: 0.03637915301766776
Position 301: 0.0016114033601410272
Position 463: 0.0011074271768261373
Position 80: 0.0010397899975744447
Position 892: 0.0009319518102455088
Position 334: 0.0008814277291702156
Position 288: 0.0005712755528359324
Position 531: 0.0004790373104073909
Position 766: 0.00046558062713304027
Position 889: 0.0003218409146313877
Position 374: 0.00022676987822422296
Position 10: 0.0002015648300848031
Position 859: 0.00014378921476293125
Position 78: 0.00011592588537969248
Position 779: 0.00011175224654846506
Position 754: 8.73323259307281e-05
Position 947: 8.310336668606379e-05
Position 310: 8.082846004058749e-05
Position 484: 5.851095572628372e-05
Position 957: 5.594645518673088e-05
Position 770: 5.5069090967182216e-05
Position 557: 4.11919385342005e-05
Position 342: 3.681498861311584e-05
Position 729: 3.5711343108175366e-05
Position 773: 2.9438637148141754e-05
Position 436: 2.856434340132651e-05
Position 297: 2.7220824394451562e-05
Position 912: 2.5183851994481035e-05
Position 171: 1.9979815594113564e-05
Position 90: 1.9117762329246136e-05
Position 473: 1.7059818264670537e-05
Position 63: 1.6569039194962336e-05
Position 322: 1.51692426661433e-05
Position 403: 1.3987021505729211e-05
Position 862: 1.3861406544565156e-05
Position 570: 1.3176739815949293e-05
Position 72: 1.1127904638707184e-05
Position 100: 1.1053238774266176e-05
Position 727: 8.795674189005804e-06
Position 901: 5.570333780430792e-06
Position 491: 3.4876211997065485e-06
Position 21: 3.448035922844209e-06
Position 972: 3.077139181509598e-06
Position 1030: 2.516402268144996e-06
Position 992: 1.6888885515519397e-06
Position 34: 1.556564222447751e-06
Position 930: 1.0133705272114684e-06
Position 716: 5.102172397031141e-07
Position 907: 3.1020895234795593e-07
Position 169: 2.662455850639486e-07
Position 984: 1.6840704912227908e-07
Position 995: 8.2133305458808e-08
Position 138: 7.828660251357772e-08
Position 316: 2.2679285726630833e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 651: 0.9955000968071737
Position 145: 0.9753738929381374
Position 269: 0.9481233975405576
Position 947: 0.01613467299412012
Position 853: 0.013927980384463325
Position 862: 0.007313079735942003
Position 1030: 0.001295078272625974
Position 597: 0.0012213066537532225
Position 581: 0.0009942951630003804
Position 193: 0.0005444528736882381
Position 612: 0.0005370930289503925
Position 600: 0.0003006601877248302
Position 1083: 0.00027886607624800266
Position 449: 7.118791843190909e-05
Position 275: 6.620885755148805e-05
Position 663: 5.257310122866499e-05
Position 370: 4.354289968719372e-05
Position 338: 3.433383981615413e-05
Position 625: 3.07981816000184e-05
Position 365: 2.3074578063984036e-05
Position 984: 1.4183857039806622e-05
Position 557: 9.869498772903106e-06
Position 972: 9.086424094191355e-06
Position 704: 8.001687035916107e-06
Position 287: 4.744189273071538e-06
Position 350: 2.8066620282119552e-06
Position 506: 2.6478538742282413e-06
Position 398: 2.6329513981973508e-06
Position 434: 2.1352404972282476e-06
Position 693: 1.7708477410711801e-06
Position 1091: 1.42179974898534e-06
Position 531: 7.069749510115069e-07
Position 957: 6.496351572050451e-07
Position 565: 6.262927122949324e-07
Position 374: 5.963703997065751e-07
Position 347: 5.472153581038941e-07
Position 284: 4.314112921496891e-07
Position 491: 2.9010092316413815e-07
Position 1088: 2.529641748049097e-07
Position 992: 1.7169231030152524e-07
Position 78: 3.730260897114469e-08
Position 453: 3.59216108506453e-10
