Gene = dre4
index = 1676
Annotated 5SS: [ 203  661 1026 2272 3196 3513 3731 3959]
Annotated 3SS: [ 396  725 1093 2328 3249 3576 3841 4394]
SMsplice 5SS: [ 203  661 1026 2272 3196 3513 3731 3959]
SMsplice 3SS: [ 396  725 1093 2328 3249 3576 3841 4394]
top_k =  500
Partition function (log Z): 20.386181419614115

Sorted 5' Splice Sites (High to Low Probability):
Position 3513: 0.9996199919277661
Position 3196: 0.996068389630346
Position 1026: 0.9910472324217946
Position 3731: 0.9818908695127264
Position 2272: 0.9624491936012709
Position 661: 0.9280134447211044
Position 203: 0.6049573276715262
Position 3959: 0.5604932054757183
Position 339: 0.3781423820666113
Position 4337: 0.16798944359220355
Position 1379: 0.152292660194322
Position 2080: 0.07440673989512782
Position 2940: 0.024040749223570135
Position 3058: 0.01214747921266187
Position 314: 0.011000172911598329
Position 2508: 0.010898297229921968
Position 2624: 0.008772410344956617
Position 1688: 0.0076998870163787515
Position 3062: 0.004466097446358438
Position 2915: 0.004333506155515432
Position 1269: 0.0040944785851737215
Position 4013: 0.004072094552644664
Position 2276: 0.003931800886438823
Position 311: 0.0030054321725661677
Position 2911: 0.0029827039551117104
Position 626: 0.0022537095848273593
Position 1479: 0.0018691544520957146
Position 3880: 0.0018671693984412955
Position 983: 0.001740226893094058
Position 2844: 0.0016194436437291925
Position 2894: 0.0012849300909409333
Position 285: 0.0011466616280387501
Position 869: 0.0010446436708112497
Position 3926: 0.000974502974786979
Position 1337: 0.0007382411400905151
Position 266: 0.0006969015160241245
Position 1589: 0.0006531104417865072
Position 2635: 0.0006194332658164681
Position 3772: 0.0005114299640674101
Position 2270: 0.0004833398283906187
Position 4066: 0.0004149671445980375
Position 3759: 0.0003980956100974955
Position 649: 0.00038366587478614944
Position 1277: 0.0003781268996254873
Position 3053: 0.0003478895353996759
Position 207: 0.0003325278951836134
Position 4347: 0.00032026637455508095
Position 219: 0.0003162244756820402
Position 543: 0.00030914431491170166
Position 3893: 0.0003050980973569587
Position 1682: 0.000281305643592488
Position 1991: 0.00024124463847228825
Position 561: 0.0002375363076846052
Position 4128: 0.0002337603172916695
Position 4530: 0.000223571237133118
Position 477: 0.00022236002559200557
Position 1484: 0.00021577643701283335
Position 4061: 0.00019272340574235722
Position 541: 0.000190432686615539
Position 830: 0.00018898891949698182
Position 4588: 0.00018727339509467468
Position 3179: 0.0001865716507724779
Position 2417: 0.0001664272444846998
Position 1710: 0.00016625633828032464
Position 2366: 0.00015913250375757036
Position 1271: 0.00014822132415459344
Position 3718: 0.00014709092155442392
Position 2069: 0.000142698902304394
Position 4539: 0.00014188096610903245
Position 163: 0.0001380730085172513
Position 4227: 0.0001365994904385738
Position 2117: 0.00012999676575545672
Position 4221: 0.0001245057290943822
Position 1712: 0.0001244932081886332
Position 962: 0.00012377770592427118
Position 1303: 0.00010845944998304148
Position 4173: 9.05150271451998e-05
Position 342: 8.569782699168453e-05
Position 2104: 8.533283904359075e-05
Position 863: 8.401549375729028e-05
Position 1241: 8.250789483202433e-05
Position 665: 8.009413143344613e-05
Position 1604: 7.471917706223723e-05
Position 4091: 7.221595602075083e-05
Position 2281: 6.9542356151142e-05
Position 3475: 6.440522957837041e-05
Position 4680: 6.248799543184843e-05
Position 1150: 5.671637653618702e-05
Position 3963: 5.2353781768963826e-05
Position 460: 5.223987531553384e-05
Position 4576: 4.8740074997347705e-05
Position 1231: 4.161747481127873e-05
Position 1509: 3.7589884634853505e-05
Position 4251: 3.248986550719027e-05
Position 3146: 2.9926888075273013e-05
Position 4118: 2.5206993631501594e-05
Position 926: 2.4616870039815284e-05
Position 3200: 2.2876600929750635e-05
Position 1429: 2.2115475343072776e-05
Position 454: 2.197625662213243e-05
Position 211: 2.0922050363775017e-05
Position 1528: 2.0556688925810863e-05
Position 4204: 1.906311117918759e-05
Position 4683: 1.84918992041451e-05
Position 4592: 1.7423144900325953e-05
Position 167: 1.6475943618726113e-05
Position 232: 1.5701865162599762e-05
Position 4158: 1.5544410421954657e-05
Position 114: 1.4923078190082348e-05
Position 4256: 1.4735420042935698e-05
Position 176: 1.4033387029636519e-05
Position 2978: 1.2474273201951851e-05
Position 3137: 1.1246665104601113e-05
Position 486: 1.0867486483504522e-05
