Gene = Dhc62B
index = 1133
Annotated 5SS: [ 2177  2427  5158  5531  5833  6978 10818 11201]
Annotated 3SS: [ 2245  2487  5215  5589  5888  7039 10880 11269]
SMsplice 5SS: [  357  2177  2427  5158  5531  5833  9480 10818 11201]
SMsplice 3SS: [ 2033  2245  2487  5215  5589  9262  9601 10880 11269]
top_k =  500
Partition function (log Z): 6.139883823371183

Sorted 5' Splice Sites (High to Low Probability):
Position 2427: 0.9993758646730981
Position 11201: 0.9980224349430747
Position 2177: 0.9903266267433417
Position 5158: 0.9572913910601049
Position 10818: 0.8928442602570845
Position 5531: 0.8678719633790756
Position 5833: 0.7312169546717529
Position 6978: 0.6891094641192238
Position 9480: 0.589377452067472
Position 6157: 0.4803105091591782
Position 357: 0.28723574736199514
Position 2967: 0.17296027818032617
Position 161: 0.11400173245324263
Position 846: 0.08227619658788835
Position 3238: 0.08199128350935009
Position 1323: 0.0742507279395565
Position 7157: 0.07129367891588273
Position 270: 0.053337962371817274
Position 891: 0.04721317597979021
Position 1194: 0.0429229528262578
Position 5154: 0.03167338090793708
Position 1220: 0.02841666206928055
Position 821: 0.025176619328309974
Position 6055: 0.02472319227319933
Position 604: 0.020783204766719608
Position 6237: 0.020396522618306934
Position 5348: 0.0190525657238875
Position 1230: 0.016281655044317975
Position 216: 0.016210189390987534
Position 1782: 0.013302535142041461
Position 1161: 0.011387937495359693
Position 787: 0.010750574277049776
Position 3863: 0.009598096864938913
Position 5776: 0.009562446373989309
Position 3574: 0.009410721250601951
Position 2956: 0.0091549451964019
Position 440: 0.008989975943314365
Position 11666: 0.008028347660284235
Position 1767: 0.007727960387615715
Position 1713: 0.007078395472188873
Position 5839: 0.005270866902210902
Position 11891: 0.004618051095798024
Position 3016: 0.004575464769344531
Position 1016: 0.004394480287299275
Position 2147: 0.0043819931792215185
Position 1926: 0.004309853294521066
Position 5811: 0.004025141265150937
Position 1290: 0.0038839396723763355
Position 504: 0.0038673523798493504
Position 1700: 0.003334775788930565
Position 872: 0.003070311180495302
Position 176: 0.003051113169374971
Position 3925: 0.002683654420805441
Position 5498: 0.0025167423137719205
Position 6965: 0.002078678751837775
Position 453: 0.001992425760342544
Position 1278: 0.0019119693394999318
Position 863: 0.0017650557127639132
Position 809: 0.0015580558307937357
Position 1451: 0.001522485855927861
Position 1073: 0.001475346936259921
Position 3588: 0.0014252511147048149
Position 7780: 0.0013415558780086932
Position 1331: 0.0012762504579238204
Position 773: 0.0012383414007324997
Position 1646: 0.0010036370222468536
Position 2964: 0.000978244780255995
Position 7595: 0.0007808777141864402
Position 10085: 0.0007149119422004573
Position 5234: 0.0006722810988529415
Position 11434: 0.0006608210297631507
Position 8213: 0.0006505263307936293
Position 2181: 0.0006280458385582644
Position 11651: 0.0006276118692287405
Position 8496: 0.0004928125690041263
Position 11740: 0.00048321543471308356
Position 7142: 0.0004066954167427359
Position 2986: 0.0003926430054961108
Position 11378: 0.00033355709590399054
Position 5575: 0.00030300921953908296
Position 1070: 0.00029289361635741396
Position 1025: 0.0002374322512834563
Position 7736: 0.00022913672533874215
Position 3634: 0.00017809770752458753
Position 11205: 0.00016722990755917844
Position 4328: 0.00015789451959641863
Position 918: 0.00014372745840973017
Position 3263: 0.0001341951150230677
Position 2603: 0.00012260719606693306
Position 11494: 8.036932036150721e-05
Position 372: 7.60890387798442e-05
Position 2369: 7.03804711110443e-05
Position 3242: 6.991236894225604e-05
Position 2640: 6.539340620699572e-05
Position 563: 6.282299177983978e-05
Position 200: 5.815096542228194e-05
Position 24: 5.7686233468181206e-05
Position 2412: 5.502513271211356e-05
Position 11929: 5.4558428247149285e-05
Position 2120: 5.30420357872278e-05
Position 12396: 4.79903920332771e-05
Position 3856: 4.793965551704028e-05
Position 11348: 4.504446171139789e-05
