Gene = RtcB
index = 1459
Annotated 5SS: [1421]
Annotated 3SS: [1480]
SMsplice 5SS: [1421]
SMsplice 3SS: [1480]
top_k =  500
Partition function (log Z): -5.384799167124944

Sorted 5' Splice Sites (High to Low Probability):
Position 1421: 0.9917856190431233
Position 749: 0.07438874838684639
Position 173: 0.0584683772884523
Position 461: 0.04007844379702827
Position 1724: 0.011138089581278647
Position 1085: 0.00946390005506544
Position 1669: 0.009040111566401492
Position 1709: 0.004951363509142007
Position 160: 0.001651242572584745
Position 305: 0.0015610470892201934
Position 134: 0.0014907755091953365
Position 1401: 0.0011332756483282166
Position 1732: 0.0008164665528806672
Position 1425: 0.0006658353178575052
Position 587: 0.0006419239931242192
Position 1123: 0.0005819761288044296
Position 476: 0.0005650806665382682
Position 890: 0.0005236412189753223
Position 500: 0.0004165475082452892
Position 935: 0.0003192486277306374
Position 1135: 0.00019114297141048972
Position 827: 0.00016716953152688088
Position 1031: 0.0001647618888336934
Position 715: 0.00014529892482312181
Position 523: 0.00013083395393083305
Position 1240: 0.00011229333736474796
Position 1694: 0.00010548113982029877
Position 1244: 7.771528236756985e-05
Position 1747: 6.427544587475518e-05
Position 798: 5.9597863903241945e-05
Position 454: 5.3240041590560835e-05
Position 1634: 4.929262216687351e-05
Position 1631: 4.644182773995338e-05
Position 591: 3.101834883953185e-05
Position 545: 2.922113191580436e-05
Position 1589: 2.191246140043122e-05
Position 309: 1.7862204118095337e-05
Position 896: 1.4519390149538672e-05
Position 1622: 1.2557322569094777e-05
Position 5: 1.0260037727077715e-05
Position 1552: 8.448485111488134e-06
Position 850: 7.786834822275991e-06
Position 57: 5.099711800813405e-06
Position 571: 4.166199935885671e-06
Position 683: 3.77388660561981e-06
Position 242: 3.671578061562648e-06
Position 1644: 3.5140604729517094e-06
Position 25: 3.5123331310995952e-06
Position 232: 3.191905803603911e-06
Position 138: 2.5958604845547856e-06
Position 365: 2.144805149836692e-06
Position 131: 1.7680287159674786e-06
Position 1356: 1.6807692556040506e-06
Position 373: 1.6251406835698878e-06
Position 458: 1.5208207333455406e-06
Position 1202: 1.4389691866281032e-06
Position 1331: 1.2030348980264784e-06
Position 480: 1.1011939126265072e-06
Position 1396: 7.577676715973611e-07
Position 1571: 3.133848236497153e-07
Position 1532: 2.388452370549757e-07
Position 224: 1.558870568157126e-07
Position 893: 1.072659925970863e-07
Position 465: 1.0516896983026085e-07
Position 326: 6.636809347843048e-08
Position 122: 4.833469228157326e-08
Position 142: 2.7853841897372206e-08
Position 685: 2.0774434953908227e-08
Position 536: 2.0666662885481484e-08
Position 1361: 1.2343343034997401e-08
Position 1335: 1.2269394455567392e-08
Position 234: 9.294890018162578e-09
Position 1438: 7.713659724578101e-09
Position 1217: 6.918417807473205e-09
Position 1169: 1.7400432209313394e-09
Position 291: 2.199404004750156e-12
Position 352: 1.534144764968209e-13
Position 344: 3.23354106952004e-14
Position 504: 3.0460770339079017e-16

Sorted 3' Splice Sites (High to Low Probability):
Position 1480: 0.9981364031345411
Position 1201: 0.07484057912412236
Position 249: 0.03744346101479566
Position 1793: 0.026607597440689062
Position 1356: 0.022058490273688166
Position 1298: 0.01107674490584313
Position 934: 0.010282818128707702
Position 826: 0.005451997280379859
Position 1321: 0.002821281494427687
Position 532: 0.0026098945706654374
Position 1255: 0.0025530693567824697
Position 1095: 0.002547059512258007
Position 1309: 0.0020785730225815285
Position 1121: 0.001574731002268266
Position 958: 0.0015174808049266983
Position 1228: 0.0014700349030652446
Position 305: 0.0014033574832495455
Position 1006: 0.0013575695020204544
Position 372: 0.0008962831209297699
Position 1042: 0.0008845708782427208
Position 915: 0.0006490578341546658
Position 748: 0.0004955069527400135
Position 637: 0.00037083442091551404
Position 1456: 0.0003208635779337339
Position 1767: 0.00030737801960263345
Position 1732: 0.00019509178724610413
Position 1132: 0.00018040251629612084
Position 529: 0.00014870694393188854
Position 1231: 0.00012893836942431494
Position 541: 0.00012384424590916251
Position 850: 0.00010358359502306856
Position 1054: 8.377363145536045e-05
Position 465: 8.096230691162043e-05
Position 331: 6.826158304082146e-05
Position 334: 6.642620791808781e-05
Position 1528: 5.945024714902893e-05
Position 820: 5.5591420401639495e-05
Position 1499: 4.199859602037162e-05
Position 1381: 3.8271601734084225e-05
Position 604: 2.3158135268835735e-05
Position 211: 1.0713045004831693e-05
Position 883: 1.0116445712406486e-05
Position 82: 9.968921153509715e-06
Position 565: 9.759166337920557e-06
Position 1694: 8.057050899622144e-06
Position 700: 6.3877059380535435e-06
Position 889: 6.175036409467832e-06
Position 202: 5.442057836971214e-06
Position 715: 5.043333861188616e-06
Position 199: 4.777435575262409e-06
Position 676: 4.4360655315547585e-06
Position 1543: 4.230775028131784e-06
Position 65: 3.690576266324999e-06
Position 1618: 2.9786551184874717e-06
Position 553: 2.6671867682865494e-07
Position 550: 2.475816261476425e-07
Position 259: 1.6893642180241354e-07
Position 107: 7.079637844677452e-08
Position 229: 3.5650905128711354e-08
Position 338: 3.0732137404800924e-08
Position 283: 2.8242653011260038e-08
Position 91: 1.454949984364855e-08
Position 88: 9.842452069184796e-09
Position 274: 8.101191784001658e-09
Position 126: 3.570370514749754e-09
Position 694: 3.3102987298654785e-09
Position 109: 1.6671513968621441e-09
Position 640: 8.419189858621211e-10
Position 277: 2.4252572935541293e-10
Position 173: 4.762235220391776e-12
Position 154: 2.373532376428683e-13
Position 169: 8.903078073247525e-14
Position 120: 3.4623201367067846e-14
Position 177: 5.073348641274039e-15
