Gene = UQCR-Q
index = 1581
Annotated 5SS: [375 834]
Annotated 3SS: [648 889]
SMsplice 5SS: [ 74 375 834]
SMsplice 3SS: [132 648 889]
top_k =  500
Partition function (log Z): 2.37150186601166

Sorted 5' Splice Sites (High to Low Probability):
Position 74: 0.9722608786451479
Position 834: 0.9499282643899767
Position 375: 0.7160074556872514
Position 794: 0.04419789636729102
Position 294: 0.027490262478011344
Position 987: 0.019680473523430792
Position 356: 0.01770759010744267
Position 1004: 0.008279975727296827
Position 398: 0.005540152828777728
Position 838: 0.005032663452117867
Position 530: 0.004889331497122756
Position 1049: 0.0040037368731000444
Position 506: 0.0028432514435202524
Position 362: 0.0028080395317724824
Position 410: 0.0021016258918221007
Position 1052: 0.0016597651766127317
Position 471: 0.0013727656281688277
Position 1062: 0.001170077422455199
Position 1102: 0.0010150190595967193
Position 566: 0.0008332822391325497
Position 1092: 0.0007568168884278324
Position 327: 0.000614415796417162
Position 603: 0.000412462815835202
Position 203: 0.0003175228174174771
Position 1009: 0.00029385596351322145
Position 824: 0.00026018645753882197
Position 585: 0.0002583704949788169
Position 451: 0.0002003077957749691
Position 583: 0.00015663798834308454
Position 478: 0.0001331921157617072
Position 1056: 7.278604443184804e-05
Position 206: 6.082498414299106e-05
Position 1039: 4.7994290137537254e-05
Position 190: 4.730091834488218e-05
Position 104: 1.961184497021078e-05
Position 337: 1.6830258888308696e-05
Position 1054: 1.4727387584300984e-05
Position 619: 1.4599560786247644e-05
Position 1124: 1.4524880343269591e-05
Position 469: 1.180313495135053e-05
Position 815: 1.1730749604210587e-05
Position 318: 1.0929986617672457e-05
Position 798: 8.742823699220274e-06
Position 181: 7.68689843819974e-06
Position 38: 6.084438486751633e-06
Position 226: 6.011427815941149e-06
Position 162: 5.4480454893050135e-06
Position 898: 4.543693326024216e-06
Position 710: 2.7729314655070914e-06
Position 298: 2.375870937843743e-06
Position 1138: 1.8959847031432174e-06
Position 23: 1.5821173112424383e-06
Position 86: 9.044073936963679e-07
Position 1222: 5.911527084492179e-07
Position 1151: 1.4863927587986784e-07
Position 132: 1.610065431404296e-08
Position 168: 1.1036158905491501e-08
Position 866: 8.183483977608302e-11
Position 311: 4.640666373345069e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 889: 0.9944370949608047
Position 132: 0.8317885619333683
Position 648: 0.8262257991403102
Position 161: 0.06802342898869185
Position 1169: 0.01967754952504745
Position 1039: 0.019253938176742424
Position 139: 0.012575722584177168
Position 632: 0.0037143945041755045
Position 451: 0.002604316676036228
Position 1138: 0.0024951734219125572
Position 688: 0.002162717787663339
Position 709: 0.0020495350323225304
Position 456: 0.001532277850438628
Position 119: 0.001286976998678114
Position 261: 0.0010776955872107586
Position 281: 0.0006713866024098049
Position 751: 0.0005005626320178197
Position 535: 0.0004385227238848787
Position 1196: 0.0003955624936796525
Position 409: 0.00033256636852771124
Position 469: 0.00021271598192934392
Position 181: 0.0001473476104239635
Position 850: 0.0001472880447640607
Position 354: 0.00013869116232358332
Position 933: 0.00011778972855277768
Position 506: 0.00011435856566243268
Position 733: 7.257441178629838e-05
Position 304: 6.253060583317363e-05
Position 249: 6.14706062974391e-05
Position 220: 5.8368145498731506e-05
Position 1072: 4.922226873138862e-05
Position 1045: 4.1811928259457205e-05
Position 475: 3.774907221309076e-05
Position 1216: 2.605655492428022e-05
Position 1086: 1.9544938380717485e-05
Position 374: 1.9187673253334072e-05
Position 168: 1.5480493293055876e-05
Position 190: 1.1815928246749998e-05
Position 232: 3.7364042746088316e-06
Position 557: 3.4342982425457968e-06
Position 544: 2.9795050727423035e-06
Position 838: 2.855796594633966e-06
Position 1000: 1.6443772488345175e-06
Position 1298: 1.4679431901904218e-06
Position 503: 1.2371902575761104e-06
Position 774: 1.1572004240227741e-06
Position 1234: 9.959951620228315e-07
Position 458: 7.601364302203012e-07
Position 362: 3.326773009495159e-07
Position 954: 2.0124981298669517e-07
Position 1173: 1.6577429733218698e-07
Position 337: 3.8972002088159143e-10
Position 73: 1.1975481928986236e-10
Position 332: 6.671205480583588e-11
Position 344: 4.960941726995607e-12
Position 78: 3.035743234800944e-12
