Gene = lilli
index = 1758
Annotated 5SS: [  650  4988 59864 61507 62102 62217 65183 65454 65628 65877 66099]
Annotated 3SS: [ 3744 59100 60779 61679 62159 62275 65261 65540 65710 65947 66159]
SMsplice 5SS: [  650  4988 60730 61507 62102 62217 65183 65454 65628 65877 66099]
SMsplice 3SS: [ 4447 60517 60779 61679 62159 62275 65261 65540 65710 65947 66159]
top_k =  500
Partition function (log Z): -67.92850157870157

Sorted 5' Splice Sites (High to Low Probability):
Position 4988: 0.9962573751695204
Position 650: 0.613304679068298
Position 532: 0.10258071012743229
Position 326: 0.07210675674747818
Position 320: 0.06679325321465447
Position 21477: 0.06098238882859693
Position 314: 0.04796406265925198
Position 351: 0.04347244373754571
Position 205: 0.031526691768941684
Position 4106: 0.014816975356529217
Position 4795: 0.007111983673560284
Position 5305: 0.006214307355100513
Position 5841: 0.005450267729677061
Position 1008: 0.0042281154354365256
Position 4291: 0.00409584329157328
Position 1066: 0.004072928887870361
Position 1004: 0.00395377540128076
Position 308: 0.0036083925247190262
Position 304: 0.0034287198575495385
Position 536: 0.003273449015266178
Position 943: 0.003218452694319862
Position 3938: 0.0021449387118369443
Position 542: 0.002115487660311322
Position 696: 0.0009431719779436818
Position 1419: 0.0009280182103682536
Position 403: 0.0009073268935960038
Position 2389: 0.00074191931047428
Position 2670: 0.0003260570043444028
Position 2311: 0.0002047141076544832
Position 530: 1.0972237388336216e-05
Position 300: 7.128572810680507e-06
Position 107: 6.2363223252680015e-06
Position 260: 6.233738791972435e-06
Position 285: 6.086252505505519e-06
Position 264: 4.169421427437159e-06
Position 268: 3.8662541854650955e-06
Position 172: 3.1846269821804987e-06
Position 330: 2.860625857617311e-06
Position 345: 2.6781187749952243e-06
Position 1012: 2.4208163343948075e-06
Position 1016: 1.8407316533541177e-06
Position 550: 1.708553665250917e-06
Position 58: 1.4591188672303666e-06
Position 149: 1.2750492024035714e-06
Position 1014: 1.2127177321528988e-06
Position 355: 1.1818163204131505e-06
Position 1475: 1.1621412300188487e-06
Position 548: 1.1151517651970825e-06
Position 1018: 1.0952026224771011e-06
Position 256: 1.0592629784314366e-06
Position 276: 1.0340021330364323e-06
Position 324: 8.362588041577047e-07
Position 254: 6.782153466401515e-07
Position 302: 6.462890219548295e-07
Position 1020: 6.020354126965636e-07
Position 8: 5.835157016120336e-07
Position 318: 5.7263363632377e-07
Position 446: 5.114522027831893e-07
Position 1416: 4.924395005843421e-07
Position 272: 4.841844999762266e-07
Position 1436: 3.4044618060700284e-07
Position 1032: 3.253824810891706e-07
Position 1022: 2.8334769579216264e-07
Position 560: 2.1525232755763831e-07
Position 7225: 1.575518104524494e-07
Position 12547: 1.21915052857103e-07
Position 1186: 1.1111857952531797e-07
Position 12052: 9.994801102314941e-08
Position 292: 9.416028992267562e-08
Position 12114: 8.302819121215531e-08
Position 1002: 5.5697095322034065e-08
Position 6: 5.509139435015047e-08
Position 673: 2.8311465634842873e-08
Position 312: 1.1337727984126538e-08
Position 654: 9.64783407623029e-09
Position 10347: 6.271953345838399e-09
Position 248: 5.475893217246886e-09
Position 278: 3.515139716938791e-09
Position 258: 2.369580523705989e-09
Position 219: 8.973817806288507e-10
Position 7948: 1.8313813067565658e-10
Position 6143: 3.022802096842538e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 25530: 0.8056580889535837
Position 4447: 0.6590632759691198
Position 4871: 0.20285977347085052
Position 21146: 0.15069596650047898
Position 4749: 0.06241179296938601
Position 21530: 0.06098238882859719
Position 23526: 0.03881472815069048
Position 3744: 0.035714448415518706
Position 4520: 0.02048641132622585
Position 4831: 0.009280806298014033
Position 4488: 0.00891142579824758
Position 5207: 0.008037755766352971
Position 4467: 0.006803256371590398
Position 4666: 0.005551602448913511
Position 3995: 0.004334464374456256
Position 4717: 0.003473059796743196
Position 20733: 0.0027291253318257646
Position 5114: 0.002288022798385181
Position 403: 0.0018900301058022314
Position 4241: 0.001780600727047484
Position 460: 0.001410063167748593
Position 873: 0.0013652649665610154
Position 4592: 0.001276772607699956
Position 609: 0.0012414916407103747
