Gene = Sws1
index = 1535
Annotated 5SS: [177 777]
Annotated 3SS: [236 849]
SMsplice 5SS: [177 777]
SMsplice 3SS: [236 849]
top_k =  500
Partition function (log Z): -0.6181752077838393

Sorted 5' Splice Sites (High to Low Probability):
Position 777: 0.9839714844793531
Position 177: 0.9352887587516026
Position 413: 0.12750563356357134
Position 429: 0.02617316993904046
Position 980: 0.02025864469862803
Position 368: 0.01220690442368732
Position 361: 0.010687461402072397
Position 1108: 0.0035737128380802213
Position 758: 0.0017183882454437835
Position 1498: 0.0015520456577366123
Position 147: 0.0012757221794415323
Position 938: 0.0010346562100075104
Position 1333: 0.0006601394404113636
Position 365: 0.0005936243956071579
Position 1306: 0.00042931295098576626
Position 982: 0.000362307158934881
Position 956: 0.00034540455169503845
Position 427: 0.0003041355269162013
Position 1324: 0.00026704752655266884
Position 1050: 0.0002655080687094439
Position 1225: 0.0002430438840934997
Position 1201: 0.00023718223994231705
Position 359: 0.0002087869637769623
Position 391: 0.00019765416087372294
Position 18: 0.00016889920952823447
Position 1263: 0.00015745172303236726
Position 1192: 0.00015722224172857175
Position 972: 0.00013177413679984988
Position 999: 0.00012027592542970048
Position 1326: 0.00010192179692274584
Position 208: 0.00010178412170411522
Position 994: 8.492309321588286e-05
Position 1453: 7.391693149137054e-05
Position 119: 6.778281335385089e-05
Position 205: 6.67790666957299e-05
Position 1119: 5.222929910323967e-05
Position 1245: 4.6429473195073917e-05
Position 723: 4.447306022828551e-05
Position 958: 4.3517780585081514e-05
Position 951: 4.236208905733111e-05
Position 157: 3.365077648016769e-05
Position 1013: 2.7684388496039376e-05
Position 417: 2.482842804344352e-05
Position 1007: 1.9333724618097482e-05
Position 1257: 1.0051084229019883e-05
Position 76: 9.682432880315877e-06
Position 128: 4.995044689770442e-06
Position 82: 4.230742899419358e-06
Position 1005: 4.201728665315671e-06
Position 290: 3.652506372688646e-06
Position 1086: 3.6302706650956194e-06
Position 538: 2.989848707208456e-06
Position 1339: 2.87653502140449e-06
Position 806: 2.482625746600159e-06
Position 23: 1.4957098001306441e-06
Position 449: 1.4065883641567552e-06
Position 536: 1.3216409778463912e-06
Position 107: 2.674005541615024e-07
Position 878: 2.2464621001775816e-08
Position 681: 2.0026350264406293e-08
Position 906: 1.74658566403395e-08
Position 250: 1.411928917011954e-08
Position 64: 4.908892031925347e-09
Position 824: 3.6156511914130426e-09
Position 892: 2.734086547449397e-09
Position 656: 1.9893940144876725e-09
Position 714: 1.7719493589779444e-09
Position 859: 1.2047728601033394e-09
Position 433: 7.82359172005452e-10
Position 492: 6.339436241175677e-10
Position 442: 3.8818588869866165e-10
Position 457: 2.1430159908025756e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 849: 0.998182333781778
Position 236: 0.9180400523193581
Position 481: 0.11897086745242842
Position 1037: 0.020708493518964557
Position 442: 0.01512157404749715
Position 238: 0.011245854206940449
Position 492: 0.009923616120563004
Position 457: 0.00972651980348005
Position 512: 0.008226603385543516
Position 1383: 0.004684364697606836
Position 284: 0.003317101324652468
Position 589: 0.0020360954031889687
Position 1583: 0.0015499104686381297
Position 1296: 0.0014127479527930647
Position 346: 0.0013911444419915475
Position 417: 0.001145725446522701
Position 670: 0.0010440160938752756
Position 1167: 0.0010096592346458635
Position 1077: 0.0006259674910924824
Position 1055: 0.0005093566848090652
Position 250: 0.00034286818836380694
Position 616: 0.0002843466508769508
Position 640: 0.00021873952396373874
Position 553: 0.0001742789499740332
Position 427: 0.00016157127484010594
Position 514: 0.0001474956888361345
Position 371: 0.00012689635760519108
Position 625: 9.839557964802485e-05
Position 1506: 7.023546892575762e-05
Position 631: 7.004569789677929e-05
Position 1224: 6.033446521445834e-05
Position 208: 4.218333267881114e-05
Position 86: 3.445196383745167e-05
Position 1176: 3.0852214888950555e-05
Position 1599: 3.048472385236309e-05
Position 749: 2.7142065701981702e-05
Position 874: 2.650011334740541e-05
Position 1013: 2.3611762184831536e-05
Position 643: 2.0080792078768813e-05
Position 1587: 1.8599914038817897e-05
Position 433: 1.7419878439084847e-05
Position 963: 1.7321538421877808e-05
Position 900: 1.584975504173741e-05
Position 1320: 8.66089819089411e-06
Position 1306: 8.094909642436952e-06
Position 128: 7.488955960544767e-06
Position 1005: 5.2363778971261776e-06
Position 1245: 4.226974170965271e-06
Position 865: 2.7531666384398118e-06
Position 382: 2.5379538500575684e-06
Position 897: 2.3842598660570744e-06
Position 629: 1.5621094724083822e-06
Position 152: 1.538091406717348e-06
Position 199: 1.457754812540396e-06
Position 467: 1.0723221081430571e-06
Position 195: 1.0097519606456816e-06
Position 723: 4.492754067765427e-07
Position 155: 3.876974804412552e-07
Position 176: 2.9253726605963036e-07
Position 758: 2.1753840277850618e-07
Position 165: 2.1618912208020364e-07
Position 82: 3.891460146064811e-08
Position 147: 6.417210497635965e-09
Position 972: 3.821044279491343e-09
Position 157: 1.1179263480995074e-10
Position 391: 6.489922909071707e-12
Position 183: 4.277059998908619e-12
