Gene = Syx8
index = 1536
Annotated 5SS: [617]
Annotated 3SS: [669]
SMsplice 5SS: [617]
SMsplice 3SS: [669]
top_k =  500
Partition function (log Z): -5.782341066043063

Sorted 5' Splice Sites (High to Low Probability):
Position 617: 0.9430327861372299
Position 601: 0.04571593720849449
Position 621: 0.009261685647424025
Position 151: 0.002538506447967406
Position 544: 0.0012060068554106626
Position 375: 0.0011211466132761698
Position 195: 0.0007450691479080905
Position 265: 0.0005207493432793396
Position 797: 0.00034115447061331506
Position 747: 0.00011570606682772417
Position 449: 0.00011151586667728062
Position 14: 7.290243727646786e-05
Position 849: 6.694577590212527e-05
Position 386: 6.673059089271469e-05
Position 8: 4.303362958768815e-05
Position 114: 2.8559441195492028e-05
Position 852: 2.2397726138590228e-05
Position 268: 1.8526611014999036e-05
Position 819: 1.645863455295806e-05
Position 763: 1.0323384730889058e-05
Position 484: 6.6185780856970925e-06
Position 715: 5.405414924981554e-06
Position 35: 4.569476840765446e-06
Position 825: 3.86718943619101e-06
Position 886: 2.892810324082587e-06
Position 666: 2.8004007637239745e-06
Position 416: 1.5334441462928238e-06
Position 88: 9.831015588424752e-07
Position 783: 9.17182104887407e-07
Position 816: 7.08066523259371e-07
Position 879: 6.46582535887984e-07
Position 199: 6.27271687952452e-07
Position 801: 2.0888249199225816e-07
Position 703: 2.0424617790510002e-07
Position 813: 1.599453241804709e-07
Position 561: 1.0628606639589342e-07
Position 894: 9.652947940164896e-08
Position 717: 4.178995036856445e-08
Position 38: 2.851623521175163e-08
Position 400: 7.601745792563508e-09
Position 631: 3.3199843018405385e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 669: 0.9985313221344699
Position 429: 0.0028280373872498453
Position 746: 0.0012203804020934905
Position 215: 0.001068016962781076
Position 849: 0.0003249942571565543
Position 435: 0.00023638334494428855
Position 905: 0.00021098729695618367
Position 65: 0.00011069701433734968
Position 566: 8.994503968034154e-05
Position 354: 8.471782606235976e-05
Position 722: 6.105227304293059e-05
Position 830: 5.692277036709676e-05
Position 264: 5.592012167107351e-05
Position 792: 2.7317960120039004e-05
Position 501: 2.731320960496876e-05
Position 935: 2.4563188633738195e-05
Position 734: 1.921729411749931e-05
Position 938: 1.2577628495329468e-05
Position 528: 1.0540385164475117e-05
Position 341: 9.839838932754935e-06
Position 588: 7.923641740905647e-06
Position 507: 6.924685811217881e-06
Position 212: 5.827791465092903e-06
Position 763: 5.24404889337016e-06
Position 255: 5.0995408295472805e-06
Position 489: 4.922161432719188e-06
Position 455: 4.888580567552009e-06
Position 222: 4.395478994644843e-06
Position 165: 4.113205975041004e-06
Position 232: 3.824649995874607e-06
Position 553: 3.775278184699986e-06
Position 237: 3.3713297314626195e-06
Position 71: 2.508638131152796e-06
Position 448: 2.371409165357547e-06
Position 74: 2.2867440104160057e-06
Position 389: 1.924556481269479e-06
Position 570: 1.8030942442377008e-06
Position 525: 1.7562552259652823e-06
Position 386: 1.1754270693960616e-06
Position 171: 1.0705236635836611e-06
Position 631: 7.47353311538028e-07
Position 375: 4.316899114935971e-07
Position 498: 3.561161072663149e-07
Position 294: 3.15648089228811e-07
Position 246: 2.2761897137413207e-07
Position 174: 1.5282364933391157e-07
Position 312: 1.1864290558818988e-07
Position 513: 8.444476523025349e-08
Position 612: 7.196807523623889e-08
Position 195: 2.3746401022490457e-08
Position 144: 2.090895769387381e-08
Position 114: 1.8832711365321602e-08
Position 321: 1.682257622029527e-08
Position 234: 1.5155715160228195e-08
Position 363: 6.282306416965813e-09
Position 600: 3.915402907835318e-09
Position 120: 5.631909202143058e-12
Position 306: 2.4954764679884974e-12
Position 76: 5.689879687754041e-13
Position 185: 7.55658976039365e-14
Position 129: 1.609463396932434e-16
Position 191: 2.4260237592252472e-17
