Gene = Eaf6
index = 1146
Annotated 5SS: [214 495 749]
Annotated 3SS: [280 616 834]
SMsplice 5SS: [214 495 749]
SMsplice 3SS: [280 616 834]
top_k =  500
Partition function (log Z): 6.1309810631115225

Sorted 5' Splice Sites (High to Low Probability):
Position 749: 0.9983399567712213
Position 495: 0.9935501060335656
Position 214: 0.9658720902540427
Position 499: 0.0011608802274871892
Position 1033: 0.0010788080511903325
Position 565: 0.0007072811341559923
Position 1070: 0.00046853390355672866
Position 533: 0.00031271022871256143
Position 563: 0.00010068750055214358
Position 463: 9.762153129472767e-05
Position 433: 5.5716372097691146e-05
Position 597: 3.3969754207327464e-05
Position 967: 2.1196255038629597e-05
Position 83: 6.947981312047532e-06
Position 1031: 6.539719587037812e-06
Position 518: 5.739920637542912e-06
Position 898: 5.5257300148809025e-06
Position 520: 4.69113450395565e-06
Position 349: 2.9395209888606294e-06
Position 177: 2.9345982137008e-06
Position 531: 2.6186069794508013e-06
Position 346: 1.8706292690463678e-06
Position 988: 1.4082095763962534e-06
Position 867: 1.013936281313654e-06
Position 801: 1.0110752195496328e-06
Position 91: 6.084833510267487e-07
Position 454: 5.358730028155801e-07
Position 864: 4.570778666192476e-07
Position 10: 4.4537180834725446e-07
Position 123: 3.458112979117183e-07
Position 40: 2.2112384288460158e-07
Position 18: 2.0410865203343665e-07
Position 879: 1.4171788283331035e-07
Position 881: 1.582258375707556e-08
Position 583: 1.076373833441072e-08
Position 601: 8.615024749186552e-09
Position 265: 4.105411360755189e-09
Position 809: 3.5226304962629144e-15

Sorted 3' Splice Sites (High to Low Probability):
Position 834: 0.9991922321719873
Position 280: 0.9594498955218317
Position 616: 0.8697950149905427
Position 583: 0.09514086339179341
Position 561: 0.01450660294639061
Position 545: 0.010059845592415746
Position 655: 0.0037118836912397816
Position 307: 0.0030381264339697177
Position 558: 0.0017059730954253735
Position 1125: 0.0011587616512538069
Position 687: 0.0009750003448367582
Position 397: 0.0006186123044194814
Position 672: 0.0005240023005307036
Position 335: 0.00041122832639456256
Position 662: 0.00038341683797132544
Position 1102: 0.0003699475746814235
Position 346: 0.00019486583585081777
Position 796: 0.0001538322621072177
Position 898: 0.00013098675338848274
Position 1111: 7.818526303168e-05
Position 967: 6.312300068423123e-05
Position 862: 5.3745930453076174e-05
Position 301: 3.957832618351092e-05
Position 867: 2.5849868189825342e-05
Position 629: 2.2175459247593883e-05
Position 412: 1.2943177797053242e-05
Position 801: 8.476862814702268e-06
Position 151: 5.84345463522195e-06
Position 621: 3.7768341829062606e-06
Position 857: 3.0038984572942465e-06
Position 597: 1.2050742043599733e-06
Position 421: 1.174606921823588e-06
Position 944: 8.711015740272103e-07
Position 468: 8.642356046833575e-07
Position 463: 6.34308802672656e-07
Position 247: 4.5544501572684235e-07
Position 95: 3.7647579454241394e-07
Position 911: 3.55677217346235e-07
Position 1070: 3.116324315659749e-07
Position 726: 2.8749830329221444e-07
Position 433: 2.546309219092135e-07
Position 439: 1.9169105758982085e-07
Position 975: 1.7188975567109414e-07
Position 376: 1.1538806144658925e-07
Position 114: 9.541339017993764e-08
Position 322: 8.919211678408551e-08
Position 783: 8.469224588597475e-08
Position 1052: 8.415341417557206e-08
Position 739: 8.283843201325089e-08
Position 442: 4.308805724945075e-08
Position 337: 4.120999593990868e-08
Position 123: 3.293541581003684e-08
Position 747: 3.214955796417846e-08
Position 980: 2.4340265717088137e-08
Position 83: 2.3873656126235063e-08
Position 1001: 2.1414751020933424e-08
Position 946: 1.6912148171488077e-08
Position 137: 1.2239844011457757e-08
Position 368: 1.1093305195573641e-08
Position 448: 1.0707316469932735e-08
Position 1004: 9.065822511569277e-09
Position 120: 6.6457917559202005e-09
Position 985: 4.376834379179445e-09
Position 499: 3.860673729732574e-09
Position 177: 1.1306764931759421e-09
Position 52: 1.0552422512623513e-09
Position 71: 9.87509364967443e-10
Position 728: 5.887796382166892e-10
Position 195: 1.2075869464995594e-10
Position 198: 6.172715942366114e-11
Position 201: 4.807076645791636e-11
Position 218: 2.519766720110027e-20
