Gene = Rack1
index = 1405
Annotated 5SS: [255 546]
Annotated 3SS: [333 978]
SMsplice 5SS: [255 546]
SMsplice 3SS: [333 978]
top_k =  500
Partition function (log Z): 1.2748338366286627

Sorted 5' Splice Sites (High to Low Probability):
Position 255: 0.9951690327787579
Position 546: 0.48207880647506524
Position 782: 0.4178247092669938
Position 907: 0.3291831902377374
Position 891: 0.09492015011129225
Position 1116: 0.012738016271023216
Position 1186: 0.010123679929871829
Position 1596: 0.00351090482440475
Position 626: 0.0031006951678788567
Position 887: 0.00306347675586514
Position 1628: 0.002773776375714869
Position 1594: 0.0025619820024905017
Position 259: 0.002412747412254785
Position 786: 0.0022874764696615463
Position 631: 0.0020398349666993494
Position 729: 0.0014256154293065919
Position 1637: 0.001065715342193096
Position 494: 0.0006331131766660201
Position 643: 0.0005866252433334486
Position 1120: 0.00039780234268880013
Position 572: 0.00037720788325709025
Position 722: 0.00030381502146733266
Position 1646: 0.0003004094122711543
Position 1600: 0.00030021642986392675
Position 895: 0.00026763380837981955
Position 1209: 0.00023264187619748426
Position 867: 0.0002312141204154541
Position 1404: 0.00022762356395363443
Position 252: 0.0001909712013528264
Position 1289: 0.00016015941438752193
Position 1808: 0.00011897029531920198
Position 1077: 9.746886646258518e-05
Position 751: 6.738158988523682e-05
Position 1111: 5.9115357486394246e-05
Position 638: 4.085325620114324e-05
Position 1252: 3.970506455521446e-05
Position 432: 3.721777074202266e-05
Position 37: 3.404613401300118e-05
Position 523: 2.7626846597629405e-05
Position 171: 2.4950674989950923e-05
Position 1314: 1.7418445131455538e-05
Position 1814: 1.3846144150686146e-05
Position 435: 1.1094553188542038e-05
Position 606: 1.066409697869605e-05
Position 1480: 9.664040173850101e-06
Position 1180: 9.504955214607683e-06
Position 850: 5.44810273917447e-06
Position 299: 4.026893253916301e-06
Position 712: 3.0477162055353755e-06
Position 464: 1.8186211972344828e-06
Position 105: 1.7765554523659242e-06
Position 197: 1.748931807866616e-06
Position 400: 1.2178513582570412e-06
Position 123: 8.275333927307512e-07
Position 148: 7.639030337496545e-07
Position 292: 5.235832758054342e-07
Position 663: 5.072627610008707e-07
Position 825: 3.570451266754958e-07
Position 576: 1.5096388842030115e-07
Position 348: 1.223357104323708e-07
Position 1071: 7.47538560499062e-08
Position 1156: 5.4288539231769396e-08
Position 12: 4.2792827701713804e-08
Position 303: 2.43539013998797e-08
Position 955: 1.0389700529574559e-08
Position 107: 7.241140165363835e-09
Position 350: 4.923169275409974e-09
Position 7: 2.5511362590940687e-09
Position 1113: 2.648149924549984e-15
Position 1158: 2.2086239883868e-15
Position 1013: 2.1209947510720767e-15

Sorted 3' Splice Sites (High to Low Probability):
Position 333: 0.9906029039769196
Position 978: 0.9681860648287215
Position 825: 0.30659569863300273
Position 618: 0.028170464059095048
Position 948: 0.02111928044974026
Position 1288: 0.019521047970210113
Position 1705: 0.011622510672422488
Position 635: 0.008643898956409093
Position 1017: 0.0032869488693513973
Position 887: 0.002709969475143355
Position 1729: 0.0022422843909064047
Position 1185: 0.0019439352053503651
Position 630: 0.0017575746593951015
Position 395: 0.0012372911998427152
Position 703: 0.0004382549352305934
Position 398: 0.00042326097169955015
Position 647: 0.0003645470419556039
Position 338: 0.00031689444789346685
Position 1885: 0.0002961919516725947
Position 774: 0.0002602828731789713
Position 1759: 0.00023664780056521981
Position 427: 0.00018611838143692795
Position 1950: 0.00016294830857730856
Position 581: 0.00014898505737923951
Position 832: 0.00012854522357178469
Position 572: 8.395249080234169e-05
Position 789: 7.544983353777747e-05
Position 356: 7.075143559175933e-05
Position 1500: 5.457350820827734e-05
Position 1431: 3.640058696603018e-05
Position 1455: 2.633497598108721e-05
Position 1041: 2.4845964336243285e-05
Position 638: 1.983594622382332e-05
Position 1209: 1.8343511534599686e-05
Position 86: 1.6071388463911374e-05
Position 1933: 1.5042330011609165e-05
Position 1674: 1.2221532622116088e-05
Position 93: 9.077219071427036e-06
Position 126: 8.286344896508114e-06
Position 1743: 7.98031931563396e-06
Position 751: 7.749426021230408e-06
Position 1296: 7.547666915680827e-06
Position 1215: 6.529268464356003e-06
Position 1853: 5.105741045286019e-06
Position 1947: 4.411614237777068e-06
Position 699: 3.629017514028097e-06
Position 895: 3.5761816180211133e-06
Position 223: 3.555744402171555e-06
Position 786: 2.5421241996110974e-06
Position 482: 1.4534755935916873e-06
Position 642: 9.968426074203905e-07
Position 205: 8.903356392078163e-07
Position 295: 8.115028401734636e-07
Position 145: 4.796509720104438e-07
Position 154: 2.1381511326206125e-07
Position 545: 4.545153993833507e-08
Position 1089: 2.9252608016279108e-08
Position 515: 1.772813555087533e-08
Position 907: 1.3217972137792048e-08
Position 371: 8.249103195496362e-09
Position 555: 3.506918140238918e-09
Position 590: 2.4289620153741775e-09
Position 533: 1.1111102266004706e-11
Position 259: 1.0587998858559431e-11
Position 49: 4.6594158712388675e-12
Position 53: 6.097135751790438e-16
