Gene = mRpS35
index = 1781
Annotated 5SS: [232]
Annotated 3SS: [294]
SMsplice 5SS: [232]
SMsplice 3SS: [294]
top_k =  500
Partition function (log Z): -8.803590046125937

Sorted 5' Splice Sites (High to Low Probability):
Position 232: 0.9926054414541794
Position 42: 0.007892565003396012
Position 21: 0.007216519193109342
Position 792: 0.0013327054157999537
Position 84: 0.0010932730435919149
Position 36: 0.001034951436417554
Position 351: 0.0003404725551897926
Position 178: 0.0002841751943325437
Position 396: 0.00025020636371827213
Position 73: 0.00020310222214252045
Position 433: 0.00011900254995814781
Position 244: 7.391997297447967e-05
Position 688: 2.3347683755302488e-05
Position 509: 2.2943648546362624e-05
Position 25: 1.6753011535541464e-05
Position 663: 1.4939105050302288e-05
Position 619: 1.2377626569727882e-05
Position 755: 6.717061030793628e-06
Position 976: 5.6563246797163195e-06
Position 990: 4.962666282300155e-06
Position 638: 2.338694875411617e-06
Position 184: 2.0737298341576385e-06
Position 121: 1.2238716941559335e-07
Position 137: 7.360182211488409e-08
Position 261: 2.020738783777276e-09
Position 503: 1.8913497616735533e-09
Position 116: 1.1589125362855362e-09
Position 451: 7.262431977040356e-10
Position 186: 5.752568309859295e-10
Position 571: 4.457315399219208e-10
Position 453: 4.1727915999765237e-10
Position 321: 2.6598468841421585e-11
Position 355: 8.739133845238415e-12
Position 417: 2.8256557153718334e-14
Position 303: 2.2135780118704962e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 294: 0.9051376874955152
Position 310: 0.05256560698556055
Position 303: 0.028021677814028683
Position 121: 0.013401783214625687
Position 854: 0.0020939966372794496
Position 329: 0.001605630430222061
Position 164: 0.001446859930263509
Position 451: 0.0014436863927301082
Position 740: 0.0011649780353147829
Position 332: 0.0010036663387173509
Position 83: 0.0008099567831559873
Position 755: 0.0005442186869158163
Position 772: 0.00036814531529180325
Position 200: 0.00036265586931616325
Position 73: 0.0003266837287548561
Position 703: 0.0002771491932441281
Position 575: 0.0002457473244793041
Position 92: 0.00022682864021433211
Position 350: 0.0002237139081715587
Position 473: 0.00018386256075537532
Position 326: 0.00012013997190789078
Position 617: 9.799135049403055e-05
Position 983: 9.051247248905964e-05
Position 495: 8.753794217823307e-05
Position 1051: 7.964904938037582e-05
Position 522: 7.26111601809237e-05
Position 860: 6.0030615384846304e-05
Position 143: 4.747004614500408e-05
Position 662: 4.727690971115898e-05
Position 686: 4.71132403395645e-05
Position 596: 4.2449487777339156e-05
Position 857: 3.923200283889633e-05
Position 812: 3.8296199219944565e-05
Position 426: 3.76012394108993e-05
Position 675: 3.3736088851833975e-05
Position 338: 2.5562905595533943e-05
Position 989: 1.8597811027377667e-05
Position 923: 1.7136847418169538e-05
Position 524: 1.1136057794664899e-05
Position 206: 1.0816165672418454e-05
Position 718: 9.832985000237626e-06
Position 1157: 9.639775820105465e-06
Position 630: 8.396628718092485e-06
Position 1124: 7.682517306202955e-06
Position 341: 6.289477146191869e-06
Position 688: 5.341101852963083e-06
Position 404: 4.867636791567454e-06
Position 1187: 4.62269706846861e-06
Position 1055: 3.464418874538379e-06
Position 959: 3.085603274612119e-06
Position 593: 2.667462991605157e-06
Position 347: 2.1895775068562204e-06
Position 632: 2.178551856788168e-06
Position 1025: 2.0251907474703935e-06
Position 1092: 1.9393063275903354e-06
Position 498: 1.6215768950912754e-06
Position 244: 1.46873866202291e-06
Position 1169: 8.068966760890564e-07
Position 1194: 4.54666163213631e-07
Position 203: 3.524037252404637e-07
Position 175: 2.871158863977692e-07
Position 213: 2.5168483271036525e-11
Position 231: 1.3923803603323552e-11
Position 221: 1.0133907614900204e-13
