Gene = Thor
index = 1559
Annotated 5SS: [327]
Annotated 3SS: [750]
SMsplice 5SS: [327]
SMsplice 3SS: [750]
top_k =  500
Partition function (log Z): -4.042724344989582

Sorted 5' Splice Sites (High to Low Probability):
Position 327: 0.9970175611946241
Position 95: 0.05352930276958563
Position 89: 0.015005082972843857
Position 619: 0.007658996238054369
Position 26: 0.004664825860547988
Position 956: 0.004561892624640234
Position 672: 0.0034535483359290553
Position 126: 0.0022967086441620832
Position 875: 0.0011652591424006116
Position 963: 0.0006941815373002296
Position 128: 0.0006922176204267181
Position 93: 0.000559745142559883
Position 633: 0.00040683738748517373
Position 583: 0.00039852086896591114
Position 245: 0.0002932211356607726
Position 651: 0.0002591575399973436
Position 387: 0.0002445243867681097
Position 460: 0.00024319422440772476
Position 363: 0.0002127601051766507
Position 150: 0.0002053240146243572
Position 392: 0.00016829989677332754
Position 278: 0.0001634130294358017
Position 579: 0.00012860173641072528
Position 331: 8.806854829182115e-05
Position 972: 7.919012885828444e-05
Position 528: 4.617750795909535e-05
Position 1007: 4.246560081888486e-05
Position 1049: 4.044477126471916e-05
Position 280: 2.4226288011866626e-05
Position 1091: 2.2226145238266187e-05
Position 509: 2.0128691061586137e-05
Position 1104: 1.755412952694872e-05
Position 373: 1.6327884059014225e-05
Position 623: 1.2879370394881207e-05
Position 941: 1.189327666139902e-05
Position 467: 1.0636632020667148e-05
Position 138: 9.626690162114854e-06
Position 184: 6.394865190729026e-06
Position 1071: 6.00494196770008e-06
Position 970: 5.3556677343571865e-06
Position 611: 4.727605458280007e-06
Position 914: 4.6970214081654745e-06
Position 503: 3.6083070299161007e-06
Position 1078: 2.7189759104314585e-06
Position 1047: 2.1761542985067167e-06
Position 587: 2.062539149481393e-06
Position 859: 1.9255566754463913e-06
Position 110: 1.730178863775336e-06
Position 512: 1.6397469272591229e-06
Position 204: 3.6828547492282547e-07
Position 1095: 3.1211644246524807e-07
Position 835: 2.6514068453286853e-07
Position 828: 5.16368577022574e-10
Position 248: 1.1010442131725331e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 750: 0.9722061673747399
Position 176: 0.07219554632525385
Position 410: 0.0254287993639718
Position 619: 0.006441765575966056
Position 1137: 0.003873108256530245
Position 707: 0.003112434547773716
Position 1165: 0.0020980492626051137
Position 209: 0.001530065151454526
Position 143: 0.001320946120510799
Position 1014: 0.0010662274015904127
Position 181: 0.0006628299668495405
Position 497: 0.0006355874764732553
Position 1063: 0.0005491828298912212
Position 423: 0.00035310674584053685
Position 1007: 0.0002787970079729928
Position 460: 0.0002781644467593672
Position 240: 0.000264008767345247
Position 89: 0.0002614232204955182
Position 220: 0.0002491206216931066
Position 387: 0.00022136548448086055
Position 785: 0.00021059473371241728
Position 835: 0.00018751442953240415
Position 1042: 0.0001649892687908408
Position 268: 0.00016136432020565387
Position 631: 0.0001355216759187994
Position 875: 8.88337751863305e-05
Position 1047: 8.556564039702355e-05
Position 116: 7.109844605307988e-05
Position 373: 6.097563880238673e-05
Position 150: 5.949501041479122e-05
Position 1078: 5.7330091496025385e-05
Position 959: 2.9583545490441965e-05
Position 935: 2.808690748643954e-05
Position 908: 2.302534627205272e-05
Position 587: 2.243394843787129e-05
Position 660: 2.0578000012570008e-05
Position 636: 1.5620264758247945e-05
Position 583: 1.0690394190957642e-05
Position 672: 7.59250233485931e-06
Position 770: 5.968214715188927e-06
Position 941: 5.798291754845705e-06
Position 244: 5.342171190239254e-06
Position 987: 5.039454868010514e-06
Position 509: 4.98422897958423e-06
Position 905: 3.275570172963893e-06
Position 1145: 3.2629346100894697e-06
Position 605: 2.7756010597914835e-06
Position 923: 2.5974620542908007e-06
Position 1071: 1.018161625919185e-06
Position 594: 9.026245129792769e-07
Position 126: 3.9884201772160574e-07
Position 277: 5.593028698600007e-08
Position 808: 2.9550127308874073e-10
Position 326: 1.0742076991523386e-11
Position 347: 8.626985519851373e-12
Position 331: 3.3798042574421543e-12
Position 392: 4.846535003462411e-15
