Gene = Cpr65Av
index = 1099
Annotated 5SS: [259]
Annotated 3SS: [368]
SMsplice 5SS: [259]
SMsplice 3SS: [368]
top_k =  500
Partition function (log Z): -2.364790652657678

Sorted 5' Splice Sites (High to Low Probability):
Position 259: 0.9982891415989592
Position 14: 0.014442181146132783
Position 559: 0.005434327542390165
Position 577: 0.005309780790995696
Position 608: 0.004628940348629746
Position 310: 0.0015489500816806428
Position 28: 0.0009192754901951086
Position 630: 0.0007995218681050699
Position 593: 0.00036757811265405326
Position 574: 0.00027452509863830734
Position 521: 0.0002135150294210525
Position 622: 0.0001540767933707162
Position 118: 0.00015136328737968367
Position 640: 0.00010035547374541789
Position 581: 7.857798303820762e-05
Position 45: 7.298973822391352e-05
Position 469: 6.165208108756006e-05
Position 263: 4.6053642551627284e-05
Position 412: 4.3188503564694724e-05
Position 448: 4.1807624460533455e-05
Position 425: 2.648548317110119e-05
Position 84: 2.6471504224264597e-05
Position 572: 2.092804771230347e-05
Position 460: 1.9252357221745814e-05
Position 308: 1.761919259727647e-05
Position 446: 1.3113657207711085e-05
Position 18: 1.1817100201040057e-05
Position 455: 4.381854657160653e-06
Position 677: 2.733621488212206e-06
Position 132: 3.446615099036695e-07
Position 134: 5.1844389695222644e-09
Position 349: 4.0937428310057e-10
Position 380: 1.9614439140553599e-10
Position 388: 4.2653982931280615e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 368: 0.9930095977771998
Position 677: 0.006530555668697027
Position 698: 0.005771718435779697
Position 118: 0.00461824560429959
Position 174: 0.0037612951599487856
Position 333: 0.003685536540832188
Position 66: 0.0035076865667492884
Position 620: 0.002998896627563905
Position 744: 0.002377331765447997
Position 94: 0.002123602372641205
Position 330: 0.001684097524461818
Position 70: 0.0012109829422091087
Position 399: 0.0004673699646938056
Position 347: 0.0004339193231203573
Position 577: 0.00022319581512018934
Position 126: 0.0001964188860568123
Position 84: 0.0001291687293929851
Position 438: 0.00010525122636013808
Position 375: 8.062459093378736e-05
Position 630: 5.09546582507079e-05
Position 464: 4.115417408794839e-05
Position 405: 3.798697127919084e-05
Position 402: 2.3041053478037823e-05
Position 380: 1.7269576637850554e-05
Position 581: 1.1436692456055881e-05
Position 435: 7.369687605356877e-06
Position 216: 7.19705016110125e-06
Position 486: 4.087885752155624e-06
Position 349: 2.2339663213791068e-06
Position 528: 7.49875046337758e-07
Position 534: 6.496510323087552e-07
Position 411: 5.690294166360401e-07
Position 559: 4.3928817388328564e-07
Position 593: 3.19469832725813e-07
Position 266: 6.335957924889208e-10
Position 294: 3.6159770403830724e-10
Position 270: 8.630581260501022e-13
Position 263: 5.251817443287445e-13
Position 388: 2.0436556317598935e-13
