Gene = mio
index = 1791
Annotated 5SS: [ 255  482  792 1815 2427 2969]
Annotated 3SS: [ 307  539  883 1870 2486 3029]
SMsplice 5SS: [ 255  792 1815 2427 2969]
SMsplice 3SS: [ 307  883 1870 2486 3029]
top_k =  500
Partition function (log Z): 6.547197166871038

Sorted 5' Splice Sites (High to Low Probability):
Position 1815: 0.9975474874599995
Position 2969: 0.9875049390825832
Position 255: 0.9560261190688835
Position 2427: 0.946933206991902
Position 792: 0.9415747742876908
Position 482: 0.44934495617387177
Position 990: 0.0823662969703992
Position 979: 0.03791311940287755
Position 814: 0.01774363991228711
Position 2594: 0.013634710593155993
Position 1171: 0.013424702145828018
Position 477: 0.010028746781757877
Position 830: 0.009776434714511641
Position 224: 0.003865706735165813
Position 833: 0.002437851587202984
Position 796: 0.001827804883447883
Position 412: 0.0016178590462091215
Position 29: 0.001392416574094316
Position 260: 0.0009065579824671236
Position 743: 0.0006828838742710718
Position 1227: 0.000446612772743856
Position 3: 0.00042787542413093044
Position 486: 0.00028657067350090803
Position 937: 0.0002536228344574847
Position 3259: 0.00022304970970512105
Position 191: 0.00022182884992797135
Position 1626: 0.00022059502334315426
Position 433: 0.0002152756457060044
Position 2693: 0.0001876221323447346
Position 2433: 0.00018631209177883017
Position 2063: 0.0001720673762557932
Position 2963: 0.00016813702839787618
Position 1949: 0.00016642943736324098
Position 778: 0.0001233161148811299
Position 887: 0.0001187849647340493
Position 3236: 0.00011308911270441495
Position 2829: 0.00011286174630544511
Position 92: 9.420551472844162e-05
Position 1221: 8.365666300819091e-05
Position 1964: 8.13573601989413e-05
Position 1762: 8.009836829161597e-05
Position 1136: 6.374915730934749e-05
Position 7: 5.6503666285511956e-05
Position 2960: 5.289591649681859e-05
Position 922: 4.316236124491981e-05
Position 2030: 4.105559542741739e-05
Position 3270: 3.7018910038968353e-05
Position 3268: 3.013214143311936e-05
Position 1231: 2.9193317704910523e-05
Position 3204: 2.8942394172763628e-05
Position 2421: 2.7902122196448677e-05
Position 1214: 2.4736791559722426e-05
Position 1013: 2.4697035975043444e-05
Position 2335: 2.4478386453029762e-05
Position 32: 2.410032157162678e-05
Position 392: 2.061170948273542e-05
Position 88: 2.026369834429023e-05
Position 970: 2.0056782125494296e-05
Position 348: 1.6635093302604072e-05
Position 416: 1.6393957993707942e-05
Position 5: 1.3362085795714322e-05
Position 2980: 1.307467047632556e-05
Position 2113: 1.2767629169968056e-05
Position 37: 1.24365218988786e-05
Position 2490: 1.1639894848163234e-05
Position 2549: 9.583336560940871e-06
Position 2903: 9.028634911746158e-06
Position 3182: 8.185183881439794e-06
Position 660: 7.645372357776056e-06
Position 695: 7.116364404952179e-06
Position 522: 4.724782128913952e-06
Position 39: 4.557495146698613e-06
Position 50: 4.515374838154619e-06
Position 1819: 4.495184664293623e-06
Position 2973: 4.25662253581625e-06
Position 308: 3.940826498917136e-06
Position 3253: 3.449296321623366e-06
Position 1487: 3.4475069290906817e-06
Position 3123: 3.113486348590873e-06
Position 2917: 2.984428657047672e-06
Position 2664: 2.8762159407071907e-06
Position 536: 2.7051646053504702e-06
Position 3227: 2.5500072395485837e-06
Position 703: 2.3665510157497845e-06
Position 166: 2.3194824659011975e-06
Position 1639: 1.6439441842219436e-06
Position 1873: 1.5227020487269e-06
Position 95: 1.4924823990082458e-06
Position 1556: 1.456228874624444e-06
Position 3185: 1.3853934413587105e-06
Position 1490: 1.3617167054721092e-06
Position 3229: 1.1051968947443924e-06
Position 104: 9.472020245439887e-07
Position 328: 7.052065968706446e-07
Position 56: 5.810227710530576e-07
Position 3193: 4.3645573258082395e-07
Position 546: 3.384459975063285e-07
Position 665: 1.7732597862143762e-07
Position 899: 6.222925261124622e-08
Position 559: 4.874473006905764e-08
Position 373: 2.4617745555647384e-08
Position 1064: 1.6118271636378198e-10
Position 1543: 5.142902216380868e-13
Position 2452: 2.2976980682182286e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 1870: 0.9964231330527084
Position 3029: 0.9855941182703698
Position 307: 0.959111382353127
Position 2486: 0.8427255067897447
Position 883: 0.8315343623372484
Position 539: 0.44157630733284614
Position 1053: 0.25354398260431416
Position 2653: 0.10467688555045361
Position 965: 0.01345246376190492
Position 2584: 0.007364806084476764
Position 1371: 0.0070682821707103195
Position 1285: 0.006910945277181098
Position 1667: 0.0053467733322914825
Position 553: 0.0035206770520530973
Position 412: 0.0024827303663125127
Position 2523: 0.002329987329357345
Position 1073: 0.002160252553314621
Position 3329: 0.0014813403380910227
Position 3040: 0.0013479430659759483
Position 2693: 0.0010308508138543637
Position 922: 0.0009504418016195666
Position 905: 0.0008699267082559123
Position 2755: 0.0007843489884480664
Position 88: 0.0007022004054227408
Position 918: 0.0006751631354524054
Position 1692: 0.0006419064079955893
Position 2563: 0.0006033077384670071
Position 1318: 0.0005733816948604838
Position 550: 0.000560632169636709
Position 2250: 0.0004761227652083133
Position 2773: 0.0003812628810262058
Position 2092: 0.0003735153643470765
Position 2493: 0.00034973626071412766
Position 2540: 0.0003422263223667141
Position 2885: 0.0003015216062699658
Position 1340: 0.0002357988965403759
Position 1182: 0.00023163028421902524
Position 1202: 0.0002315388471416514
Position 2312: 0.00022313132383557292
Position 2103: 0.00020535118282335253
Position 1761: 0.0001397443092176806
Position 95: 0.00012582594869192792
Position 1022: 0.00011046314798331144
Position 2549: 0.00010598792105220251
Position 522: 8.960361835884112e-05
Position 1026: 8.78007061512207e-05
Position 2220: 8.686451086586808e-05
Position 2173: 8.671877470873444e-05
Position 509: 8.594723339852693e-05
Position 1880: 7.865747316939309e-05
Position 676: 7.555903820095294e-05
Position 927: 5.819839637100782e-05
Position 392: 5.260014397879855e-05
Position 3120: 5.200815114624563e-05
Position 470: 4.944850003047342e-05
Position 3182: 4.724410474404316e-05
Position 1941: 4.485289846875237e-05
Position 2603: 3.8505551589734396e-05
Position 2746: 3.464737228438097e-05
