Gene = pim
index = 1837
Annotated 5SS: [150 537]
Annotated 3SS: [212 599]
SMsplice 5SS: [150 537]
SMsplice 3SS: [212 599]
top_k =  500
Partition function (log Z): 1.4388880838511464

Sorted 5' Splice Sites (High to Low Probability):
Position 150: 0.9935710837331231
Position 537: 0.9927875265382158
Position 418: 0.07647158810592931
Position 273: 0.012719030108523518
Position 413: 0.011307076781418351
Position 888: 0.001939496674527748
Position 164: 0.0018507014725074368
Position 824: 0.0015324957465261719
Position 345: 0.001064925628348123
Position 541: 0.0006288832561866018
Position 287: 0.00045177356718698503
Position 392: 0.0002905452914047956
Position 865: 0.0002260712296869958
Position 254: 0.00014849809479447687
Position 961: 0.00013675897865796503
Position 516: 9.341921093086375e-05
Position 850: 4.8390737059097684e-05
Position 181: 3.7004739467623703e-05
Position 389: 2.2545634892867438e-05
Position 896: 1.7268272920418962e-05
Position 868: 1.6578548902613015e-05
Position 154: 1.3079221133294272e-05
Position 14: 1.1017613798819969e-05
Position 842: 9.913887165902968e-06
Position 185: 8.416934727645419e-06
Position 348: 8.287582648931193e-06
Position 616: 4.281570878597202e-06
Position 452: 4.15979508556789e-06
Position 984: 8.206475942180604e-07
Position 175: 6.681954418662042e-07
Position 239: 6.007050053309187e-07
Position 484: 5.202905565784455e-07
Position 476: 5.190675776972949e-07
Position 473: 3.9720165607737626e-07
Position 316: 2.0361473573103502e-07
Position 23: 1.0653367460361463e-07
Position 212: 4.910433760367654e-08
Position 179: 3.683124339232944e-08
Position 576: 8.830319452007482e-10
Position 602: 1.7313181274174778e-10
Position 588: 5.568792456781302e-11
Position 585: 1.3209298642236659e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 212: 0.994234935845286
Position 599: 0.992122918786676
Position 471: 0.08712779451041888
Position 324: 0.007809461645272925
Position 343: 0.0048529705415367805
Position 952: 0.0020145982732291856
Position 883: 0.0018056295075065132
Position 608: 0.0012070836677803623
Position 585: 0.0011010515485977148
Position 262: 0.0006972947182286993
Position 348: 0.0004137587029457266
Position 399: 0.00032959960148434174
Position 699: 0.00021147060788778647
Position 218: 0.00019185833157160957
Position 1019: 0.00013180222394985934
Position 1022: 0.00012735405320300804
Position 887: 0.00012237576819614058
Position 716: 0.00011346082834359666
Position 373: 9.283050243726882e-05
Position 1051: 7.926435258616577e-05
Position 196: 6.90910440370013e-05
Position 932: 6.830884713669193e-05
Position 432: 6.683178853284165e-05
Position 868: 6.503068207132191e-05
Position 749: 6.417227733159231e-05
Position 1028: 6.381146388549613e-05
Position 396: 5.177378438261532e-05
Position 961: 4.3580784500135534e-05
Position 835: 4.248150585449731e-05
Position 531: 3.711273627733286e-05
Position 511: 1.5223614629553732e-05
Position 629: 1.1152739951600446e-05
Position 523: 9.051116071937344e-06
Position 1041: 7.957156492317708e-06
Position 473: 4.686293298081733e-06
Position 417: 3.7287928303501992e-06
Position 358: 2.5425902811142955e-06
Position 641: 2.4468721670252363e-06
Position 1086: 2.0381400073415677e-06
Position 65: 1.4937256944731126e-06
Position 610: 1.3991858177528209e-06
Position 239: 7.097527415065318e-07
Position 934: 6.683911217653547e-07
Position 850: 5.339076793461259e-07
Position 118: 5.286291126611247e-07
Position 815: 3.820535734854729e-07
Position 767: 2.4710928684928547e-07
Position 535: 1.8905522369696238e-07
Position 163: 2.097087663532431e-08
Position 413: 1.4851366400742328e-08
Position 409: 9.866895673780547e-09
Position 185: 5.264357388110027e-09
Position 130: 3.2466662989508744e-09
Position 154: 1.6245869836822057e-11
