Gene = GramD1B
index = 1200
Annotated 5SS: [ 2467  5469  6128  7946  9546  9863 10066 10374 10957 12377]
Annotated 3SS: [ 5177  5652  7695  8431  9609  9934 10176 10653 11928 12443]
SMsplice 5SS: [  594  5469  6128  7946  9546  9863 10066 10374 12377 12565 13352]
SMsplice 3SS: [ 5177  5652  7698  8431  9609  9934 10176 11928 12443 13201 13526]
top_k =  500
Partition function (log Z): 21.779430938520083

Sorted 5' Splice Sites (High to Low Probability):
Position 12377: 0.9998472377608957
Position 9546: 0.9945886088793584
Position 10066: 0.9903509810107742
Position 9863: 0.9885206551229627
Position 6128: 0.9801361523584173
Position 10374: 0.9674722059930879
Position 594: 0.9657599337597194
Position 5469: 0.9246631665742665
Position 7946: 0.9077016620566294
Position 12565: 0.8270100855370247
Position 13352: 0.6488605878557057
Position 10930: 0.32026834129992393
Position 10957: 0.3107468510048392
Position 1187: 0.28121584264190685
Position 1379: 0.06549610040001219
Position 8086: 0.06487335572687972
Position 12242: 0.06302805877490934
Position 13795: 0.059200831143245175
Position 8039: 0.0585359020792485
Position 6519: 0.04973781215474363
Position 8536: 0.04184312053441658
Position 11661: 0.0371406613525535
Position 7942: 0.03474652832410669
Position 5522: 0.031020955873322677
Position 5473: 0.030438379398999304
Position 3155: 0.027235415429737304
Position 11012: 0.021426828035657087
Position 12181: 0.01874529680733991
Position 12725: 0.017102982852557853
Position 10705: 0.016669436201931953
Position 13091: 0.01612314294510111
Position 12245: 0.016101173267349604
Position 10828: 0.015070579368572878
Position 9331: 0.014467681065309415
Position 964: 0.013762522912862805
Position 12249: 0.0136199777828473
Position 4836: 0.013369000922498306
Position 13356: 0.011455640032431146
Position 8354: 0.01122739294207332
Position 1273: 0.010941877791934142
Position 7615: 0.01060696948674447
Position 11402: 0.010391806894033958
Position 12670: 0.009844679286344232
Position 14173: 0.009194793349220336
Position 708: 0.008686214167441727
Position 2778: 0.008274455048158274
Position 948: 0.008122526421234677
Position 12239: 0.007992222208949134
Position 13124: 0.007605255621238073
Position 8631: 0.007482069238976239
Position 211: 0.0073479469272735186
Position 102: 0.006662322775490494
Position 1191: 0.0060316252463486425
Position 755: 0.004558664962634188
Position 11037: 0.004451807356817206
Position 6269: 0.004133766754333117
Position 12532: 0.004001311770196612
Position 14053: 0.003582087834621628
Position 10968: 0.003039908666057236
Position 8478: 0.002660059468332202
Position 2467: 0.002540176825354147
Position 5814: 0.0024191163319442262
Position 5841: 0.0021460710047040837
Position 10117: 0.0017782208210185236
Position 3681: 0.0017610913730550328
Position 1277: 0.0017198435962745694
Position 7093: 0.0017068844596047988
Position 7966: 0.001497758081713475
Position 3306: 0.0014451465322203498
Position 1599: 0.0014103773613929707
Position 6523: 0.0013465872917990142
Position 459: 0.0012834372257643793
Position 491: 0.0011474218577753816
Position 9869: 0.0010882555842889438
Position 10493: 0.001079851772488908
Position 724: 0.0010654061802485553
Position 9659: 0.0009761603943024978
