Gene = CycJ
index = 1114
Annotated 5SS: [195 445 945]
Annotated 3SS: [257 521 997]
SMsplice 5SS: [195 945]
SMsplice 3SS: [ 257 1004]
top_k =  500
Partition function (log Z): -5.6028748853411585

Sorted 5' Splice Sites (High to Low Probability):
Position 945: 0.9011324723543775
Position 195: 0.8799718481913978
Position 445: 0.29049155812917027
Position 503: 0.01865083067148098
Position 1297: 0.00932521349605461
Position 1063: 0.006551204230749082
Position 207: 0.004629035178600819
Position 1134: 0.0027733538721314826
Position 454: 0.0022642945343233243
Position 969: 0.0016772181999922787
Position 940: 0.0015791778476435276
Position 1096: 0.0013457023403491849
Position 1083: 0.0013285917083996855
Position 1190: 0.0011492542374975333
Position 1126: 0.0007054590018750857
Position 1089: 0.00039677659174309143
Position 694: 0.0003715036859570722
Position 1273: 0.00030320343316490357
Position 189: 0.00023703929681213193
Position 6: 0.00022637694585004084
Position 835: 0.00021767787111685174
Position 747: 0.00015325093092571587
Position 489: 0.0001430845624757385
Position 545: 0.00013853310405552378
Position 1072: 0.00013239841710731726
Position 721: 9.94693620067818e-05
Position 430: 8.78054557522655e-05
Position 949: 5.5402285920012285e-05
Position 1288: 5.128379827626212e-05
Position 1464: 4.70036269126556e-05
Position 510: 3.8130277179207506e-05
Position 584: 3.722278586623111e-05
Position 1448: 3.1756204875471106e-05
Position 37: 2.9585799796342285e-05
Position 78: 2.5107276761918666e-05
Position 239: 2.421309782365105e-05
Position 524: 2.356273472643487e-05
Position 21: 2.2378414018153696e-05
Position 1276: 2.0705512414636627e-05
Position 1144: 1.9693568214147408e-05
Position 762: 1.7740861661832627e-05
Position 704: 1.4117791130890393e-05
Position 389: 1.2058693324037988e-05
Position 1441: 1.0156903791373978e-05
Position 668: 6.440180946186882e-06
Position 60: 6.207706466716051e-06
Position 334: 6.093619079451805e-06
Position 254: 5.39878752572875e-06
Position 564: 5.221615356181553e-06
Position 862: 5.139581302504162e-06
Position 767: 4.146979668058861e-06
Position 344: 3.503079899398126e-06
Position 150: 3.3982447194492494e-06
Position 123: 3.1161362621038333e-06
Position 424: 1.915289847204053e-06
Position 147: 1.7153974047728418e-06
Position 634: 1.5363124478158924e-06
Position 55: 7.572339455651417e-07
Position 597: 3.76576849779139e-07
Position 910: 2.2089731077283562e-07
Position 1054: 6.027287853723233e-08
Position 826: 1.1479924558203869e-08
Position 1217: 5.497770288014611e-09
Position 1321: 2.49325565135025e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 257: 0.86690665673235
Position 1004: 0.5249906931620653
Position 997: 0.36293527941162773
Position 608: 0.16130307764894722
Position 521: 0.07387510271272935
Position 811: 0.03913442623081925
Position 1179: 0.029091641874980975
Position 651: 0.0206720296389387
Position 1369: 0.011711851188881045
Position 786: 0.009161882746441875
Position 762: 0.006336138718629886
Position 362: 0.005742578560744382
Position 1326: 0.004741648471552857
Position 1054: 0.002789957723843573
Position 1206: 0.002298590616358812
Position 616: 0.0021323956947840355
Position 1332: 0.00037302243873550033
Position 1215: 0.0003557750426944719
Position 316: 0.00031336784687268797
Position 910: 0.00023083556535158508
Position 269: 0.00021285152669354795
Position 1062: 0.00020262445722536287
Position 87: 0.00016940511661346877
Position 968: 0.0001275856924241315
Position 673: 0.00011637386791789591
Position 700: 9.998403849058703e-05
Position 1541: 9.593158894510444e-05
Position 60: 8.677014603380885e-05
Position 945: 6.933040167082445e-05
Position 1222: 5.572567845082143e-05
Position 1371: 5.4938035007737074e-05
Position 859: 4.293203140424139e-05
Position 1511: 4.191310866684506e-05
Position 1193: 4.111873773512355e-05
Position 324: 3.106515903888385e-05
Position 119: 2.0222442238049495e-05
Position 868: 1.9615161002756718e-05
Position 715: 6.048350383390203e-06
Position 887: 3.8950979678870655e-06
Position 475: 3.4544893314168538e-06
Position 739: 3.100437837504593e-06
Position 409: 2.8296937794148905e-06
Position 879: 2.2438430116955405e-06
Position 116: 2.0883293945155247e-06
Position 841: 1.79641420342747e-06
Position 459: 1.785196156356359e-06
Position 711: 1.7373109884379035e-06
Position 424: 1.4680263178557894e-06
Position 137: 1.0109654864195296e-06
Position 823: 3.5495506942345e-07
Position 331: 2.3003002709719184e-07
Position 186: 1.3605445186326848e-07
Position 320: 6.955423407139216e-08
Position 379: 5.584603821461041e-08
Position 389: 3.978760053382657e-08
Position 167: 1.691919039278591e-08
Position 183: 7.245258569516379e-09
Position 419: 6.963148359864042e-09
Position 371: 3.0823379537350494e-09
Position 134: 1.6908984943123026e-09
Position 123: 1.166533064377622e-09
Position 194: 1.0468329593716088e-14
