Gene = MESR3
index = 1265
Annotated 5SS: [  469 14519 32372]
Annotated 3SS: [14486 32341 42952]
SMsplice 5SS: [469]
SMsplice 3SS: [42952]
top_k =  500
Partition function (log Z): -29.42691760227815

Sorted 5' Splice Sites (High to Low Probability):
Position 469: 0.9999999999984973
Position 11865: 9.658696482395718e-07
Position 14129: 1.2512809056311244e-09
Position 607: 8.243391055844762e-10
Position 8195: 7.192133027797053e-10
Position 7411: 5.702855651680114e-10
Position 967: 2.762896354012772e-10
Position 8533: 1.8663618416521476e-10
Position 7638: 1.0717381502764952e-10
Position 7861: 9.446628878947133e-12
Position 7871: 8.232163249197629e-12
Position 1219: 5.077585367865341e-12
Position 789: 3.5526054425339683e-12
Position 463: 5.69386096899046e-13
Position 456: 8.24491623573624e-14
Position 4281: 6.705595957551457e-14
Position 586: 4.1083276090909413e-14
Position 157: 3.927636934707286e-14
Position 39: 3.425522438949939e-14
Position 473: 3.330052495967685e-14
Position 591: 2.5135680681321827e-14
Position 63: 2.297870424230697e-14
Position 599: 2.2044873882599117e-14
Position 594: 1.3785612995559284e-14
Position 4635: 1.2963746919055137e-14
Position 34: 1.254921660216308e-14
Position 376: 1.2511967600863281e-14
Position 497: 1.1348999250862323e-14
Position 374: 1.0605541589417084e-14
Position 370: 1.0539562495388267e-14
Position 151: 9.6455288436387e-15
Position 69: 9.344802081609762e-15
Position 372: 9.002463874729596e-15
Position 4515: 7.6819205590455e-15
Position 174: 7.443528956204099e-15
Position 380: 6.255320882880513e-15
Position 368: 5.057425621264149e-15
Position 738: 4.595985190929562e-15
Position 92: 4.3449378115780306e-15
Position 4321: 4.183777612746167e-15
Position 748: 3.77074085847021e-15
Position 4103: 2.2693291837516405e-15
Position 77: 1.8198761088774993e-15
Position 1636: 1.5063941240442105e-15
Position 236: 1.4520120882496828e-15
Position 3165: 1.2198014012255678e-15
Position 2429: 8.887899581580952e-16
Position 95: 6.022676406082123e-16
Position 2136: 5.809524831353598e-16
Position 1233: 5.624451468965487e-16
Position 280: 5.591253684937855e-16
Position 253: 5.406113648060957e-16
Position 343: 5.336601277872726e-16
Position 26: 5.110357261886201e-16
Position 345: 4.166295495373226e-16
Position 51: 4.1451909644957983e-16
Position 386: 4.041370768066914e-16
Position 389: 3.986507952486369e-16
Position 561: 3.509372518028032e-16
Position 1265: 2.546315460863765e-16
Position 82: 2.2112751428212266e-16
Position 2138: 2.0933021143169784e-16
Position 383: 1.517606872304034e-16
Position 161: 1.4782004629977234e-16
Position 2209: 1.44990521261931e-16
Position 978: 1.1923813727899678e-16
Position 2422: 9.360644828177115e-17
Position 378: 8.503478473962481e-17
Position 1840: 8.461784019711122e-17
Position 1629: 5.594582742725544e-17
Position 1488: 5.5448882008968714e-17
Position 2382: 5.337619801936771e-17
Position 1201: 4.8688456387853045e-17
Position 3746: 4.857286417239536e-17
Position 1094: 4.0211224529346083e-17
Position 956: 3.548325923814587e-17
Position 435: 3.040240386560483e-17
Position 56: 1.3254232004075463e-17
Position 333: 1.3194174608512718e-17
Position 159: 6.941398456103592e-18
Position 769: 2.4149145236292002e-18
Position 1359: 1.812742222500588e-18
Position 1963: 1.7281882423513639e-18
Position 1333: 1.4621566367117735e-18
Position 1787: 1.0101000634915198e-18
Position 1209: 7.457574985155132e-19
Position 1223: 5.73210341919e-19
Position 1275: 5.294786446993554e-19
Position 1245: 5.253451994260365e-19
Position 650: 4.743034838239443e-19
Position 897: 4.271046146655844e-19
Position 1330: 4.235704742315097e-19
Position 1853: 4.1870888581643244e-19
Position 1285: 3.639031032473381e-19
Position 783: 3.0012736203121783e-19
Position 1239: 1.983164392446755e-19
Position 1353: 1.7261814939332698e-19
Position 1308: 1.5988283722401519e-19
Position 1109: 1.3981275300047358e-19
Position 1075: 7.47307222901991e-20
Position 757: 6.326819082718266e-20
Position 919: 1.2899113350678388e-20
Position 702: 2.5410937887708163e-21
Position 349: 3.3438089942739108e-22
Position 347: 3.6221774055797493e-23

Sorted 3' Splice Sites (High to Low Probability):
Position 32341: 0.9999951389982319
Position 21293: 4.805052825785527e-06
Position 11659: 5.978463440356456e-07
Position 11788: 1.8497433191358928e-07
Position 11635: 1.579696061081804e-07
Position 11103: 2.522063836185474e-08
Position 16713: 2.0005929966730397e-08
Position 14486: 1.2004498215411281e-08
Position 16740: 1.1163371657799637e-08
