Gene = comm2
index = 1653
Annotated 5SS: [649]
Annotated 3SS: [1389]
SMsplice 5SS: [649]
SMsplice 3SS: [1389]
top_k =  500
Partition function (log Z): -5.767919616796148

Sorted 5' Splice Sites (High to Low Probability):
Position 649: 0.994208407987332
Position 1964: 0.0036917147352441004
Position 1288: 0.00310617663562478
Position 182: 0.002991679533989232
Position 1310: 0.002915603034820412
Position 346: 0.002621822418981506
Position 107: 0.001596057470747272
Position 2056: 0.0009384536317397335
Position 549: 0.0008837692756660793
Position 1232: 0.0006666848559688727
Position 1958: 0.0005454495399164138
Position 527: 0.0004732656404721766
Position 34: 0.0004250563012509175
Position 480: 0.00041816560550067083
Position 653: 0.00040226717872028856
Position 1127: 0.0003757018654134312
Position 1181: 0.00029273601060605985
Position 38: 0.0002903425817355226
Position 617: 0.0002649261081952884
Position 851: 0.0002599407856420344
Position 1491: 0.00012368708748252183
Position 1573: 0.00011264470742117161
Position 1875: 0.00010003617524472786
Position 591: 9.214853595191861e-05
Position 1817: 8.507155673827233e-05
Position 420: 8.288070493012676e-05
Position 694: 7.039141553675198e-05
Position 626: 6.947130248566561e-05
Position 1026: 6.44152882186355e-05
Position 896: 6.271530550300348e-05
Position 101: 5.0712572074650236e-05
Position 1004: 4.991975783946142e-05
Position 910: 4.9338909882931634e-05
Position 292: 4.854053339259915e-05
Position 2091: 4.1642466525741783e-05
Position 1761: 3.5836446811575756e-05
Position 1165: 3.5792506345584485e-05
Position 1473: 3.378448251043614e-05
Position 2074: 2.6671084818282954e-05
Position 922: 1.867017195891742e-05
Position 679: 1.795586256762108e-05
Position 1970: 1.7776932047992348e-05
Position 1054: 1.7321428994947543e-05
Position 109: 1.6912264145328254e-05
Position 704: 1.6616072382710602e-05
Position 32: 1.524401802785335e-05
Position 6: 1.5117030158612588e-05
Position 2147: 1.4556586595342749e-05
Position 256: 1.378603535863495e-05
Position 1547: 1.3611789122344177e-05
Position 1075: 1.2059272879185611e-05
Position 2016: 9.196759168183499e-06
Position 1770: 9.02160915492593e-06
Position 929: 7.538254420183465e-06
Position 806: 6.611086812696935e-06
Position 1154: 6.600090957894619e-06
Position 382: 5.148728878404433e-06
Position 990: 4.994436570104234e-06
Position 868: 3.459289719879603e-06
Position 1428: 2.903329617332222e-06
Position 521: 2.879529715391622e-06
Position 501: 2.5589083747482357e-06
Position 2122: 1.7843592660878782e-06
Position 42: 1.4216360649867473e-06
Position 10: 4.776206334703175e-07
Position 564: 3.0595303950800094e-07
Position 993: 1.9888870837210224e-07
Position 166: 1.892474546761828e-07
Position 963: 1.437993461030382e-07
Position 958: 9.62666336468802e-08
Position 551: 7.373364825853924e-08
Position 499: 3.233985583547482e-08
Position 22: 1.737157296193733e-08
Position 1051: 1.4359130638938464e-08
Position 750: 1.34484482247638e-08
Position 1461: 5.233581424343632e-09
Position 736: 1.7707501265510907e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 1389: 0.9771979519504288
Position 1025: 0.008020024450085069
Position 1054: 0.006439760007722281
Position 719: 0.002747131280794902
Position 2126: 0.0026693911387500953
Position 404: 0.0024808170350316405
Position 2169: 0.0021927417774174835
Position 850: 0.0019802331267670817
