Gene = Rpb8
index = 1455
Annotated 5SS: [185]
Annotated 3SS: [255]
SMsplice 5SS: [185]
SMsplice 3SS: [255]
top_k =  500
Partition function (log Z): -5.204617353589465

Sorted 5' Splice Sites (High to Low Probability):
Position 185: 0.9762852058796185
Position 192: 0.023613760401252633
Position 680: 0.0004193812106533561
Position 527: 7.293290721954821e-05
Position 666: 6.139034701263305e-05
Position 158: 4.3641742041353206e-05
Position 196: 3.243107202951191e-05
Position 76: 1.5629659996785525e-05
Position 323: 9.209714552605588e-06
Position 482: 9.100964235377459e-06
Position 294: 9.0316822734143e-06
Position 536: 7.656549682513983e-06
Position 637: 6.53028213544794e-06
Position 353: 3.6374528510511787e-06
Position 425: 2.784182946069036e-06
Position 463: 1.874990623256891e-06
Position 531: 1.0498210850027906e-06
Position 112: 1.022209560750627e-06
Position 333: 5.520365484897553e-07
Position 435: 4.3004939329321013e-07
Position 66: 3.480023018539334e-07
Position 362: 2.363349081407921e-07
Position 331: 1.7601127824981726e-07
Position 359: 1.1911864367383645e-07
Position 255: 5.004361716823922e-08
Position 270: 3.8113757123476306e-08
Position 395: 1.724854004883497e-08
Position 605: 7.2693617533107895e-09
Position 603: 1.4808857842646782e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 255: 0.99884876216969
Position 744: 0.0005226943749549883
Position 227: 0.0005062067605407838
Position 299: 0.0004647292474090175
Position 314: 8.277063243417485e-05
Position 635: 5.5178910640598626e-05
Position 553: 2.8576865666295217e-05
Position 281: 2.7570456878651318e-05
Position 368: 2.0624586267109144e-05
Position 413: 1.2699463379471482e-05
Position 270: 5.563206829864891e-06
Position 148: 5.069164742537057e-06
Position 750: 4.7428392491030815e-06
Position 323: 4.635657323043909e-06
Position 475: 2.3002996352472174e-06
Position 174: 1.8078719361451733e-06
Position 545: 1.5278001968560205e-06
Position 359: 6.116212405649887e-07
Position 122: 6.018742573349546e-07
Position 425: 3.1604040562220177e-07
Position 503: 3.068151843354932e-07
Position 695: 2.1298973279496158e-07
Position 497: 1.651193774088438e-07
Position 581: 1.6400409925202254e-07
Position 112: 1.3322977984980394e-07
Position 674: 7.506413502188605e-08
Position 353: 4.853642684474014e-08
Position 665: 4.3834308112703504e-08
Position 520: 3.8988306914887774e-08
Position 184: 1.753752541493792e-08
Position 527: 1.5431091898063258e-08
Position 458: 1.3895741092560124e-08
Position 482: 1.2748437676705305e-08
Position 570: 8.705093031478405e-09
Position 189: 3.608098342549388e-11
Position 205: 6.821172620519178e-15
