Gene = Spc105R
index = 1511
Annotated 5SS: [  96  261 1059 5450 5965]
Annotated 3SS: [ 156  312 1134 5511 6023]
SMsplice 5SS: [  96  261 1059 1300 5450 5965]
SMsplice 3SS: [ 156  312 1134 5263 5511 6023]
top_k =  500
Partition function (log Z): 1.2692746516608553

Sorted 5' Splice Sites (High to Low Probability):
Position 96: 0.9833107236126378
Position 261: 0.9682315611307624
Position 1059: 0.9625763235589554
Position 5450: 0.8984383027979705
Position 1300: 0.8916767984805268
Position 5965: 0.7842245823606329
Position 794: 0.33442086932482
Position 1348: 0.09115898679155547
Position 5720: 0.026284270467110453
Position 5675: 0.024988477990242532
Position 6122: 0.022203247752906514
Position 5616: 0.014850518309909182
Position 3623: 0.011084212089973218
Position 1038: 0.01066570489680615
Position 252: 0.010603609913030108
Position 767: 0.008812188002475166
Position 5672: 0.007050017091938915
Position 256: 0.0063498800128857745
Position 5982: 0.004050010976030541
Position 265: 0.003749661181266042
Position 1880: 0.003549805143745937
Position 942: 0.003526605880216315
Position 1063: 0.0031665330338491826
Position 270: 0.002419506966293593
Position 6266: 0.0020501843237752497
Position 2965: 0.0018479546558726244
Position 929: 0.0014680039208731675
Position 2941: 0.0012010401641298978
Position 723: 0.0008696782059195549
Position 2161: 0.0008005789030696425
Position 91: 0.0007857155743614502
Position 798: 0.0007687699017711283
Position 770: 0.0007203643495062958
Position 4017: 0.0006786921636542635
Position 719: 0.0006123278513248955
Position 100: 0.0005616780503897356
Position 5142: 0.0003254512022080461
Position 656: 0.00020604238843286758
Position 1074: 0.00015052950442139983
Position 425: 0.00010912895312545957
Position 502: 9.180265381955768e-05
Position 506: 7.65968330182446e-05
Position 998: 7.063166005040914e-05
Position 524: 6.677663032676557e-05
Position 285: 6.609259286201015e-05
Position 355: 4.315428144561108e-05
Position 900: 3.200999018228149e-05
Position 434: 3.057277422146658e-05
Position 236: 2.9019442515338213e-05
Position 52: 2.3280664160003786e-05
Position 743: 1.976268498637666e-05
Position 1828: 1.3851333767597685e-05
Position 242: 1.3649349236478938e-05
Position 712: 1.1735730098465926e-05
Position 400: 9.095329840925386e-06
Position 161: 7.155247431906964e-06
Position 362: 7.138920829520612e-06
Position 1373: 5.5147009979918375e-06
Position 1708: 4.805705768452929e-06
Position 201: 4.415635175258966e-06
Position 166: 4.369740446065268e-06
Position 136: 2.814550512936052e-06
Position 1744: 2.3507010481959083e-06
Position 1459: 1.9569632778766373e-06
Position 20: 1.6262337802787883e-06
Position 1544: 1.1185651355303828e-06
Position 692: 1.10839730215325e-06
Position 364: 6.09868832147664e-07
Position 1780: 5.938760648107261e-07
Position 494: 4.462087323060148e-07
Position 1408: 1.6159138268722146e-07
Position 1367: 9.939344589303966e-08
Position 320: 9.489789425541571e-08
Position 592: 3.4097796392272555e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 1134: 0.98771885215757
Position 156: 0.9841164731980178
Position 5511: 0.7984713441920704
Position 6023: 0.7800454759793255
Position 312: 0.6569418562359868
Position 5263: 0.3555134334155249
Position 334: 0.31175257716074367
Position 863: 0.2730645485029872
Position 4953: 0.18310887744809418
Position 4182: 0.1398697983523227
Position 5514: 0.10505667431629886
Position 3725: 0.09806129926718675
Position 5805: 0.06026502563137966
Position 900: 0.05569127296284467
Position 4416: 0.044341438986116095
Position 5738: 0.04024497564689466
Position 5587: 0.024429996578746407
Position 4481: 0.023799815740954012
Position 6192: 0.02216530072756942
Position 6047: 0.021395020057721408
Position 331: 0.01599559276212032
Position 4552: 0.015670405695946812
Position 4959: 0.014613190362225307
Position 5653: 0.014558114704324922
Position 4704: 0.01242298352307009
Position 3530: 0.008185531070595477
Position 3533: 0.006916487517863201
Position 3967: 0.005096952593672379
Position 3809: 0.0036454747911523833
Position 6028: 0.0029545441029943794
Position 6346: 0.002250391694845033
Position 4724: 0.0020281667923325443
Position 517: 0.0018062411278043067
Position 869: 0.0017945352288543084
Position 5590: 0.0015801098078505507
Position 2679: 0.0015736005579894455
Position 1104: 0.001556142475178628
Position 6009: 0.001532290696057623
Position 961: 0.0014964166678402314
Position 979: 0.0014001567523968543
Position 1093: 0.0010510097352596384
Position 1888: 0.0009129898713502827
Position 3465: 0.0008507394298152412
Position 636: 0.0006992911133880804
Position 6051: 0.00047918324463662476
Position 1027: 0.00040004829232418804
Position 3506: 0.00038705155634346464
Position 165: 0.0003487125275239035
Position 1459: 0.0003215545799404793
Position 6075: 0.00025807812068918593
Position 2748: 0.00018928118647532354
Position 3144: 0.00018000509264792068
Position 1913: 0.0001750808142988982
Position 3403: 0.00016925316995703872
Position 2688: 0.0001509711708418845
Position 1606: 0.00010649143338764551
Position 2765: 9.798115053525048e-05
Position 474: 9.473115361429121e-05
Position 2069: 8.050974275484526e-05
Position 2194: 8.042612773510623e-05
