Gene = GABA-B-R3
index = 1174
Annotated 5SS: [ 456 3786 4686 5352 6136 7086 7485 7994 9178 9605]
Annotated 3SS: [2785 4541 5075 5883 6722 7182 7854 8901 9285 9733]
SMsplice 5SS: [ 760 4686 5352 6136 7086 7485 7994 9178 9605]
SMsplice 3SS: [4541 5225 5883 6722 7182 7854 8378 9285 9733]
top_k =  500
Partition function (log Z): 13.400635918212974

Sorted 5' Splice Sites (High to Low Probability):
Position 9178: 0.9978356955261297
Position 7086: 0.9957880150198081
Position 4686: 0.9848041049542353
Position 7994: 0.9794946085521645
Position 6136: 0.9780449562831718
Position 9605: 0.9432793028531448
Position 7485: 0.9082712637557395
Position 5352: 0.856656947181537
Position 3786: 0.48091816631578693
Position 9361: 0.30414720799624595
Position 760: 0.288697169911278
Position 247: 0.1384869874565166
Position 10714: 0.1380564488755219
Position 859: 0.10821536017408306
Position 11151: 0.08945667632420176
Position 11774: 0.08561689876465162
Position 1544: 0.06867690348519845
Position 10481: 0.046048693506059724
Position 9997: 0.04461476514365538
Position 568: 0.04430164843004906
Position 6643: 0.042471149977590106
Position 9622: 0.04201939153424093
Position 5618: 0.040276738860008446
Position 703: 0.03518823010999277
Position 7342: 0.03511331274176381
Position 2005: 0.02912166206372775
Position 8277: 0.02886210313877055
Position 822: 0.023684481502571693
Position 7497: 0.023201985735748304
Position 699: 0.022664863201643168
Position 12061: 0.02262213634413633
Position 982: 0.017210909306414144
Position 1511: 0.016240690121854084
Position 10031: 0.01586303060224894
Position 243: 0.015427881965351409
Position 665: 0.01458346313529652
Position 9838: 0.014280687981717664
Position 2584: 0.014232741179604259
Position 8164: 0.01407548041270598
Position 10620: 0.013687713538908776
Position 4944: 0.013584411458586198
Position 11305: 0.01197291269791841
Position 764: 0.011948065993255442
Position 2029: 0.011003396452710867
Position 682: 0.010593489072233408
Position 7704: 0.010184625382130597
Position 8113: 0.008824310782117217
Position 266: 0.007663102553807253
Position 7742: 0.005779001560197811
Position 904: 0.005763208867567156
Position 103: 0.00571851855970717
Position 9394: 0.005580495241318961
Position 7778: 0.005444742953219175
Position 6539: 0.005396434568239545
Position 2491: 0.005246974864014479
Position 7179: 0.005102747584055971
