Gene = Nmt
index = 1325
Annotated 5SS: [307]
Annotated 3SS: [789]
SMsplice 5SS: [307]
SMsplice 3SS: [789]
top_k =  500
Partition function (log Z): -6.386662057820958

Sorted 5' Splice Sites (High to Low Probability):
Position 307: 0.9785374876511955
Position 900: 0.06612760681185922
Position 1758: 0.028515405137676073
Position 1437: 0.014651317138485912
Position 370: 0.013413045275029914
Position 1651: 0.01089695317586691
Position 940: 0.0102161183544274
Position 6: 0.009935604479467041
Position 195: 0.005773362454892744
Position 36: 0.0027163602870066573
Position 1236: 0.002242213055470967
Position 1227: 0.0019924627742655067
Position 1431: 0.0011807247727974284
Position 2000: 0.0007367653375516441
Position 724: 0.0004679175818305815
Position 1459: 0.00040024636629751694
Position 375: 0.0003206513644480445
Position 162: 0.00020495510466754478
Position 733: 0.00020235272253941544
Position 1892: 0.00017875157445064772
Position 1217: 0.00015238551618199352
Position 333: 0.00014954003264781813
Position 1937: 0.00014396441669683514
Position 293: 0.00011781916824578854
Position 1287: 0.00011391118297154188
Position 1365: 9.330708235176872e-05
Position 271: 9.221154468017121e-05
Position 2086: 8.789496069780546e-05
Position 854: 5.3602877694520015e-05
Position 1152: 4.333450183823686e-05
Position 692: 3.838882876413676e-05
Position 1179: 3.6698874941722975e-05
Position 39: 3.346481428223475e-05
Position 1053: 2.3349601217124096e-05
Position 593: 2.1612185399730523e-05
Position 419: 1.552169508937077e-05
Position 1441: 5.844758233990565e-06
Position 1028: 2.7958658251209633e-06
Position 1622: 2.5796125313151243e-06
Position 326: 1.6647318625488865e-06
Position 291: 1.3698019660180818e-06
Position 987: 1.2923164842672137e-06
Position 311: 8.318185316874064e-07
Position 76: 8.180079019192518e-07
Position 838: 7.742780262531621e-07
Position 1271: 5.110882383193936e-07
Position 393: 3.8999661379492223e-07
Position 133: 3.643102745634519e-07
Position 689: 1.7905942118854748e-07
Position 1073: 1.3678689297733565e-07
Position 682: 1.2804664492064333e-07
Position 866: 6.826098440429711e-08
Position 665: 4.963193385290718e-08
Position 753: 4.919252473272384e-08
Position 459: 4.2363271388331126e-08
Position 591: 3.54468345762578e-08
Position 813: 3.12119543353153e-08
Position 614: 2.978724175302679e-08
Position 380: 2.8265605144465125e-08
Position 93: 2.6607207020552978e-08
Position 568: 2.45983224733958e-08
Position 1106: 1.8628195923273757e-09
Position 668: 1.5665033675278177e-09
Position 1146: 4.356996235025246e-10
Position 198: 5.854824923058754e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 789: 0.9250529176529992
Position 972: 0.05371038485697857
Position 2047: 0.03736410144202707
Position 797: 0.026856374948215085
Position 2139: 0.0186125317097506
Position 1850: 0.014577418013961943
Position 1508: 0.0131688911934091
Position 996: 0.011116018396849328
Position 120: 0.008265691840251834
Position 1708: 0.005756595701211786
Position 875: 0.0032387887603231936
Position 602: 0.0027642624975891114
Position 1475: 0.0023596024193002036
Position 1118: 0.002063490913018985
Position 85: 0.0019973061088964005
Position 719: 0.0018681946638281965
Position 2119: 0.0017555709359226962
Position 2003: 0.0017016083860873542
Position 557: 0.0016186576828415408
Position 1647: 0.0013823494141587474
Position 1346: 0.0013618985528503103
Position 832: 0.0013616555715560887
Position 93: 0.0012456876659496458
Position 475: 0.0012164292741437678
Position 1539: 0.0011155110654250166
Position 1427: 0.0008403306213472755
Position 1194: 0.0007775664663838038
Position 1796: 0.0006696971231708643
Position 1106: 0.0006542841319087796
Position 1424: 0.0004998967918019891
Position 1685: 0.00044595920718759375
Position 1650: 0.00041218002948094546
Position 218: 0.0004001273894720796
Position 682: 0.00039615516168485775
Position 1204: 0.0003669727121027412
Position 2020: 0.00031990029444454754
Position 810: 0.00031630519218526175
Position 2148: 0.00027500211934056683
Position 1025: 0.00022562314881516003
Position 1595: 0.00017503455466976413
Position 1022: 0.00017122709216141487
Position 2269: 0.0001640741488713259
Position 1937: 0.000155622167184488
Position 480: 0.0001531446565345534
Position 1268: 0.00013102268007678206
Position 932: 8.837381987405201e-05
Position 1883: 8.761493262924398e-05
Position 949: 8.123159408006385e-05
Position 1496: 7.479751798951205e-05
Position 1166: 6.788658278107299e-05
Position 842: 6.698315585762325e-05
Position 704: 6.558013349848637e-05
Position 243: 6.51742976131575e-05
Position 1514: 5.412014052267018e-05
Position 393: 4.217616223649195e-05
Position 374: 4.185795635246225e-05
Position 1271: 3.059177207432983e-05
Position 138: 3.029493542538782e-05
Position 940: 2.2485034000653596e-05
Position 879: 1.637264177001222e-05
Position 240: 1.53034420942228e-05
Position 263: 7.634522381762389e-06
Position 1279: 1.871336386820629e-06
Position 733: 1.0147476042729916e-06
Position 194: 9.540465225108764e-07
Position 260: 7.815021966761945e-07
Position 724: 6.494534070980092e-07
Position 122: 4.5153637589988114e-07
Position 146: 3.7683144407271367e-07
Position 149: 2.512514764413004e-07
Position 278: 1.1119438032433719e-07
Position 152: 9.589518278933264e-08
Position 158: 5.5097465989918697e-08
Position 140: 5.288177386015227e-08
Position 161: 5.0162113501525775e-08
Position 854: 3.944366392646921e-08
Position 341: 2.9650687210471665e-08
Position 333: 2.670382055439245e-08
Position 291: 1.76116556792584e-08
Position 307: 3.8227733767686485e-09
Position 284: 1.3041648859582847e-09
Position 179: 1.2585667385223305e-12
Position 311: 4.2760222387319455e-13
Position 369: 3.904107336060634e-13
Position 251: 8.129881067248097e-14
Position 343: 2.0120115779641846e-14
