Gene = Bsg
index = 54
Annotated 5SS: [ 5097  6317 19099 20084 22390 23581 23754 24019 24461]
Annotated 3SS: [ 5973 18879 19177 22271 23419 23645 23817 24327 27060]
SMsplice 5SS: [  422 22390 23581 23754 24019 24461]
SMsplice 3SS: [22271 23461 23645 23817 24327 31596]
top_k =  500
Partition function (log Z): -18.465020287975328

Sorted 5' Splice Sites (High to Low Probability):
Position 24461: 0.9994971034723694
Position 422: 0.6210672382254885
Position 1598: 0.38190126530844654
Position 38: 0.0009057709521100535
Position 440: 0.00043547529743874166
Position 1097: 0.00036456375702542085
Position 925: 0.0003272633174072417
Position 876: 0.0002255746715852256
Position 444: 0.0002247171832159463
Position 217: 0.0002053545789834748
Position 102: 0.0001969634706298279
Position 411: 0.00015800608860877725
Position 1457: 0.00015161176630798593
Position 399: 0.0001232121726952459
Position 1039: 7.808985203553841e-05
Position 458: 7.543139296772431e-05
Position 899: 7.11869985505458e-05
Position 872: 7.094681859676091e-05
Position 407: 6.662879000999187e-05
Position 428: 6.520202155454636e-05
Position 932: 6.348823028826586e-05
Position 971: 6.141807193567094e-05
Position 1099: 5.7210176717113995e-05
Position 43: 5.616438471705483e-05
Position 403: 5.251319614689415e-05
Position 426: 5.091629365587883e-05
Position 401: 4.932876743934332e-05
Position 1103: 4.430667551359931e-05
Position 1101: 3.998898430985728e-05
Position 448: 3.5134926404773646e-05
Position 478: 3.0127505767289985e-05
Position 10: 2.9050739530682858e-05
Position 168: 2.7354393082457764e-05
Position 639: 2.7314551263227913e-05
Position 1079: 2.420214801248002e-05
Position 267: 2.3606318465238634e-05
Position 25: 2.0915752809825313e-05
Position 12: 2.0401778704854687e-05
Position 14: 1.6950717340532158e-05
Position 1131: 1.662982553311195e-05
Position 16: 1.6125759180224344e-05
Position 452: 1.0387826835649904e-05
Position 913: 1.0209041788325492e-05
Position 805: 9.824403732728379e-06
Position 911: 9.564414411204973e-06
Position 1053: 8.82090254703346e-06
Position 868: 7.504057716998852e-06
Position 1007: 5.937058786345165e-06
Position 1057: 5.657860819253414e-06
Position 461: 4.7560353826611385e-06
Position 432: 4.098357285632306e-06
Position 166: 4.020443758891619e-06
Position 1083: 2.9700314398990854e-06
Position 847: 2.9267735025495477e-06
Position 825: 2.8358721144110584e-06
Position 880: 2.451738596934195e-06
Position 1107: 2.3698132996472007e-06
Position 210: 2.2941571086185147e-06
Position 224: 2.129673641363674e-06
Position 962: 1.8413597830825876e-06
Position 1105: 1.7474689152320646e-06
Position 874: 1.6993060991270445e-06
Position 33: 1.4441043417385168e-06
Position 20: 1.196451291375674e-06
Position 481: 7.294831821577589e-07
Position 6: 3.642014601191717e-07
Position 52: 9.915175074133343e-08
Position 7971: 8.004521693193999e-14
Position 6317: 1.6809808346807386e-14
Position 4526: 9.176661604260993e-15
Position 1871: 4.519511984446166e-15
Position 1577: 4.243687551423594e-15
Position 3818: 4.186766297128968e-15
Position 3600: 7.30307112371842e-16
Position 1894: 6.27997521147376e-16
Position 1805: 5.405895043638397e-16
Position 2239: 1.4061597686126033e-16
Position 2262: 1.2909864724591255e-16
Position 1788: 1.1470841518852657e-16
Position 1886: 7.289927597038105e-17
Position 2813: 1.3805770531398726e-17
Position 190: 1.3111451572784272e-18
Position 637: 3.9386683957505067e-19
Position 581: 3.66571385869399e-19
Position 430: 3.6337078671016734e-19
Position 181: 2.1783226197874515e-19
Position 18: 2.032119718014886e-19
Position 524: 1.8895749510892414e-19
Position 515: 1.339546977850232e-19
Position 160: 1.2580066600163485e-19
Position 3: 1.0382276736244397e-19
Position 192: 1.0225678189495171e-19
Position 199: 5.655410531196473e-20
Position 1812: 3.5148782522847117e-20
Position 125: 3.178071367836464e-20
Position 145: 2.6563649605430116e-20
Position 392: 1.829344576879073e-20
Position 133: 1.6216241532453432e-20
Position 93: 7.9022986980539e-21
Position 149: 6.510144020952323e-21
Position 86: 6.186109073331348e-21
Position 88: 4.786592356876151e-21
Position 118: 3.248449820389961e-21
Position 95: 2.420476323168422e-21
Position 415: 2.0018758817683285e-21
Position 151: 3.940305628208366e-24

Sorted 3' Splice Sites (High to Low Probability):
Position 24327: 0.9999999997555288
Position 31596: 0.7072600623899864
Position 30189: 0.08941710552045455
Position 29384: 0.07070983046073084
Position 29812: 0.048446946808683666
Position 29452: 0.04449466926776245
Position 26138: 0.019662784732981393
Position 28011: 0.010926613678006496
Position 27060: 0.006519531718572173
Position 1216: 0.005061786168165716
Position 24727: 0.001100207068068036
Position 101: 0.0007387133978831417
Position 481: 0.0006558847796162146
Position 26226: 0.0005498082175437658
Position 24671: 0.00040954360957904664
Position 1323: 0.0004006981684437286
Position 543: 0.0002305835835357205
Position 1525: 0.00021477874455018444
Position 654: 0.00018606642109948366
Position 630: 5.271626333677434e-05
Position 1230: 2.7419434586263683e-05
Position 494: 8.908137167983267e-06
Position 775: 7.976751696518905e-06
Position 13995: 1.2227082024550471e-10
Position 13655: 7.753740168437918e-11
Position 13144: 4.230410174494261e-11
Position 7647: 9.53293596671812e-13
Position 9195: 4.2064963354741157e-13
Position 6295: 1.7608416723776569e-13
Position 8298: 1.463076555357039e-13
Position 8204: 1.1994881673672467e-13
Position 8430: 1.1805353174947485e-13
Position 7068: 1.0831363898227338e-13
Position 1671: 9.977549987390782e-14
Position 8049: 8.004521693193999e-14
Position 4033: 5.4052675762837506e-14
Position 4738: 5.2824868293208217e-14
Position 7271: 4.0811734849852565e-14
Position 5973: 3.53574140916448e-14
Position 6377: 1.6809808346807475e-14
Position 3006: 1.0507067983342487e-14
Position 4658: 7.940645042216849e-15
Position 4467: 5.855852433922746e-15
Position 1959: 2.9107380952677035e-15
Position 1870: 2.849930932589472e-15
Position 3453: 2.3357458323510955e-15
Position 2335: 1.5285266969230991e-15
Position 4781: 1.3114128385183126e-15
Position 4594: 1.287379839185148e-15
Position 2926: 8.739825179195299e-16
Position 1978: 7.745059697009399e-16
Position 1904: 4.534172484146812e-16
Position 2192: 3.8256656476712146e-16
Position 1636: 3.226864749717549e-16
Position 3469: 3.1405055089333433e-16
Position 2391: 2.765789829716141e-16
Position 2708: 2.712924451599588e-16
Position 1897: 1.0661849271462479e-16
Position 313: 9.6628056817198e-17
Position 1527: 9.450915829594471e-17
Position 1847: 5.656359818199416e-17
Position 554: 3.4484404175979204e-17
Position 461: 1.572084544437257e-17
Position 847: 1.3230723767878477e-17
Position 911: 8.558806304750133e-18
Position 139: 8.513325392331743e-18
Position 1097: 8.303051631355385e-18
Position 1077: 7.979965118488024e-18
Position 316: 4.922984029756614e-18
Position 145: 1.440581915325997e-18
Position 319: 9.911308673557994e-19
Position 157: 7.479399945925261e-19
Position 125: 6.923966401878692e-19
Position 253: 1.92686375506196e-19
Position 64: 1.093952236986907e-19
Position 199: 9.17547947795191e-20
Position 261: 4.616711141268744e-20
Position 166: 3.407083205268323e-20
Position 210: 2.4121845306020318e-20
Position 267: 1.3346972643718547e-20
Position 68: 9.98183232648862e-21
Position 216: 5.272880932033903e-21
Position 207: 1.6764433439687189e-21
