Gene = GMF
index = 1176
Annotated 5SS: [184 437 694]
Annotated 3SS: [342 502 748]
SMsplice 5SS: [184 437 694]
SMsplice 3SS: [342 502 748]
top_k =  500
Partition function (log Z): 3.8524746876719536

Sorted 5' Splice Sites (High to Low Probability):
Position 694: 0.9969364181016104
Position 437: 0.9725548878408182
Position 184: 0.6204366222583073
Position 874: 0.10280039179130691
Position 131: 0.013570398200546955
Position 456: 0.009596519319316831
Position 93: 0.008329939288612196
Position 882: 0.006719315162062083
Position 282: 0.006612753036236454
Position 178: 0.0031196160706003077
Position 285: 0.002493345167413405
Position 67: 0.0017464948744697398
Position 1168: 0.0013896649680589228
Position 700: 0.0011209396123915973
Position 193: 0.0010445769245624292
Position 202: 0.001010011521383783
Position 618: 0.0009988737779613149
Position 660: 0.0005954116924329006
Position 191: 0.0005309084087784112
Position 1125: 0.0005269965782010949
Position 244: 0.00047197389196948546
Position 302: 0.00041664473044632135
Position 1114: 0.00031831886062100317
Position 1210: 0.00028312493521708205
Position 242: 0.00026193588356952785
Position 914: 0.00024874955695234366
Position 917: 0.0002445439811424412
Position 940: 0.00017171803050327494
Position 651: 0.0001325767206391207
Position 800: 0.00010689710462565564
Position 1219: 0.00010543552419896342
Position 628: 8.244829894379368e-05
Position 1145: 7.239580430294076e-05
Position 16: 5.922089188174325e-05
Position 23: 5.268143539396136e-05
Position 134: 4.466643042181425e-05
Position 766: 4.328325802134786e-05
Position 853: 3.6762594224645135e-05
Position 258: 3.5950226085854966e-05
Position 396: 3.4546368618583395e-05
Position 264: 3.0242509275063675e-05
Position 250: 1.5517174527948108e-05
Position 815: 1.3094079157354117e-05
Position 562: 8.476804161969741e-06
Position 465: 8.450215938267061e-06
Position 1189: 7.0758481146720215e-06
Position 450: 6.637739629798726e-06
Position 252: 6.612148418658346e-06
Position 376: 3.07395786451864e-06
Position 344: 2.5098868448347836e-06
Position 1138: 1.9889523088957294e-06
Position 607: 1.9156665206535e-06
Position 1154: 1.4792539311576674e-06
Position 11: 9.025941381024875e-07
Position 1078: 8.35280440434479e-07
Position 469: 2.152702434944758e-07
Position 529: 7.030234730654311e-08
Position 543: 1.8972638625778423e-08
Position 532: 1.569940733106951e-08
Position 467: 1.3493092491846712e-08
Position 508: 2.6906012238486435e-10
Position 472: 4.240830984516564e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 502: 0.9970579566235743
Position 748: 0.9262716227711366
Position 342: 0.5959560186543577
Position 1058: 0.09803444790556165
Position 760: 0.0729094652139764
Position 240: 0.029935773008877467
Position 354: 0.011809704884708061
Position 940: 0.008378786975178512
Position 1264: 0.004993599654176807
Position 292: 0.003983267037083955
Position 151: 0.0012164542785253335
Position 289: 0.0009864780803102134
Position 1078: 0.0005520751255740826
Position 172: 0.00048018589131293996
Position 1224: 0.0004678550837679709
Position 991: 0.00046284182399455886
Position 683: 0.0004300569260541299
Position 508: 0.00037359456388843745
Position 522: 0.00017662467080162882
Position 1183: 0.00014834195923292128
Position 368: 0.00014244614691500337
Position 1280: 0.00011988729508383085
Position 1073: 6.452957452927846e-05
Position 134: 6.288720961396109e-05
Position 87: 5.331821036778257e-05
Position 344: 3.962883119402506e-05
Position 1036: 3.725744335864987e-05
Position 1186: 3.442794925405565e-05
Position 407: 3.18841165057155e-05
Position 200: 3.0147328433233122e-05
Position 1168: 2.626136320930855e-05
Position 519: 2.60627013346259e-05
Position 1114: 2.5997800934672333e-05
Position 376: 1.7559287778808808e-05
Position 472: 1.7315267079739936e-05
Position 1233: 1.5515269161483496e-05
Position 139: 1.547933745616058e-05
Position 793: 1.4511810710418614e-05
Position 781: 1.3111624748556762e-05
Position 924: 1.2026970716582468e-05
Position 1154: 7.779227308252983e-06
Position 187: 5.672043895843971e-06
Position 242: 5.108349172413467e-06
Position 178: 4.991962006641529e-06
Position 462: 4.8484323125315915e-06
Position 384: 2.4137063796855853e-06
Position 393: 2.1211591306501976e-06
Position 642: 1.901960503364935e-06
Position 396: 1.5368279578277605e-06
Position 67: 1.3252801258668275e-06
Position 1145: 1.2405131422704333e-06
Position 689: 1.0401180626843307e-06
Position 836: 4.29027036446876e-07
Position 191: 4.1518263660572223e-07
Position 93: 2.8920606462986905e-07
Position 411: 1.8035417630349093e-07
Position 441: 1.4482060760254695e-07
Position 589: 1.0965199373272721e-07
Position 413: 9.712755403061413e-08
Position 55: 1.6378535415514727e-08
Position 803: 1.439158218777139e-08
Position 576: 1.3911172821566255e-08
Position 597: 8.883595086584353e-09
Position 800: 9.788841132934577e-11
