Gene = kto
index = 1741
Annotated 5SS: [ 675 3404 5192 5619 5993 6376 6887]
Annotated 3SS: [ 735 3477 5249 5677 6063 6579 6950]
SMsplice 5SS: [ 675 3404 5192 5619 5993 6376 6887]
SMsplice 3SS: [ 735 3477 5249 5677 6063 6579 6950]
top_k =  500
Partition function (log Z): 24.045012946847212

Sorted 5' Splice Sites (High to Low Probability):
Position 6887: 0.9990372959734637
Position 5993: 0.9981205703101714
Position 675: 0.9975422125309493
Position 5619: 0.9971268834119047
Position 5192: 0.993942257929783
Position 3404: 0.9799366184252175
Position 6376: 0.974041956121442
Position 219: 0.16805540484019676
Position 1023: 0.12400745180795113
Position 8269: 0.08764281762309754
Position 3244: 0.08244608250825795
Position 4028: 0.07979585951122128
Position 414: 0.06148768991793843
Position 3911: 0.05466156463523765
Position 381: 0.05295536311223449
Position 3879: 0.048910645839421285
Position 4106: 0.043631274715143234
Position 847: 0.042271027731968606
Position 1944: 0.039686091752423124
Position 3875: 0.031856401303809005
Position 790: 0.03164331069477322
Position 1118: 0.02243274023074167
Position 3750: 0.02235538049862525
Position 2964: 0.018800557146958198
Position 1003: 0.01810172708292681
Position 2190: 0.012425263208508541
Position 867: 0.007790691558880236
Position 254: 0.006915445223787825
Position 6488: 0.005781627980042808
Position 372: 0.005635211938886798
Position 2584: 0.005462677553202622
Position 6516: 0.005244484010045079
Position 5328: 0.004797301361546939
Position 8242: 0.0031185169865719092
Position 1154: 0.0027370658768908255
Position 6480: 0.0026072904363096017
Position 1222: 0.002445512189928027
Position 3543: 0.0018264451750014314
Position 6477: 0.0016419030304391546
Position 205: 0.0014226757642086978
Position 876: 0.001319826665468393
Position 679: 0.0012690567879523541
Position 379: 0.00120978066376336
Position 1579: 0.0011906711506686383
Position 386: 0.0010347180671888894
Position 173: 0.0008887578386620971
Position 397: 0.0008881038139872181
Position 3830: 0.0007542181296906604
Position 7388: 0.0007103865597150889
Position 1148: 0.0006751440262142274
Position 8227: 0.000617408487990797
Position 5339: 0.0005990875527819637
Position 6400: 0.0005490233886025704
Position 3408: 0.0004983996532823279
