Gene = SrpRbeta
index = 1522
Annotated 5SS: [188 580]
Annotated 3SS: [272 636]
SMsplice 5SS: [188 580]
SMsplice 3SS: [272 636]
top_k =  500
Partition function (log Z): 1.1163687350201634

Sorted 5' Splice Sites (High to Low Probability):
Position 188: 0.9852478983788835
Position 580: 0.963233215008386
Position 451: 0.06409279636463992
Position 184: 0.008136921645634869
Position 416: 0.003751320649643235
Position 33: 0.0037057127786054894
Position 1123: 0.0016739585098035563
Position 201: 0.0005615553882347662
Position 734: 0.00039724596800979137
Position 1106: 0.00038667672641451596
Position 206: 0.0002943728560483174
Position 949: 0.0002107599873826095
Position 803: 0.00018616551366840592
Position 852: 0.00018249419567540096
Position 351: 0.00014860482050146532
Position 479: 0.00014497647207180233
Position 192: 0.00013091781012400697
Position 770: 0.00012064534283728812
Position 597: 8.549270463724119e-05
Position 955: 8.485752594711858e-05
Position 336: 7.043496148943578e-05
Position 8: 5.275437119609503e-05
Position 1181: 4.8976800353173865e-05
Position 1072: 3.0476450315754986e-05
Position 16: 2.736703079299884e-05
Position 1116: 2.5294259757235333e-05
Position 6: 2.4049394661804132e-05
Position 545: 1.987853787142234e-05
Position 227: 1.084858181759505e-05
Position 998: 7.090534563042469e-06
Position 65: 5.99324278585865e-06
Position 726: 5.867992282943235e-06
Position 613: 4.828885970602498e-06
Position 889: 3.8088700977071865e-06
Position 60: 3.053745481997738e-06
Position 584: 2.7308252455299806e-06
Position 1069: 2.5336448857381704e-06
Position 157: 2.5119601671503486e-06
Position 1053: 2.4520909012502954e-06
Position 754: 2.2693148726860088e-06
Position 490: 1.9996740309947467e-06
Position 72: 1.9581390751539414e-06
Position 572: 1.846350551439785e-06
Position 39: 1.5009371766987474e-06
Position 1169: 1.2315742716771045e-06
Position 536: 1.050852703663623e-06
Position 643: 9.472308366417049e-07
Position 281: 7.127785337271017e-07
Position 239: 5.572705684060411e-07
Position 455: 4.969753053868937e-07
Position 533: 4.814524635743753e-07
Position 306: 4.492281334413076e-07
Position 1187: 4.065322908413456e-07
Position 37: 2.6907925624576446e-07
Position 442: 2.596745606622988e-07
Position 67: 1.004689249943192e-07
Position 259: 7.253855511545333e-08
Position 513: 3.947711391224164e-09
Position 527: 1.4519908239046325e-09
Position 683: 1.2362661786858814e-09
Position 251: 3.0657495346996656e-10
Position 628: 4.71562187523355e-11
Position 663: 2.2399565490962793e-11
Position 689: 1.483739532228801e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 272: 0.9826919165495119
Position 636: 0.9464581903231835
Position 659: 0.035104778697244036
Position 520: 0.030146717174441024
Position 477: 0.0070615008798532285
Position 1180: 0.006038691399111203
Position 880: 0.004510138999439672
Position 367: 0.0031989674447633998
Position 689: 0.0022321407557686344
Position 294: 0.002186208399689123
Position 76: 0.0019827110723290384
Position 409: 0.0016089968240842506
Position 706: 0.0015696950206602917
Position 111: 0.001511882876621662
Position 663: 0.0014373286037667474
Position 336: 0.0010317578409364955
Position 559: 0.0009514761858438096
Position 1058: 0.0009133518122369038
Position 1209: 0.0005379765106285477
Position 607: 0.0005073325889419744
Position 412: 0.00040700868878090004
Position 770: 0.00019859863411422242
Position 351: 0.0001886716899685376
Position 1226: 0.0001431007030639269
Position 1262: 8.1012794280288e-05
Position 313: 7.102343088891167e-05
Position 703: 5.657156215283701e-05
Position 578: 4.738051066470805e-05
Position 184: 4.717609277597113e-05
Position 157: 3.8633736840289136e-05
Position 754: 3.5222076321737466e-05
Position 889: 3.45502175395341e-05
Position 786: 2.6829844398149045e-05
Position 450: 2.0373276379615767e-05
Position 783: 1.2168025433166179e-05
Position 733: 7.540354534357567e-06
Position 744: 7.1459061944598185e-06
Position 490: 5.97736327029464e-06
Position 120: 4.752684704891448e-06
Position 724: 4.434765370228992e-06
Position 117: 3.7326410242324045e-06
Position 1034: 3.731033267685398e-06
Position 844: 3.594849192606304e-06
Position 499: 3.3426963068814756e-06
Position 1088: 3.201846756037925e-06
Position 172: 3.0677016232993596e-06
Position 455: 1.2579523406038356e-06
Position 910: 7.546295704770416e-07
Position 438: 6.697086348882038e-07
Position 980: 6.258008044496324e-07
Position 1239: 1.2824684054480537e-07
Position 126: 6.349307430610983e-08
Position 223: 5.498693630634262e-08
Position 227: 9.342820592618429e-12
Position 133: 8.582392627649628e-12
Position 422: 5.8033855632521465e-12
Position 206: 2.0349718988361936e-15
Position 192: 1.5480640659931495e-15
Position 135: 8.664732600610934e-17
