Gene = DIP-theta
index = 1124
Annotated 5SS: [  166  6951 13105 16706 18043 18274 21827 22905 23907 25633 26191 26524]
Annotated 3SS: [ 6379 13029 16607 17896 18211 21667 22775 23771 25482 26103 26247 31442]
SMsplice 5SS: [  170  6951 16706 17193 17834 18043 18274 21827 22905 23907 26191 26524]
SMsplice 3SS: [ 6379 16607 17103 17247 17896 18211 21172 22775 22960 26103 26247 31442]
top_k =  500
Partition function (log Z): 8.898945351169704

Sorted 5' Splice Sites (High to Low Probability):
Position 23907: 0.9809028952416528
Position 16706: 0.9740901928356999
Position 21827: 0.9561475326195743
Position 17834: 0.9473937736401741
Position 6951: 0.944689034442249
Position 22905: 0.944304205584407
Position 26191: 0.9371342214858345
Position 18274: 0.840588749278761
Position 18043: 0.8281387361495193
Position 26524: 0.7933884099729613
Position 17193: 0.7332055899468635
Position 25633: 0.5960589943771931
Position 170: 0.5463880393703949
Position 19460: 0.4738034185820356
Position 17354: 0.4260544604508488
Position 18717: 0.420785413973246
Position 16503: 0.3921056020227963
Position 166: 0.36431778192255265
Position 13105: 0.2199006451852644
Position 6223: 0.16273320686551052
Position 23355: 0.1463680010267089
Position 23453: 0.13566403891051268
Position 17505: 0.12420483859990791
Position 19386: 0.10281638933014714
Position 17397: 0.10183829914733654
Position 527: 0.07194131905016889
Position 19096: 0.07191099355574976
Position 18557: 0.0710079995591114
Position 4018: 0.06527126304885811
Position 20034: 0.04698715340329917
Position 18106: 0.0428842002760291
Position 26196: 0.038247161119263164
Position 6219: 0.031552748217809665
Position 21019: 0.026126661723263493
Position 22683: 0.025392657712068396
Position 17579: 0.019194555490141204
Position 19380: 0.018409050103218385
Position 25891: 0.018014954447958514
Position 27563: 0.017253555027903402
Position 25948: 0.017164280524671827
Position 23419: 0.01442299805770141
Position 18548: 0.013236517983758448
Position 17024: 0.011832169238306415
Position 26940: 0.009708617243895082
Position 25856: 0.009399836577278038
Position 18299: 0.008294028067875435
Position 18048: 0.008293906118641545
Position 472: 0.007681723218842603
Position 893: 0.00760320408408175
Position 252: 0.006457208456754607
Position 16652: 0.0064448853522866435
Position 31673: 0.006130337350475356
Position 7417: 0.005882262078392871
Position 1489: 0.00540419190542063
Position 26634: 0.004920807080933207
Position 26905: 0.004751624720159101
Position 781: 0.004201860002645604
Position 18294: 0.0036695286554070203
Position 3666: 0.0036398931530973277
Position 311: 0.0032549231753595566
Position 2364: 0.0029930517564038727
Position 7543: 0.0028223739377199286
Position 17060: 0.0027817317012271644
Position 17616: 0.002777536635985842
Position 25973: 0.002754949488068691
Position 27826: 0.0026702465408715136
Position 19642: 0.002630960291386112
Position 29464: 0.002561249700296972
Position 2050: 0.0025539298053539224
Position 7491: 0.002491099017414978
Position 18020: 0.002302004319463781
Position 10618: 0.0022790120000623654
Position 27170: 0.00206248114164567
Position 18103: 0.0018535560519424587
Position 17737: 0.0018031352952407554
Position 18015: 0.0017906743670307573
Position 25938: 0.0016492907858529093
Position 16675: 0.001542170796265057
Position 25823: 0.0013887436395489546
Position 28937: 0.0010245021423030902
Position 18212: 0.0009755105361910703
Position 26180: 0.0009660669241457339
Position 18964: 0.0008482759497584733
Position 18028: 0.0006402362053701083
Position 18009: 0.0005685545237690292
Position 22309: 0.0004480736881157755
Position 21984: 0.000446840774439839
Position 3639: 0.00040466070381017604
Position 11571: 0.0003562468440703054
Position 18093: 0.0003418049464369901
Position 16974: 0.00032267349985927614
Position 17344: 0.0002208001969352667
Position 23116: 0.0001590456889971818
Position 17099: 0.00015487818774266923
Position 17812: 0.0001508516848598344
Position 17487: 0.00014738599739380653
Position 3454: 0.00012882481019534876
Position 209: 0.00012118945663661015
Position 18892: 0.00011048168895282518
Position 16888: 0.00010915487330785754
Position 1257: 0.00010199419236243055
Position 19092: 8.806682505938398e-05
Position 862: 7.248585937425444e-05
Position 23026: 6.507186085322105e-05
Position 22874: 6.327918656406036e-05
Position 17104: 6.224409958426158e-05
Position 797: 5.329269274939899e-05
Position 3063: 4.838527328327459e-05
Position 17337: 4.7117906442131386e-05
Position 524: 4.6344927069453156e-05
Position 26975: 4.5376062492937055e-05
Position 17319: 3.966157348622116e-05
