Gene = Ip259
index = 1234
Annotated 5SS: [35]
Annotated 3SS: [386]
SMsplice 5SS: [35]
SMsplice 3SS: [423]
top_k =  500
Partition function (log Z): -6.299564238940183

Sorted 5' Splice Sites (High to Low Probability):
Position 35: 0.9362730031066584
Position 270: 0.09619097279516446
Position 360: 0.016144183939965424
Position 188: 0.004698602897438186
Position 378: 0.0028920342256929243
Position 881: 0.0014157852055335816
Position 537: 0.0008392715865741983
Position 631: 0.0006335732879211588
Position 48: 0.000365809355295371
Position 781: 0.00028480895411503405
Position 69: 0.00016193265556326282
Position 759: 0.00013356878395308353
Position 909: 0.00013068452253744842
Position 105: 7.069375248960339e-05
Position 74: 6.402333339913776e-05
Position 274: 5.893428276083543e-05
Position 121: 4.413654688537935e-05
Position 352: 3.689643280327788e-05
Position 286: 3.303249408972856e-05
Position 1061: 3.141793828512792e-05
Position 245: 2.6925055241127384e-05
Position 814: 2.369530541561149e-05
Position 1166: 2.2636702585424604e-05
Position 1141: 1.4948964867620366e-05
Position 392: 1.4462258597428354e-05
Position 917: 1.3617399924507305e-05
Position 39: 1.0924271593307904e-05
Position 1048: 5.0740786406120294e-06
Position 1099: 4.76131778091434e-06
Position 51: 2.457323110454039e-07
Position 227: 2.098821999766733e-07
Position 135: 1.6156738151763548e-07
Position 180: 1.5357937219608318e-07
Position 153: 1.0273830363787436e-07
Position 108: 3.879025057220692e-08
Position 652: 3.099144941730532e-08
Position 300: 2.7248794067689228e-09
Position 293: 1.8349940906157292e-09
Position 21: 6.210592502516118e-10
Position 453: 1.5710579160664413e-11
Position 503: 1.104096080847562e-11
Position 429: 3.9541547863839916e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 423: 0.6659710422694667
Position 386: 0.25320023376545164
Position 108: 0.03571837721757034
Position 269: 0.031484371748565616
Position 105: 0.021043556435431418
Position 450: 0.01876421850338282
Position 180: 0.014940222133832847
Position 313: 0.0041767531066826446
Position 399: 0.004129376626528496
Position 293: 0.0034846818159453073
Position 689: 0.0024808465395029147
Position 325: 0.0013734085611427668
Position 970: 0.0009303218452637424
Position 951: 0.0006875311360157109
Position 594: 0.0006023947203331048
Position 948: 0.0003402157632556434
Position 600: 0.00021127805336921087
Position 900: 0.00014737495056051276
Position 1222: 0.00013953598982619742
Position 1140: 0.00011102550611468193
Position 909: 8.16051280277563e-05
Position 735: 7.131974323356203e-05
Position 220: 6.367048859259e-05
Position 843: 4.901359592696291e-05
Position 606: 4.3729993371168554e-05
Position 274: 3.585364307254988e-05
Position 837: 3.2358837261833355e-05
Position 732: 2.7985053201001483e-05
Position 492: 2.6072139774188802e-05
Position 135: 2.5677568762546526e-05
Position 603: 2.4678977782245222e-05
Position 1011: 2.4646434487127138e-05
Position 570: 2.0625320865295986e-05
Position 1180: 1.7705488828987455e-05
Position 495: 1.712231685439435e-05
Position 201: 1.4863571301599994e-05
Position 814: 1.4784762793416025e-05
Position 781: 1.4483045234013824e-05
Position 642: 1.2574505103761441e-05
Position 1059: 1.1778012733024904e-05
Position 792: 1.1753185864429454e-05
Position 1014: 1.0691890071430684e-05
Position 1224: 1.0271002201296917e-05
Position 822: 9.889623428992708e-06
Position 868: 9.478076473260341e-06
Position 513: 7.535552718755012e-06
Position 627: 7.0668562602702384e-06
Position 1117: 5.64630665486587e-06
Position 169: 1.6987655123839547e-06
Position 315: 1.2548441547547779e-08
Position 429: 8.014652982848121e-10
Position 63: 1.9006044691068923e-11
Position 74: 1.1286434677788876e-12
