Gene = Sgs1
index = 1496
Annotated 5SS: [60]
Annotated 3SS: [124]
SMsplice 5SS: [60]
SMsplice 3SS: [124]
top_k =  500
Partition function (log Z): -10.526893188018038

Sorted 5' Splice Sites (High to Low Probability):
Position 60: 0.9958247360845063
Position 479: 0.01643548665375534
Position 671: 0.002307819071263067
Position 578: 0.002053191132716055
Position 24: 0.0008349916925382354
Position 425: 0.0007726666945739478
Position 64: 0.0005780690788768559
Position 3678: 0.00047343311798493957
Position 67: 0.00037421537641023697
Position 547: 0.0003343740605376936
Position 124: 0.0002983053991373881
Position 326: 0.00022842995916727782
Position 260: 0.00021540022206453465
Position 576: 0.0001623782062930881
Position 708: 0.00013072846559468673
Position 197: 0.00012382104675326273
Position 145: 0.00011410454648107544
Position 677: 0.0001063327762366965
Position 179: 9.0799858263268e-05
Position 515: 8.121375311763467e-05
Position 95: 3.376911476927558e-05
Position 486: 2.3376900680033568e-05
Position 710: 2.172151138316326e-05
Position 842: 1.97163337643013e-05
Position 890: 1.9646332368499718e-05
Position 1130: 1.8378344536958817e-05
Position 104: 1.619146394954105e-05
Position 250: 9.801566120797581e-06
Position 218: 5.361902525108584e-06
Position 38: 4.328874137523638e-06
Position 154: 3.820838349327884e-07
Position 110: 1.3450598852540057e-07
Position 350: 3.2929404600441605e-08
Position 191: 1.2186250717668716e-09
Position 602: 9.72668477577449e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 124: 0.4464381048735442
Position 144: 0.24912583655184908
Position 3645: 0.04093181432097278
Position 3506: 0.03311904629194811
Position 359: 0.020942816796353916
Position 3750: 0.015363543635139981
Position 179: 0.015062038470734498
Position 539: 0.014050985331196655
Position 3657: 0.010039830211286958
Position 3362: 0.009394404046062132
Position 3554: 0.00762827936768833
Position 3122: 0.0067535704710737976
Position 770: 0.006586368356576963
Position 3410: 0.00647421220426354
Position 3170: 0.006283067800704334
Position 3266: 0.0049223276206777095
Position 3458: 0.0037729090365206724
Position 632: 0.00344665380191785
Position 2978: 0.0029099542936549447
Position 646: 0.0028879834030584805
Position 2738: 0.002722333759713438
Position 2690: 0.002597803442738364
Position 1346: 0.002515199726983051
Position 3074: 0.002504267341126292
Position 2642: 0.002478969635161
Position 3314: 0.0024443181182664904
