Gene = dgt2
index = 1669
Annotated 5SS: [320]
Annotated 3SS: [376]
SMsplice 5SS: [320 620 837]
SMsplice 3SS: [376 696 904]
top_k =  500
Partition function (log Z): -5.407213939066354

Sorted 5' Splice Sites (High to Low Probability):
Position 620: 0.749037549909085
Position 320: 0.6719207954300302
Position 837: 0.4693645609906207
Position 430: 0.43549130000328806
Position 862: 0.15162401631842823
Position 313: 0.1081449689719177
Position 855: 0.07500793211594614
Position 302: 0.009053445194156726
Position 799: 0.0018646811759678297
Position 328: 0.0014199059855252367
Position 604: 0.0008811794423142311
Position 62: 0.0007858039243842208
Position 166: 0.0006027321756619605
Position 211: 0.0005824906040675571
Position 892: 0.00023905675739013552
Position 590: 0.00019114214068055482
Position 624: 0.000132908979955923
Position 227: 5.91188820809779e-05
Position 906: 4.663375006972907e-05
Position 14: 4.116495913302751e-05
Position 335: 3.9202168755214726e-05
Position 269: 3.473236664455389e-05
Position 3: 3.048690506498119e-05
Position 434: 2.8135545997159256e-05
Position 351: 2.093276429567599e-05
Position 8: 1.3097949117508875e-05
Position 909: 1.1612936782586703e-05
Position 377: 1.0289898505326213e-05
Position 444: 9.25308944628028e-06
Position 781: 6.82425457768295e-06
Position 256: 6.540745081430376e-06
Position 486: 4.942864189328168e-06
Position 184: 4.117089146163231e-06
Position 669: 3.332667524577664e-06
Position 712: 5.388977811408656e-07
Position 395: 8.156474236963927e-08
Position 507: 7.059571019632796e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 376: 0.7797567342904828
Position 696: 0.6453730480002038
Position 494: 0.4345154038484542
Position 904: 0.40396265349196
Position 918: 0.17052977631992383
Position 933: 0.09652293469195364
Position 959: 0.07605018264410311
Position 669: 0.027526974972791995
Position 727: 0.019814081473716886
Position 724: 0.010777496369891688
Position 702: 0.003506530143613581
Position 779: 0.003126885835727394
Position 968: 0.0015268514826409865
Position 528: 0.001085827608001131
Position 130: 0.0007755652146805354
Position 426: 0.00048701306406543645
Position 555: 0.00024983014884682325
Position 269: 0.0001645052903291431
Position 395: 0.00013109404949132326
Position 351: 0.00012429969339801443
Position 1005: 0.00011673970244037248
Position 531: 9.447744707438904e-05
Position 348: 9.389422464313823e-05
Position 1008: 8.427423700093502e-05
Position 1034: 7.822531940776227e-05
Position 72: 6.2617018983623e-05
Position 756: 5.077424243523811e-05
Position 642: 3.326193184848783e-05
Position 981: 1.6876151262061716e-05
Position 392: 1.3474313290992593e-05
Position 504: 1.2640076240510281e-05
Position 558: 1.1599849440369056e-05
Position 386: 1.079713615099328e-05
Position 242: 1.0796566038256593e-05
Position 870: 6.761766144445791e-06
Position 624: 3.862870451076687e-06
Position 639: 2.2573941970891585e-06
Position 156: 1.307112543054448e-06
Position 507: 1.0353045768161566e-06
Position 1016: 9.91042839332844e-07
Position 227: 7.455138385551614e-07
Position 542: 1.0954824970297654e-07
Position 162: 1.0787182206619264e-07
Position 294: 6.904232613654181e-08
Position 573: 2.904697940845559e-08
Position 165: 2.0361083757773875e-08
Position 312: 1.8143867064543763e-08
Position 306: 1.592267734612058e-08
Position 288: 1.0753084900531992e-08
Position 174: 9.647552829118013e-09
Position 335: 8.827441941533115e-09
Position 576: 8.549198391347298e-09
Position 200: 3.936223570006013e-09
Position 184: 3.660906882889988e-09
Position 323: 1.2592287077294722e-09
Position 244: 1.174710174294106e-09
Position 309: 6.203351558533163e-10
Position 180: 2.5512988175809765e-10
Position 298: 1.983432087229478e-12
Position 195: 1.479046580327478e-15
